spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,sample,method,mean_exposure,active_folds,total_folds,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
OV0001,0,0,0.0,60,-1.0,25.0,bridge,AUR,1.0,1,1,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
OV0001,0,0,0.0,60,-1.0,25.0,bridge,QAUR,1.0,1,1,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
OV0001,0,0,0.0,60,-1.0,25.0,development,AUR,1.0,29,29,604,-0.15983494869259818,-0.07008444226023391,0.16233141929541825,-0.4317367676844554,-0.5098976105987024,-0.48718161780184843
OV0001,0,0,0.0,60,-1.0,25.0,development,QAUR,1.0,29,29,604,-0.15983494869259818,-0.07008444226023391,0.16233141929541825,-0.4317367676844554,-0.5098976105987024,-0.48718161780184843
OV0001,0,0,0.0,60,-1.0,25.0,historical_holdout,AUR,1.0,15,15,312,0.18527413790450242,0.1471570638480173,0.13814042888808578,1.0652715141577875,1.3671019587374638,-0.13096078514839304
OV0001,0,0,0.0,60,-1.0,25.0,historical_holdout,QAUR,1.0,15,15,312,0.24855810479343488,0.1963785346582212,0.1415559870500527,1.38728526253562,1.8176326669913965,-0.13096078514839304
OV0001,0,0,0.0,60,-1.0,25.0,observed_2026,AUR,1.0,8,8,160,0.18052929449148492,0.29873609351657837,0.1597043386682117,1.8705571558528997,2.8770990645859573,-0.10778780420055822
OV0001,0,0,0.0,60,-1.0,25.0,observed_2026,QAUR,1.0,8,8,160,0.18046016932089115,0.29861632198451704,0.15971129254617944,1.869725785972048,2.8757220984192573,-0.10778780420055745
OV0002,0,0,0.0,60,0.0,25.0,bridge,AUR,1.0,1,1,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
OV0002,0,0,0.0,60,0.0,25.0,bridge,QAUR,1.0,1,1,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
OV0002,0,0,0.0,60,0.0,25.0,development,AUR,0.6551724137931034,19,29,604,-0.2586904232285945,-0.11740507278627355,0.14793102165392524,-0.7936474140017425,-0.7504839236058984,-0.44909322320677536
OV0002,0,0,0.0,60,0.0,25.0,development,QAUR,0.6551724137931034,19,29,604,-0.2586904232285945,-0.11740507278627355,0.14793102165392524,-0.7936474140017425,-0.7504839236058984,-0.44909322320677536
OV0002,0,0,0.0,60,0.0,25.0,historical_holdout,AUR,0.7333333333333333,11,15,312,0.08353971915131853,0.06694960224540858,0.12321647508306842,0.5433494360252832,0.5791080430167793,-0.13096078514839327
OV0002,0,0,0.0,60,0.0,25.0,historical_holdout,QAUR,0.7333333333333333,11,15,312,0.11767605786093616,0.09401787875280099,0.1244739536836521,0.7553217036211882,0.8206357227397553,-0.13096078514839327
OV0002,0,0,0.0,60,0.0,25.0,observed_2026,AUR,1.0,8,8,160,0.18052929449148492,0.29873609351657837,0.1597043386682117,1.8705571558528997,2.8770990645859573,-0.10778780420055822
OV0002,0,0,0.0,60,0.0,25.0,observed_2026,QAUR,1.0,8,8,160,0.18046016932089115,0.29861632198451704,0.15971129254617944,1.869725785972048,2.8757220984192573,-0.10778780420055745
OV0003,0,0,0.0,60,0.05,25.0,bridge,AUR,1.0,1,1,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
OV0003,0,0,0.0,60,0.05,25.0,bridge,QAUR,1.0,1,1,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
OV0003,0,0,0.0,60,0.05,25.0,development,AUR,0.4482758620689655,13,29,604,-0.29090345217912894,-0.13361382733759986,0.13688646806784566,-0.9760922991407466,-0.755127013995061,-0.4301861889365003
OV0003,0,0,0.0,60,0.05,25.0,development,QAUR,0.4482758620689655,13,29,604,-0.29090345217912894,-0.13361382733759986,0.13688646806784566,-0.9760922991407466,-0.755127013995061,-0.4301861889365003
OV0003,0,0,0.0,60,0.05,25.0,historical_holdout,AUR,0.7333333333333333,11,15,312,0.08353971915131853,0.06694960224540858,0.12321647508306842,0.5433494360252832,0.5791080430167793,-0.13096078514839327
OV0003,0,0,0.0,60,0.05,25.0,historical_holdout,QAUR,0.7333333333333333,11,15,312,0.11767605786093616,0.09401787875280099,0.1244739536836521,0.7553217036211882,0.8206357227397553,-0.13096078514839327
OV0003,0,0,0.0,60,0.05,25.0,observed_2026,AUR,1.0,8,8,160,0.18052929449148492,0.29873609351657837,0.1597043386682117,1.8705571558528997,2.8770990645859573,-0.10778780420055822
OV0003,0,0,0.0,60,0.05,25.0,observed_2026,QAUR,1.0,8,8,160,0.18046016932089115,0.29861632198451704,0.15971129254617944,1.869725785972048,2.8757220984192573,-0.10778780420055745
OV0004,0,0,0.0,60,0.1,25.0,bridge,AUR,1.0,1,1,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
OV0004,0,0,0.0,60,0.1,25.0,bridge,QAUR,1.0,1,1,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
OV0004,0,0,0.0,60,0.1,25.0,development,AUR,0.3793103448275862,11,29,604,-0.25911114055025997,-0.11761409269221068,0.13184197612039858,-0.8920838124028501,-0.6247685345642532,-0.40873964040937727
