spec_id,worst_method_sharpe,worst_method_return,worst_method_drawdown,minimum_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,eligible
OV0029,0.8990678409135006,0.20279142550083806,-0.1522509558934404,0.5862068965517241,0,3,0.0,60,-1.0,25.0,True
OV0049,0.8857655266810027,0.19731960098818102,-0.1522509558934404,0.5815616846640701,0,3,0.15,60,-1.0,25.0,True
OV0041,0.8429461912897299,0.18342351412984614,-0.1522509558934404,0.5692711678994202,0,3,0.12,60,-1.0,25.0,True
OV0197,0.8272929810465387,0.18350098090512557,-0.1522509558934404,0.5517241379310345,60,3,0.0,60,-1.0,25.0,True
OV0217,0.8132970842647957,0.17811691385844397,-0.1522509558934404,0.5470789260433805,60,3,0.15,60,-1.0,25.0,True
OV0209,0.7690897992417773,0.16444369331587638,-0.1522509558934404,0.5347884092787305,60,3,0.12,60,-1.0,25.0,True
OV0053,0.7644081594000682,0.16347339143156692,-0.1522509558934404,0.5613609147555813,0,3,0.15,120,-1.0,25.0,True
OV0033,0.7334183407654692,0.153392099945584,-0.1522509558934404,0.5448922652648689,0,3,0.1,60,-1.0,25.0,True
OV0221,0.6893560705353706,0.14481353194125535,-0.1522509558934404,0.5268781561348918,60,3,0.15,120,-1.0,25.0,True
OV0201,0.6569447175133176,0.1348939248427241,-0.1522509558934404,0.5104095066441792,60,3,0.1,60,-1.0,25.0,True
OV0045,0.6510146795634257,0.13479717481800146,-0.1522509558934404,0.5407022061770753,0,3,0.12,120,-1.0,25.0,True
OV0085,0.6472133909082938,0.14088419549059594,-0.16374728273794914,0.5172413793103449,20,0,0.0,60,-1.0,25.0,True
OV0105,0.613472008156548,0.12755506682446272,-0.16426156740050546,0.4896977848986299,20,0,0.15,60,-1.0,25.0,True
OV0109,0.6102045549063563,0.12007139997474803,-0.1522509558934404,0.4703451422672683,20,0,0.15,120,-1.0,25.0,True
OV0097,0.6003542281162879,0.12102254291835668,-0.16047721143933957,0.4755249778350232,20,0,0.12,60,-1.0,25.0,True
OV0213,0.5736562378277599,0.1165972262948538,-0.1522509558934404,0.5062194475563856,60,3,0.12,120,-1.0,25.0,True
OV0037,0.5492998211528308,0.11088711497290293,-0.1522509558934404,0.5177302344463801,0,3,0.1,120,-1.0,25.0,True
OV0089,0.5329288406107985,0.10272875976086837,-0.15590689161157545,0.45245172061429195,20,0,0.1,60,-1.0,25.0,True
OV0101,0.5154811842931204,0.0970765575285073,-0.1522509558934404,0.44719993301401106,20,0,0.12,120,-1.0,25.0,True
OV0205,0.47030512092394294,0.09314336160820469,-0.1522509558934404,0.4832474758256905,60,3,0.1,120,-1.0,25.0,True
OV0093,0.4241892096960951,0.07728224875401923,-0.1522509558934404,0.4225702941668151,20,0,0.1,120,-1.0,25.0,True
OV0057,0.30447086027572395,0.06014430886150279,-0.16259402397799083,0.5172413793103449,0,6,0.0,60,-1.0,25.0,True
OV0069,0.30447086027572395,0.06014430886150279,-0.16259402397799083,0.5172413793103449,0,6,0.12,60,-1.0,25.0,True
OV0077,0.30447086027572395,0.06014430886150279,-0.16259402397799083,0.5172413793103449,0,6,0.15,60,-1.0,25.0,True
OV0081,0.30447086027572395,0.06014430886150279,-0.16259402397799083,0.5172413793103449,0,6,0.15,120,-1.0,25.0,True
OV0073,0.29610157779946844,0.05835686113372329,-0.16400592554323878,0.512303129545024,0,6,0.12,120,-1.0,25.0,True
OV0281,0.29525518135512563,0.05657584096117807,-0.1522509558934404,0.4482758620689655,120,3,0.0,60,-1.0,25.0,True
OV0301,0.29525518135512563,0.05657584096117807,-0.1522509558934404,0.4482758620689655,120,3,0.15,60,-1.0,25.0,True
