spec_id,worst_segment_return,worst_segment_sharpe,worst_segment_drawdown,minimum_segment_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps
OV0085,0.05034538268642175,0.6472133909082938,-0.16374728273794914,0.5,20,0,0.0,60,-1.0,25.0
OV0105,0.04404066704484455,0.613472008156548,-0.16426156740050546,0.4676613250747492,20,0,0.15,60,-1.0,25.0
OV0109,0.049533507897934204,0.6102045549063563,-0.1522509558934404,0.4703451422672683,20,0,0.15,120,-1.0,25.0
OV0097,0.03476162582847131,0.6003542281162879,-0.16047721143933957,0.3752747991238138,20,0,0.12,60,-1.0,25.0
OV0113,0.05297782725455935,0.5388582886064626,-0.1522509558934404,0.3793103448275862,20,3,0.0,60,-1.0,25.0
OV0133,0.046657310320645795,0.5388582886064626,-0.1522509558934404,0.3793103448275862,20,3,0.15,60,-1.0,25.0
OV0089,0.028753666439495174,0.5329288406107985,-0.15590689161157545,0.3127289992698448,20,0,0.1,60,-1.0,25.0
OV0101,0.040011171581692206,0.5154811842931204,-0.1522509558934404,0.38320649990600825,20,0,0.12,120,-1.0,25.0
OV0125,0.03735501336187563,0.5066880265068637,-0.1522509558934404,0.3752747991238138,20,3,0.12,60,-1.0,25.0
OV0093,0.033531202685375794,0.4241892096960951,-0.1522509558934404,0.31933874992167355,20,0,0.1,120,-1.0,25.0
OV0117,0.031316691977648636,0.40408656142225324,-0.1522509558934404,0.3127289992698448,20,3,0.1,60,-1.0,25.0
OV0137,0.05216391769216533,0.4027272441914906,-0.1522509558934404,0.3719391125697809,20,3,0.15,120,-1.0,25.0
OV0057,0.06014430886150279,0.30447086027572395,-0.16259402397799083,0.5172413793103449,0,6,0.0,60,-1.0,25.0
OV0069,0.06014430886150279,0.30447086027572395,-0.16259402397799083,0.5172413793103449,0,6,0.12,60,-1.0,25.0
OV0077,0.06014430886150279,0.30447086027572395,-0.16259402397799083,0.5172413793103449,0,6,0.15,60,-1.0,25.0
OV0081,0.06014430886150279,0.30447086027572395,-0.16259402397799083,0.5172413793103449,0,6,0.15,120,-1.0,25.0
OV0073,0.05835686113372329,0.29610157779946844,-0.16400592554323878,0.512303129545024,0,6,0.12,120,-1.0,25.0
OV0061,0.05642313313163405,0.2887293414505345,-0.16419441637354815,0.5072812345440877,0,6,0.1,60,-1.0,25.0
OV0129,0.04211210071106675,0.28833753361054754,-0.1522509558934404,0.36157855753188317,20,3,0.12,120,-1.0,25.0
