spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,fold,method,exposure,market_growth,strategy_growth,validation_ic,estimated_volatility
OV0029,0,3,0.0,60,-1.0,25.0,0,AUR,1.0,,,0.1458097053584929,
OV0029,0,3,0.0,60,-1.0,25.0,1,AUR,0.0,,-0.11855457457300356,0.1651887279683717,
OV0029,0,3,0.0,60,-1.0,25.0,2,AUR,0.0,,-0.15604560392888311,0.0764920859628268,
OV0029,0,3,0.0,60,-1.0,25.0,3,AUR,0.0,,-0.18665802131223364,-0.1837065178421047,
OV0029,0,3,0.0,60,-1.0,25.0,4,AUR,0.0,,-0.09853400703144222,-0.0833110018313464,
OV0029,0,3,0.0,60,-1.0,25.0,5,AUR,0.0,,-0.051838215757001316,-0.2177020551437719,
OV0029,0,3,0.0,60,-1.0,25.0,6,AUR,0.0,,-0.04579371862132808,-0.0701645315303165,
OV0029,0,3,0.0,60,-1.0,25.0,7,AUR,0.0,,-0.05193952331171614,0.2463882802545031,
OV0029,0,3,0.0,60,-1.0,25.0,8,AUR,0.0,,-0.2962566077315799,0.0379681151139238,
OV0029,0,3,0.0,60,-1.0,25.0,9,AUR,0.0,,-0.311241101658539,0.1502621043863483,
OV0029,0,3,0.0,60,-1.0,25.0,10,AUR,0.0,,-0.2647674141447458,0.1650907409819335,
OV0029,0,3,0.0,60,-1.0,25.0,11,AUR,1.0,,0.014085270038660225,0.0388024821303733,
OV0029,0,3,0.0,60,-1.0,25.0,12,AUR,1.0,,0.10592197852438479,0.0857661112981593,
OV0029,0,3,0.0,60,-1.0,25.0,13,AUR,1.0,,0.06529594095101254,-0.0118121491210678,
OV0029,0,3,0.0,60,-1.0,25.0,14,AUR,1.0,,0.16237774354026935,-0.0829658433754555,
OV0029,0,3,0.0,60,-1.0,25.0,15,AUR,1.0,,0.1362927301514174,-0.1163422734384221,
OV0029,0,3,0.0,60,-1.0,25.0,16,AUR,1.0,,0.16456394491030113,-0.0972193519230404,
OV0029,0,3,0.0,60,-1.0,25.0,17,AUR,1.0,,0.014822272879747578,-0.0438253331721124,
OV0029,0,3,0.0,60,-1.0,25.0,18,AUR,1.0,,0.0015802057406721914,0.0142662951684129,
OV0029,0,3,0.0,60,-1.0,25.0,19,AUR,0.0,,-0.06428315449119792,0.2494091763766036,
OV0029,0,3,0.0,60,-1.0,25.0,20,AUR,0.0,,-0.022147201024683594,0.1029391640332599,
OV0029,0,3,0.0,60,-1.0,25.0,21,AUR,1.0,,0.020066041837675463,-0.1310774178573737,
OV0029,0,3,0.0,60,-1.0,25.0,22,AUR,1.0,,0.1283692165820094,0.0022795944089448,
OV0029,0,3,0.0,60,-1.0,25.0,23,AUR,1.0,,0.15349026908127672,0.2069822865702641,
OV0029,0,3,0.0,60,-1.0,25.0,24,AUR,1.0,,0.15893434300042109,0.2230909201258613,
OV0029,0,3,0.0,60,-1.0,25.0,25,AUR,1.0,,0.05988861142053947,0.1294554999475838,
OV0029,0,3,0.0,60,-1.0,25.0,26,AUR,1.0,,0.04413016782587387,0.0168922292662246,
OV0029,0,3,0.0,60,-1.0,25.0,27,AUR,1.0,,0.030959999251017223,0.0039280143056151,
OV0029,0,3,0.0,60,-1.0,25.0,28,AUR,1.0,,0.08046986622033958,0.1364658880697113,
OV0029,0,3,0.0,60,-1.0,25.0,29,AUR,1.0,,0.061629005045290564,0.1751334860819501,
OV0029,0,3,0.0,60,-1.0,25.0,30,AUR,1.0,,0.06023118547024531,0.2028157696886655,
OV0029,0,3,0.0,60,-1.0,25.0,31,AUR,1.0,,0.04683616431237825,0.1823543012343227,
OV0029,0,3,0.0,60,-1.0,25.0,32,AUR,1.0,,0.033564823852201275,-0.0161127245186476,
OV0029,0,3,0.0,60,-1.0,25.0,33,AUR,1.0,,0.025915375903065918,-0.0502237866081455,
OV0029,0,3,0.0,60,-1.0,25.0,34,AUR,1.0,,0.0301293168847252,0.0650710321782027,
OV0029,0,3,0.0,60,-1.0,25.0,35,AUR,1.0,,0.05007122692066912,0.0561668883433754,
OV0029,0,3,0.0,60,-1.0,25.0,36,AUR,1.0,,0.025049943896675142,0.0599747848468538,
OV0029,0,3,0.0,60,-1.0,25.0,37,AUR,0.0,,-0.04421026138017936,0.125899687672472,
OV0029,0,3,0.0,60,-1.0,25.0,38,AUR,0.0,,-0.042490267927886016,0.218636987248964,
OV0029,0,3,0.0,60,-1.0,25.0,39,AUR,0.0,,-0.01722392203782741,0.1483290012628619,
OV0029,0,3,0.0,60,-1.0,25.0,40,AUR,1.0,,0.1421757236055865,-0.0483882103213375,
OV0029,0,3,0.0,60,-1.0,25.0,41,AUR,1.0,,0.16852502226815735,-0.0791962703574307,
OV0029,0,3,0.0,60,-1.0,25.0,42,AUR,1.0,,0.1454138718225888,0.0715353286812834,
OV0029,0,3,0.0,60,-1.0,25.0,43,AUR,1.0,,0.05010532424087866,0.2001132122074369,
OV0029,0,3,0.0,60,-1.0,25.0,44,AUR,0.0,,-0.023929659373576717,0.1723597320132825,
OV0029,0,3,0.0,60,-1.0,25.0,45,AUR,0.0,,-0.028385495785316905,0.1294274309711267,
OV0029,0,3,0.0,60,-1.0,25.0,46,AUR,1.0,,0.0035733710748382386,0.1446241484613002,
OV0029,0,3,0.0,60,-1.0,25.0,47,AUR,1.0,,0.07832586720444246,0.1372321707601958,
OV0029,0,3,0.0,60,-1.0,25.0,48,AUR,1.0,,0.09385540719169527,0.101280568912574,
OV0029,0,3,0.0,60,-1.0,25.0,49,AUR,1.0,,0.15732284567380161,0.2303503087764476,
OV0029,0,3,0.0,60,-1.0,25.0,50,AUR,1.0,,0.14652456792540902,0.2200433263251226,
OV0029,0,3,0.0,60,-1.0,25.0,51,AUR,1.0,,0.08628770234085081,0.0716928067972777,
OV0029,0,3,0.0,60,-1.0,25.0,52,AUR,0.0,,-0.030341153767031614,0.1268019033867795,
OV0029,0,3,0.0,60,-1.0,25.0,0,QAUR,1.0,,,0.1458097053584929,
OV0029,0,3,0.0,60,-1.0,25.0,1,QAUR,0.0,,-0.11855457457300356,0.1651887279683717,
OV0029,0,3,0.0,60,-1.0,25.0,2,QAUR,0.0,,-0.15604560392888311,0.0764920859628268,
OV0029,0,3,0.0,60,-1.0,25.0,3,QAUR,0.0,,-0.18665802131223364,-0.1837065178421047,
OV0029,0,3,0.0,60,-1.0,25.0,4,QAUR,0.0,,-0.09853400703144222,-0.0833110018313464,
OV0029,0,3,0.0,60,-1.0,25.0,5,QAUR,0.0,,-0.051838215757001316,-0.2177020551437719,
OV0029,0,3,0.0,60,-1.0,25.0,6,QAUR,0.0,,-0.04579371862132808,-0.0701645315303165,
OV0029,0,3,0.0,60,-1.0,25.0,7,QAUR,0.0,,-0.05193952331171614,0.2463882802545031,
OV0029,0,3,0.0,60,-1.0,25.0,8,QAUR,0.0,,-0.2962566077315799,0.0379681151139238,
OV0029,0,3,0.0,60,-1.0,25.0,9,QAUR,0.0,,-0.311241101658539,0.1502621043863483,
OV0029,0,3,0.0,60,-1.0,25.0,10,QAUR,0.0,,-0.2647674141447458,0.1650907409819335,
OV0029,0,3,0.0,60,-1.0,25.0,11,QAUR,1.0,,0.014085270038660225,0.0388024821303733,
OV0029,0,3,0.0,60,-1.0,25.0,12,QAUR,1.0,,0.10592197852438479,0.0857661112981593,
OV0029,0,3,0.0,60,-1.0,25.0,13,QAUR,1.0,,0.06529594095101254,-0.0118121491210678,
OV0029,0,3,0.0,60,-1.0,25.0,14,QAUR,1.0,,0.16237774354026935,-0.0829658433754555,
OV0029,0,3,0.0,60,-1.0,25.0,15,QAUR,1.0,,0.1362927301514174,-0.1163422734384221,
OV0029,0,3,0.0,60,-1.0,25.0,16,QAUR,1.0,,0.16456394491030113,-0.0972193519230404,
OV0029,0,3,0.0,60,-1.0,25.0,17,QAUR,1.0,,0.014822272879747578,-0.0438253331721124,
OV0029,0,3,0.0,60,-1.0,25.0,18,QAUR,1.0,,0.0015802057406721914,0.0142662951684129,
OV0029,0,3,0.0,60,-1.0,25.0,19,QAUR,0.0,,-0.06428315449119792,0.2494091763766036,
