fold,decision_time,validation_rank_ic,validation_rmse,train_rows,universe_size,runtime_seconds
0,2022-04-01,0.1458097053584929,0.28254813914985427,52345,110,0.5068306000030134
1,2022-04-29,0.1651887279683717,0.2828849382534375,52738,110,0.3759694999898784
2,2022-06-01,0.0764920859628268,0.28695822413675875,52551,106,0.4027330999961123
3,2022-07-01,-0.18370651784210473,0.2948174476593991,52679,107,0.36986889998661354
4,2022-08-01,-0.08331100183134646,0.3001974421712114,52778,103,0.39596239998354577
5,2022-08-31,-0.2177020551437719,0.3067902455779144,52813,101,0.501388999982737
6,2022-09-30,-0.07016453153031657,0.3060973403683485,52841,103,0.36767190002137795
7,2022-11-01,0.24638828025450318,0.2828927969986466,52758,103,0.3883882999944035
8,2022-12-01,0.03796811511392387,0.2908671684281142,52741,104,0.31346880001365207
9,2022-12-30,0.1502621043863483,0.28249105674287556,52577,101,0.31504250000580214
10,2023-02-01,0.1650907409819335,0.28115183760855916,52626,102,0.38033110002288595
11,2023-03-01,0.03880248213037335,0.2907168326213364,52548,97,0.3398465999925975
12,2023-03-31,0.08576611129815939,0.2871861890795432,52237,100,0.36073439999017864
13,2023-04-28,-0.011812149121067803,0.2916216636772326,51642,95,0.34940539998933673
14,2023-06-01,-0.08296584337545557,0.29313545153205156,52072,94,0.33973300000070594
15,2023-06-30,-0.1163422734384221,0.2950535769259741,51772,96,0.31659899998339824
16,2023-08-01,-0.09721935192304045,0.29035227714336725,51765,95,0.36813219997566193
17,2023-08-31,-0.04382533317211245,0.2897203783419038,51609,94,0.34250780000002123
18,2023-09-29,0.014266295168412971,0.2877722440558391,51342,92,0.32282840000698343
19,2023-11-01,0.24940917637660365,0.2833375894134214,51320,96,0.32922770001459867
20,2023-12-01,0.10293916403325992,0.28445321816762453,51046,96,0.32621100000687875
21,2023-12-29,-0.13107741785737376,0.291072443810885,50769,95,0.34315189998596907
22,2024-02-01,0.002279594408944858,0.2869174862227712,50741,95,0.3684351000119932
23,2024-03-01,0.2069822865702641,0.281005653009858,50473,94,0.34186320001026616
24,2024-04-01,0.22309092012586137,0.28217693626262486,50018,95,0.3871106000151485
25,2024-04-26,0.12945549994758387,0.28549079295207724,50211,92,0.31364760000724345
26,2024-05-31,0.016892229266224693,0.288808243009995,49958,90,0.348205299989786
27,2024-07-01,0.0039280143056151535,0.2887008765095408,49548,91,0.31922609999310225
28,2024-08-01,0.13646588806971136,0.28433863382503094,49309,95,0.38305820000823587
29,2024-08-30,0.1751334860819501,0.28243803388437433,49276,96,0.34851939999498427
30,2024-10-01,0.20281576968866555,0.28183341374166493,49095,95,0.35355289999279194
31,2024-11-01,0.18235430123432275,0.2817127803120555,49212,90,0.33832410001195967
32,2024-11-29,-0.016112724518647665,0.2898459980015797,49022,95,0.3761244000052102
33,2024-12-31,-0.05022378660814551,0.2906907432647252,48910,93,0.35856459999922663
34,2025-01-24,0.06507103217820279,0.28612453371740587,48861,94,0.33319780000601895
35,2025-02-28,0.056166888343375417,0.28703247340158333,48582,96,0.31003140000393614
36,2025-04-01,0.059974784846853896,0.2870616146379974,48676,94,0.3432775999826845
37,2025-04-29,0.12589968767247203,0.2859869829446048,48606,93,0.4121084999933373
38,2025-05-30,0.21863698724896405,0.2828700615545289,48582,94,0.33673710000584833
39,2025-07-01,0.14832900126286194,0.2850995889170635,48550,92,0.33867570001166314
40,2025-08-01,-0.048388210321337596,0.2907667718503486,48439,95,0.3192951999953948
41,2025-08-29,-0.07919627035743076,0.29205430631703994,48322,95,0.38511460000881925
42,2025-10-01,0.07153532868128344,0.2881167263239491,48366,97,0.36360809998586774
43,2025-10-31,0.20011321220743694,0.2828217056204211,48470,97,0.3392306999885477
