fold,date,method,return
45,2026-01-05,AUR,-0.009811599269994902
45,2026-01-05,QAUR,-0.009211599269994913
45,2026-01-06,AUR,-0.010239272952883585
45,2026-01-06,QAUR,-0.010239272952883603
45,2026-01-07,AUR,0.024782322791694532
45,2026-01-07,QAUR,0.02478232279169456
45,2026-01-08,AUR,0.0017177465409944515
45,2026-01-08,QAUR,0.0017177465409944418
45,2026-01-09,AUR,-0.005236532897626454
45,2026-01-09,QAUR,-0.00523653289762646
45,2026-01-12,AUR,0.013347705070130413
45,2026-01-12,QAUR,0.013347705070130444
45,2026-01-13,AUR,-0.020251710607785568
45,2026-01-13,QAUR,-0.020251710607785602
45,2026-01-14,AUR,-0.0018401745329188312
45,2026-01-14,QAUR,-0.0018401745329188687
45,2026-01-15,AUR,0.01664438255502633
45,2026-01-15,QAUR,0.016644382555026302
45,2026-01-16,AUR,-0.006869762786874687
45,2026-01-16,QAUR,-0.00686976278687465
45,2026-01-19,AUR,-0.005613997433270075
45,2026-01-19,QAUR,-0.005613997433270061
45,2026-01-20,AUR,0.0030570801294967677
45,2026-01-20,QAUR,0.00305708012949675
45,2026-01-21,AUR,0.00653811518628217
45,2026-01-21,QAUR,0.006538115186282165
45,2026-01-22,AUR,0.01684907647008193
45,2026-01-22,QAUR,0.016849076470081898
45,2026-01-23,AUR,0.00201325982575984
45,2026-01-23,QAUR,0.002013259825759838
45,2026-01-26,AUR,-0.020839182180331
45,2026-01-26,QAUR,-0.020839182180330984
45,2026-01-27,AUR,-0.0032025838247125306
45,2026-01-27,QAUR,-0.0032025838247125237
45,2026-01-28,AUR,0.0007294995648372488
45,2026-01-28,QAUR,0.0007294995648372425
46,2026-02-02,AUR,-0.009095148315736577
46,2026-02-02,QAUR,-0.006919863445833649
46,2026-02-03,AUR,0.004227261002769251
46,2026-02-03,QAUR,0.002955978820946988
46,2026-02-04,AUR,0.004699641959892977
46,2026-02-04,QAUR,0.003384304200381487
46,2026-02-05,AUR,-0.0015104750434179123
46,2026-02-05,QAUR,0.003513060302786633
46,2026-02-06,AUR,0.008499367574756611
46,2026-02-06,QAUR,0.010916761532187905
46,2026-02-09,AUR,-0.008841366358192135
46,2026-02-09,QAUR,-0.009244614591340872
46,2026-02-10,AUR,0.00538432182767295
46,2026-02-10,QAUR,0.00555843691937555
46,2026-02-11,AUR,-0.004003097546730741
