fold,date,method,return
6,2022-10-03,AUR,-0.006133670260591035
6,2022-10-03,QAUR,-0.008920840682638537
6,2022-10-04,AUR,0.005323225943820964
6,2022-10-04,QAUR,0.002739209573957962
6,2022-10-05,AUR,-0.002925297997734735
6,2022-10-05,QAUR,-0.0012404279613280127
6,2022-10-06,AUR,-0.043007872930897584
6,2022-10-06,QAUR,-0.03469098264025295
6,2022-10-07,AUR,0.02913918420653838
6,2022-10-07,QAUR,0.00045652887926173405
6,2022-10-10,AUR,0.036058955330484574
6,2022-10-10,QAUR,0.01886970546984571
6,2022-10-11,AUR,-0.022257526572548824
6,2022-10-11,QAUR,-0.009011705049587404
6,2022-10-12,AUR,0.03094773910237527
6,2022-10-12,QAUR,0.0296033588449515
6,2022-10-13,AUR,0.0032325176140205747
6,2022-10-13,QAUR,0.007131997683344672
6,2022-10-14,AUR,-0.011392843340232264
6,2022-10-14,QAUR,-0.01204031997366541
6,2022-10-17,AUR,-0.0021816223315490263
6,2022-10-17,QAUR,-0.004530277035644034
6,2022-10-18,AUR,-0.0018424057860677604
6,2022-10-18,QAUR,0.006269699292955094
6,2022-10-19,AUR,0.0032622316423585717
6,2022-10-19,QAUR,0.01956168562737258
6,2022-10-20,AUR,-0.0017218385073938785
6,2022-10-20,QAUR,-0.020024058630978333
6,2022-10-21,AUR,-0.015235232921049587
6,2022-10-21,QAUR,-0.010790121093063517
6,2022-10-24,AUR,-0.026592044491792848
6,2022-10-24,QAUR,-0.018970009621529855
6,2022-10-25,AUR,-0.012361823068940906
6,2022-10-25,QAUR,-0.00917918629196149
6,2022-10-26,AUR,-0.005292927247950387
6,2022-10-26,QAUR,5.596287035410269e-05
6,2022-10-27,AUR,0.010691940462637831
6,2022-10-27,QAUR,0.012326304987299551
6,2022-10-28,AUR,0.01735602833425048
6,2022-10-28,QAUR,0.007912351051373485
6,2022-10-31,AUR,-0.025248621405440895
6,2022-10-31,QAUR,-0.025627922942783644
6,2022-11-01,AUR,0.030745610523457825
6,2022-11-01,QAUR,0.017978942841882
7,2022-11-02,AUR,-0.011960361220202042
7,2022-11-02,QAUR,-0.0008449254128267479
7,2022-11-03,AUR,-0.010730081438824375
7,2022-11-03,QAUR,-0.007459692808827164
7,2022-11-04,AUR,-0.004206607757962449
7,2022-11-04,QAUR,-0.005819640241153244
7,2022-11-07,AUR,-0.00944041529925634
7,2022-11-07,QAUR,-0.025680891233984506
7,2022-11-08,AUR,-0.0018331536348021968
7,2022-11-08,QAUR,-0.0031071754719901156
7,2022-11-09,AUR,-0.044935417231524874
7,2022-11-09,QAUR,-0.021745035475394827
7,2022-11-10,AUR,-0.05001123484987712
7,2022-11-10,QAUR,-0.014858912716627362
7,2022-11-11,AUR,-0.004672030215407847
7,2022-11-11,QAUR,-0.01685746057691372
7,2022-11-14,AUR,-0.02953658891997492
7,2022-11-14,QAUR,-0.031877155493477485
7,2022-11-15,AUR,-0.025711719474799846
7,2022-11-15,QAUR,-0.03637903953439315
7,2022-11-16,AUR,-0.04848666651569861
7,2022-11-16,QAUR,-0.003710761591799795
7,2022-11-17,AUR,0.028692465119685782
7,2022-11-17,QAUR,-0.023079668227804353
7,2022-11-18,AUR,-0.020944806798445452
7,2022-11-18,QAUR,0.004194465358444378
7,2022-11-21,AUR,-0.03527110752724794
7,2022-11-21,QAUR,-0.013253571571990851
7,2022-11-22,AUR,-0.026290629679236795
7,2022-11-22,QAUR,-0.022606389551371574
7,2022-11-23,AUR,-0.003078129973483215
7,2022-11-23,QAUR,0.007796503611512413
7,2022-11-24,AUR,-0.013174342481958153
7,2022-11-24,QAUR,-0.016547814618414616
7,2022-11-25,AUR,-0.010712589638917462
7,2022-11-25,QAUR,-0.017056640508380176
7,2022-11-28,AUR,-0.009964508663843533
7,2022-11-28,QAUR,-0.006297324376716357
7,2022-11-29,AUR,-0.005000497105090299
7,2022-11-29,QAUR,-0.006634314782977153
7,2022-11-30,AUR,0.02393616957878865
7,2022-11-30,QAUR,0.02777313186531325
7,2022-12-01,AUR,0.03194781432999347
7,2022-12-01,QAUR,0.023212085419012016
8,2022-12-02,AUR,0.022741127774615223
8,2022-12-02,QAUR,0.022691127774615186
8,2022-12-05,AUR,0.007109681843710971
8,2022-12-05,QAUR,0.0071096818437110226
8,2022-12-06,AUR,-0.015366477935161438
8,2022-12-06,QAUR,-0.015366477935161375
8,2022-12-07,AUR,-0.0016301629977052408
8,2022-12-07,QAUR,-0.0016301629977052273
8,2022-12-08,AUR,0.005576925052001051
8,2022-12-08,QAUR,0.005576925052001031
8,2022-12-09,AUR,0.013825755771110664
8,2022-12-09,QAUR,0.01382575577111066
8,2022-12-12,AUR,-0.0007051655303808475
8,2022-12-12,QAUR,-0.0007051655303808532
8,2022-12-13,AUR,0.008316209819244767
8,2022-12-13,QAUR,0.008316209819244769
8,2022-12-14,AUR,-0.002932214042733386
8,2022-12-14,QAUR,-0.002932214042733405
8,2022-12-15,AUR,0.006344141949580681
8,2022-12-15,QAUR,0.006344141949580707
8,2022-12-16,AUR,-0.0009196352535059474
8,2022-12-16,QAUR,-0.0009196352535059487
8,2022-12-19,AUR,-0.007661094256911893
8,2022-12-19,QAUR,-0.007661094256911907
8,2022-12-20,AUR,-0.0035216265858485194
8,2022-12-20,QAUR,-0.0035216265858485428
8,2022-12-21,AUR,0.0010362108594624158
8,2022-12-21,QAUR,0.0010362108594624189
8,2022-12-22,AUR,0.00530849595149665
8,2022-12-22,QAUR,0.0053084959514966956
8,2022-12-23,AUR,-0.002216707603231055
8,2022-12-23,QAUR,-0.0022167076032310095
8,2022-12-26,AUR,-0.013669027045160102
8,2022-12-26,QAUR,-0.013669027045160143
8,2022-12-27,AUR,-0.0026514105251455315
8,2022-12-27,QAUR,-0.002651410525145544
8,2022-12-28,AUR,0.01351501328109761
8,2022-12-28,QAUR,0.013515013281097589
8,2022-12-29,AUR,-0.0015532094784606347
8,2022-12-29,QAUR,-0.0015532094784606112
8,2022-12-30,AUR,0.015058484055918319
8,2022-12-30,QAUR,0.015058484055918347
9,2023-01-03,AUR,0.012481388731246847
9,2023-01-03,QAUR,0.011237890005797247
9,2023-01-04,AUR,0.01546919334137458
9,2023-01-04,QAUR,0.0015956390310153234
9,2023-01-05,AUR,0.01098585245175964
9,2023-01-05,QAUR,0.008849674114638027
9,2023-01-06,AUR,-0.01886260173097243
9,2023-01-06,QAUR,-0.00584096407913371
9,2023-01-09,AUR,0.005327344789719703
9,2023-01-09,QAUR,0.0009207020860166823
9,2023-01-10,AUR,-0.002998942932582779
9,2023-01-10,QAUR,-0.00314321339079571
9,2023-01-11,AUR,0.009298686867449299
9,2023-01-11,QAUR,0.014045791796582469
9,2023-01-12,AUR,-0.0027615292502737275
9,2023-01-12,QAUR,0.000818880873958639
9,2023-01-13,AUR,-0.0037555765881751224
9,2023-01-13,QAUR,-0.005497679504713212
9,2023-01-16,AUR,0.004659474915454668
9,2023-01-16,QAUR,-0.008988304267877369
9,2023-01-17,AUR,0.00706357596909433
9,2023-01-17,QAUR,0.007766448884905921
9,2023-01-18,AUR,0.005932398404234305
9,2023-01-18,QAUR,0.009241027308416395
9,2023-01-19,AUR,0.011108717740282308
9,2023-01-19,QAUR,0.012473706709816079
9,2023-01-27,AUR,0.01245129783688478
9,2023-01-27,QAUR,0.012087190598700129
9,2023-01-30,AUR,-0.007439240188902277
