config_id,fold,method,ticker,selected_downstream,weight
W_K8P4_CP30,51,AUR,BWE,True,0.30000000000000004
W_K8P4_CP30,51,AUR,CLL,True,0.29223009759753754
W_K8P4_CP30,51,AUR,CLW,False,0.0
W_K8P4_CP30,51,AUR,DCM,False,0.0
W_K8P4_CP30,51,AUR,STB,False,0.0
W_K8P4_CP30,51,AUR,VCB,True,0.30000000000000004
W_K8P4_CP30,51,AUR,VJC,False,0.0
W_K8P4_CP30,51,AUR,VPI,True,0.10776990240246229
W_K8P4_CP30,51,QAUR,BWE,True,0.30000000000000004
W_K8P4_CP30,51,QAUR,CLL,True,0.2922315262346457
W_K8P4_CP30,51,QAUR,CLW,False,0.0
W_K8P4_CP30,51,QAUR,DCM,False,0.0
W_K8P4_CP30,51,QAUR,STB,False,0.0
W_K8P4_CP30,51,QAUR,VCB,True,0.3
W_K8P4_CP30,51,QAUR,VJC,False,0.0
W_K8P4_CP30,51,QAUR,VPI,True,0.10776847376535423
W_K8P4_CP50,51,AUR,BWE,True,0.30000000000000004
W_K8P4_CP50,51,AUR,CLL,True,0.29223152427878485
W_K8P4_CP50,51,AUR,CLW,False,0.0
W_K8P4_CP50,51,AUR,DCM,False,0.0
W_K8P4_CP50,51,AUR,STB,False,0.0
W_K8P4_CP50,51,AUR,VCB,True,0.2999999999999999
W_K8P4_CP50,51,AUR,VJC,False,0.0
W_K8P4_CP50,51,AUR,VPI,True,0.10776847572121522
W_K8P4_CP50,51,QAUR,ASP,False,0.0
W_K8P4_CP50,51,QAUR,CLL,True,0.22770043777275029
W_K8P4_CP50,51,QAUR,CLW,True,0.3
W_K8P4_CP50,51,QAUR,DCM,False,0.0
W_K8P4_CP50,51,QAUR,STB,False,0.0
W_K8P4_CP50,51,QAUR,VCB,True,0.2999999999999998
W_K8P4_CP50,51,QAUR,VJC,False,0.0
W_K8P4_CP50,51,QAUR,VPI,True,0.1722995622272498
W_K8P4_CP75,51,AUR,CLL,True,0.18410714124486013
W_K8P4_CP75,51,AUR,CLW,True,0.3
W_K8P4_CP75,51,AUR,DCL,False,0.0
W_K8P4_CP75,51,AUR,DCM,False,0.0
W_K8P4_CP75,51,AUR,SRF,False,0.0
W_K8P4_CP75,51,AUR,STB,True,0.21589285875513986
W_K8P4_CP75,51,AUR,VCB,True,0.3
W_K8P4_CP75,51,AUR,VJC,False,0.0
W_K8P4_CP75,51,QAUR,CLL,True,0.18410714124486013
W_K8P4_CP75,51,QAUR,CLW,True,0.3
W_K8P4_CP75,51,QAUR,DCL,False,0.0
W_K8P4_CP75,51,QAUR,DCM,False,0.0
W_K8P4_CP75,51,QAUR,SRF,False,0.0
W_K8P4_CP75,51,QAUR,STB,True,0.21589285875513986
W_K8P4_CP75,51,QAUR,VCB,True,0.3
W_K8P4_CP75,51,QAUR,VJC,False,0.0
