fold,selected_config,trailing_score,lookback_folds
6,W_K8P4_CP75,-1.210384403241541,6
7,W_K10P6_CP75,-0.8103057416577732,6
8,W_K10P6_CP30,-0.9424468528097957,6
9,W_K10P6_CP30,-0.6410674045274408,6
10,W_K10P6_CP30,-0.02881977515437581,6
11,W_K10P6_CP30,-0.38387040686171625,6
12,W_K10P6_CP30,0.4495375975906175,6
13,W_K10P6_CP30,1.1539709545266592,6
14,W_K10P6_CP30,3.8611099605619468,6
15,W_K10P6_CP30,3.636801624687105,6
16,W_K10P6_CP30,2.933625391708063,6
17,W_K10P6_CP30,2.2817119565376167,6
18,W_K10P6_CP30,2.611799619420389,6
19,W_K8P4_CP30,1.2517373846535862,6
20,W_K8P4_CP30,-0.485012735430579,6
21,W_K10P6_CP30,-0.37731569418906535,6
22,W_K8P4_CP30,0.10338721253934466,6
23,W_K8P4_CP30,1.104192009245071,6
24,W_K10P6_CP30,1.610467606737731,6
25,W_K10P6_CP30,2.530538363815128,6
26,W_K8P4_CP30,3.101043649990306,6
27,W_K8P4_CP30,3.8986490356045858,6
28,W_K10P6_CP50,3.32985235089554,6
29,W_K8P4_CP30,3.32365416243682,6
30,W_K8P4_CP30,3.4123890012859874,6
31,W_K8P4_CP30,4.045546455006777,6
32,W_K8P4_CP30,3.6355726894609797,6
33,W_K10P6_CP30,2.7901378975839712,6
34,W_K10P6_CP30,2.794306575866101,6
35,W_K8P4_CP50,2.535923261826872,6
36,W_K10P6_CP30,1.9360603555273794,6
37,W_K8P4_CP50,0.264721900138375,6
38,W_K8P4_CP50,0.5062213651129794,6
39,W_K8P4_CP50,0.47601901042537564,6
40,W_K8P4_CP50,0.9576755840469933,6
41,W_K8P4_CP50,1.4916724982790561,6
42,W_K10P6_CP50,1.643888070547677,6
43,W_K10P6_CP75,3.4619771020597447,6
44,W_K10P6_CP75,2.868167000370826,6
45,W_K8P4_CP75,2.3863341358207473,6
46,W_K8P4_CP75,1.68618134785447,6
47,W_K8P4_CP75,0.61757506363561,6
48,W_K10P6_CP75,-0.1628534429419428,6
49,W_K8P4_CP75,-0.16641398989564446,6
50,W_K8P4_CP30,0.40818861058774075,6
51,W_K8P4_CP30,0.10798700745720612,6
9,W_K10P6_CP30,-1.5515051265770667,9
10,W_K10P6_CP30,-0.630448234169403,9
11,W_K10P6_CP30,0.24972866473966404,9
12,W_K10P6_CP30,0.15829837077170628,9
13,W_K10P6_CP30,0.07777886547766188,9
14,W_K10P6_CP30,0.5910841827980585,9
15,W_K10P6_CP30,1.329574373316416,9
16,W_K10P6_CP30,2.3057575824038867,9
17,W_K10P6_CP30,2.903070036137922,9
18,W_K10P6_CP30,2.654682652282774,9
19,W_K10P6_CP30,0.982363018216983,9
20,W_K10P6_CP30,0.8671423769556541,9
21,W_K10P6_CP30,1.3143410186644142,9
22,W_K8P4_CP30,1.7899964363757994,9
23,W_K8P4_CP30,1.072853630948437,9
24,W_K10P6_CP30,1.2060162052815788,9
25,W_K8P4_CP30,0.5523716965234666,9
26,W_K8P4_CP30,1.4126624748356575,9
27,W_K8P4_CP30,2.153382527618037,9
28,W_K8P4_CP30,3.2260622399793997,9
29,W_K8P4_CP30,3.684135666633888,9
30,W_K8P4_CP30,3.755466078630201,9
31,W_K8P4_CP30,3.4050301457256644,9
32,W_K8P4_CP30,2.978742641874417,9
33,W_K8P4_CP30,2.822500035718261,9
34,W_K8P4_CP30,3.26938793805607,9
35,W_K10P6_CP30,3.2619597784021375,9
36,W_K10P6_CP30,2.4551597205029,9
37,W_K10P6_CP30,0.9314595080378184,9
38,W_K8P4_CP50,0.9712715101166423,9
39,W_K10P6_CP30,0.8419382900203245,9
40,W_K8P4_CP50,1.1382622834495808,9
41,W_K8P4_CP50,1.5871510212886153,9
42,W_K8P4_CP50,1.4932786484597615,9
43,W_K8P4_CP50,1.4889591265556628,9
44,W_K8P4_CP50,1.2646719111489007,9
45,W_K8P4_CP50,1.211139281161692,9
46,W_K8P4_CP75,2.0303609706798325,9
47,W_K8P4_CP75,1.8658891693507433,9
48,W_K8P4_CP75,1.294461591750033,9
49,W_K8P4_CP75,1.0012681190148098,9
50,W_K10P6_CP75,0.4840260380958997,9
51,W_K8P4_CP75,0.1096892646188001,9
12,W_K10P6_CP30,-0.9746494087276328,12
13,W_K10P6_CP30,-0.47987364192473214,12
14,W_K10P6_CP30,0.8359382198629485,12
15,W_K10P6_CP30,0.8719398017142386,12
16,W_K10P6_CP30,0.9804532142694189,12
17,W_K10P6_CP30,0.5499041824280755,12
18,W_K10P6_CP30,1.1428042454015856,12
19,W_K10P6_CP30,1.188931781051813,12
20,W_K10P6_CP30,1.7585503573726002,12
21,W_K10P6_CP30,1.72052648675827,12
22,W_K10P6_CP30,1.2644056947979774,12
23,W_K10P6_CP30,1.5542374908559835,12
24,W_K10P6_CP30,2.1058423470439567,12
25,W_K8P4_CP30,1.7919805224565688,12
26,W_K8P4_CP30,1.319745356178119,12
27,W_K8P4_CP30,1.70370070093401,12
28,W_K8P4_CP30,1.6036245617725724,12
29,W_K8P4_CP30,2.19683769913221,12
30,W_K8P4_CP30,2.469699427630732,12
31,W_K8P4_CP30,3.3135980828875446,12
32,W_K8P4_CP30,3.3375582054614306,12
33,W_K8P4_CP30,3.226017729113913,12
34,W_K8P4_CP30,2.95801153591822,12
35,W_K10P6_CP75,2.7050077370636894,12
36,W_K8P4_CP30,2.3996278123674952,12
37,W_K8P4_CP30,1.5300400208567673,12
38,W_K10P6_CP30,1.4701095747371253,12
39,W_K10P6_CP30,1.2801026720657682,12
40,W_K10P6_CP30,1.4813975397920371,12
41,W_K8P4_CP50,1.7118644108786238,12
42,W_K8P4_CP50,1.5472730295532575,12
43,W_K8P4_CP50,1.5334325455876754,12
44,W_K10P6_CP50,1.3949122586066698,12
45,W_K8P4_CP50,1.2211494303009534,12
46,W_K8P4_CP50,1.1571887662001274,12
47,W_K8P4_CP50,1.0939859887902488,12
48,W_K8P4_CP50,0.7838977353872165,12
49,W_K8P4_CP75,1.4648405583608728,12
50,W_K8P4_CP75,1.4665930132201868,12
51,W_K8P4_CP75,1.204627044023532,12
18,W_K10P6_CP30,-0.3743285964636325,18
19,W_K10P6_CP30,-0.14293886496462765,18
20,W_K10P6_CP30,0.4565567575318783,18
21,W_K10P6_CP30,0.5614764762265358,18
22,W_K10P6_CP30,0.6297958755262294,18
23,W_K10P6_CP30,0.5994500962654392,18
24,W_K10P6_CP30,1.2458563170035033,18
25,W_K10P6_CP30,1.5045453880382698,18
26,W_K10P6_CP30,1.9554111014754803,18
27,W_K10P6_CP30,2.112686203785793,18
28,W_K10P6_CP30,1.7821913814137207,18
29,W_K10P6_CP30,1.9972144639974618,18
30,W_K8P4_CP30,2.484045640616115,18
31,W_K8P4_CP30,2.550842680341799,18
32,W_K8P4_CP30,2.012840241898481,18
33,W_K8P4_CP30,1.9796472951820734,18
34,W_K8P4_CP30,1.902959439866304,18
35,W_K8P4_CP30,2.1403229987443853,18
36,W_K8P4_CP30,2.1060831969258147,18
37,W_K8P4_CP30,1.7396971484592672,18
38,W_K8P4_CP30,1.8310317426315992,18
39,W_K8P4_CP30,1.7766650044409715,18
40,W_K10P6_CP30,1.7896206964946024,18
41,W_K8P4_CP50,1.8656335076556216,18
42,W_K8P4_CP50,1.798774770526622,18
43,W_K8P4_CP50,1.957889334771493,18
44,W_K8P4_CP50,1.766688071488027,18
45,W_K8P4_CP50,1.467558262459598,18
46,W_K8P4_CP50,1.4057394226411195,18
47,W_K8P4_CP50,1.3671571975107644,18
48,W_K8P4_CP50,0.9682718058099389,18
49,W_K8P4_CP50,1.0029241511386728,18
50,W_K8P4_CP50,1.0735224792011615,18
51,W_K8P4_CP50,0.8498313714530277,18
24,W_K10P6_CP30,-0.100992566142655,24
25,W_K10P6_CP30,0.17433776126781073,24
26,W_K10P6_CP30,0.769270377598687,24
27,W_K10P6_CP30,0.9680332430597902,24
28,W_K10P6_CP30,1.033877221830226,24
29,W_K10P6_CP30,1.0203684637285892,24
30,W_K10P6_CP30,1.4590722712624125,24
31,W_K10P6_CP30,1.90065805561704,24
32,W_K10P6_CP30,2.332630641796846,24
33,W_K10P6_CP30,2.2897442611482237,24
