candidate_size,portfolio_cardinality,weight_upper,weight_mode,method,specifications,median_cumulative_return,best_cumulative_return,median_sharpe,median_drawdown
8,4,0.3,inverse_volatility,AUR,2,0.06219244025923221,0.11161902734643814,0.738275548483411,-0.09619265088157514
10,8,0.15,inverse_volatility,AUR,2,0.05140718233064645,0.057615877497069645,0.6688541977276077,-0.08723296817731119
10,6,0.25,inverse_volatility,AUR,2,0.047015528045660226,0.06399099607524872,0.634853820315677,-0.07836126461833337
8,4,0.3,equal,AUR,2,0.05277149976851936,0.09740207532714917,0.5963401916760106,-0.09876643719802097
10,8,0.15,equal,AUR,2,0.041990353407653114,0.05415390332875636,0.5224167391223475,-0.09308705867554595
10,6,0.25,equal,AUR,2,0.03917785917784855,0.04261092152193369,0.5067059670882196,-0.08201422176478379
10,8,0.15,normalized_mean_variance,AUR,4,0.03706459479461588,0.06630124457855202,0.4598042249092583,-0.09716066572436366
8,4,0.4,raw_mean_variance,AUR,1,0.04689890467285074,0.04689890467285074,0.4388824600343734,-0.10129742597173919
8,4,0.3,normalized_mean_variance,AUR,7,-0.008514877637131768,0.0330264260635158,-0.09584033633522002,-0.09989665782585921
10,6,0.25,normalized_mean_variance,AUR,19,-0.04135000453072568,0.061112872494304415,-0.7925476914786622,-0.08779291862204797
8,4,0.3,inverse_volatility,QAUR,2,0.06300494063951478,0.11324402810700329,0.7571765433159008,-0.09720753492305745
10,6,0.25,inverse_volatility,QAUR,2,0.053771214204395124,0.07750236839271851,0.7129543341307583,-0.0783612646183332
10,8,0.15,inverse_volatility,QAUR,2,0.05030905292134247,0.057615877497069645,0.654742217279105,-0.08723296817731097
8,4,0.3,equal,QAUR,2,0.051860889707491364,0.09558085520509318,0.6064193377783392,-0.0992301757425928
10,6,0.25,equal,QAUR,2,0.04743845451471185,0.05913211219566028,0.5985007762887786,-0.08201422176478401
10,8,0.15,equal,QAUR,2,0.03873432844336089,0.05415390332875636,0.4813217987446765,-0.09308705867554606
10,8,0.15,normalized_mean_variance,QAUR,4,0.028740638960385922,0.06630124457855202,0.3579008889321353,-0.09716066572436366
8,4,0.4,raw_mean_variance,QAUR,1,0.013056735294707744,0.013056735294707744,0.1299711825975689,-0.09491426082735033
8,4,0.3,normalized_mean_variance,QAUR,7,-0.011985562656484872,0.03832365531287252,-0.13448847844550138,-0.09989665782585921
10,6,0.25,normalized_mean_variance,QAUR,19,-0.02591087572183215,0.051623767489034744,-0.5051349631452068,-0.08396877894072186
