config_id,family,candidate_size,portfolio_cardinality,weight_upper,weight_lower,weight_mode,signal_blend,correlation_penalty,stability_weight,covariance_span,covariance_shrinkage,risk_aversion_qubo,risk_aversion_weights,turnover_penalty,volatility_target,transaction_cost_bps,qa_warm_start,market_regime_lookback,minimum_validation_ic,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,mean_max_weight,mean_effective_names
B00_current,baseline,8,4,0.4,0.05,raw_mean_variance,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.04689890467285074,0.08599679048506892,0.19594492447552728,0.4388824600343734,0.5918269574722118,-0.10129742597173919,0.39999999999999997,2.898550724637681
B00_current,baseline,8,4,0.4,0.05,raw_mean_variance,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.013056735294707744,0.023624761506167102,0.18176922787043256,0.1299711825975689,0.19908546598071267,-0.09491426082735033,0.39999999999999997,2.898550724637682
C1_EW_X,constraint_and_allocation,8,4,0.3,0.05,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.09740207532714917,0.1821113818045188,0.1658810118050643,1.097843447075954,1.5376087737683706,-0.10964671994214858,0.25000000000000006,3.999999999999999
C1_EW_X,constraint_and_allocation,8,4,0.3,0.05,equal,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.09558085520509318,0.17858248351162498,0.1597336365742468,1.1180017392806112,1.7646700453021782,-0.11057419703129223,0.25000000000000006,3.999999999999999
C1_EW_M,constraint_and_allocation,8,4,0.3,0.05,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.008140924209889544,0.014701355488888623,0.1550171912565107,0.09483693627606718,0.12257362335854124,-0.08788615445389336,0.25000000000000006,3.999999999999999
C1_EW_M,constraint_and_allocation,8,4,0.3,0.05,equal,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.008140924209889544,0.014701355488888623,0.1550171912565107,0.09483693627606718,0.12257362335854124,-0.08788615445389336,0.25000000000000006,3.999999999999999
C1_IV_X,constraint_and_allocation,8,4,0.3,0.05,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.11161902734643814,0.2098199712835136,0.15837302812188953,1.324846621749435,1.8865189042568378,-0.10575803611759349,0.29914573269745576,3.8720595115738083
C1_IV_X,constraint_and_allocation,8,4,0.3,0.05,inverse_volatility,1.0,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.11324402810700329,0.21300522989536308,0.15631706377645369,1.3626486114144145,2.2157575076564076,-0.10778780420055811,0.3,3.8776406201190112
C1_IV_M,constraint_and_allocation,8,4,0.3,0.05,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.012765853172026276,0.023095772475324905,0.15224186657796007,0.15170447521738714,0.19471422855838308,-0.08662726564555678,0.29437050792420477,3.895212242268881
C1_IV_M,constraint_and_allocation,8,4,0.3,0.05,inverse_volatility,0.7,0.1,0.15,60,0.0,0.55,1.25,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.012765853172026276,0.023095772475324905,0.15224186657796007,0.15170447521738714,0.19471422855838308,-0.08662726564555678,0.29437050792420477,3.895212242268881
C1_NMV_X,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,0.022134488122883322,0.040194315116161006,0.17308719683585763,0.23222003620682674,0.3185812646615124,-0.1021114700529987,0.3,3.5988126276769337
C1_NMV_X,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,1.0,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,0.023871818372742215,0.04337892659491449,0.15791017979705366,0.27470633401003747,0.41094045963153014,-0.09814904279279968,0.3,3.5714285714285725
C1_NMV_M,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,AUR,140,-0.011985562656484872,-0.021470499165165635,0.1596456396364548,-0.13448847844550138,-0.19400336731410553,-0.09989665782585921,0.29999999999999993,3.610579953292811
C1_NMV_M,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,0.7,0.1,0.15,60,0.1,0.55,1.0,0.0,0.0,25.0,False,0,-1.0,QAUR,140,-0.011985562656484872,-0.021470499165165635,0.1596456396364548,-0.13448847844550138,-0.19400336731410553,-0.09989665782585921,0.29999999999999993,3.610579953292811
C1_NMVT_X,constraint_and_allocation,8,4,0.3,0.05,normalized_mean_variance,1.0,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.0330264260635158,0.06023119094769336,0.16818538160740273,0.3581238177304362,0.48526694515986085,-0.09989042755063726,0.29999999999999993,3.686459076428545
