config_id,market_gate_lookback,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
C1_EW_X,0,development_2022_2024,AUR,604,-0.2321395046490219,-0.1043513850078952,0.17210038749276904,-0.6063402095028962,-0.7167532164701303,-0.5318473540832386
C1_EW_X,0,development_2022_2024,QAUR,604,-0.2321395046490219,-0.1043513850078952,0.17210038749276904,-0.6063402095028962,-0.7167532164701303,-0.5318473540832386
C1_EW_X,0,historical_holdout_2024_2025,AUR,312,0.18746299041047698,0.14886782528868814,0.14328505334808891,1.0389626957602949,1.3818972301119172,-0.12737058716780048
C1_EW_X,0,historical_holdout_2024_2025,QAUR,312,0.2364999194894184,0.18703755516967524,0.1447428563293743,1.2922057772858637,1.7429156332660447,-0.12737058716780048
C1_EW_X,0,observed_2026,AUR,160,0.16595838652966477,0.2735787515251453,0.16317457193445645,1.6766016192463844,2.5569644132360474,-0.11057419703129223
C1_EW_X,0,observed_2026,QAUR,160,0.16595838652966477,0.2735787515251453,0.16317457193445645,1.6766016192463844,2.5569644132360474,-0.11057419703129223
C1_EW_X,20,development_2022_2024,AUR,604,0.12230322191584597,0.04931748262451796,0.09204494360507852,0.5357978471486282,0.47925719427191815,-0.17284495159164937
C1_EW_X,20,development_2022_2024,QAUR,604,0.12230322191584597,0.04931748262451796,0.09204494360507852,0.5357978471486282,0.47925719427191815,-0.17284495159164937
C1_EW_X,20,historical_holdout_2024_2025,AUR,312,0.2378939105665674,0.18811831513358146,0.10518489554892511,1.7884536952939327,2.437175793057676,-0.09991819598496743
C1_EW_X,20,historical_holdout_2024_2025,QAUR,312,0.2807196605172324,0.22120853528735673,0.10813368995829609,2.0456948743048557,2.9137790623005446,-0.0719485075163635
C1_EW_X,20,observed_2026,AUR,160,0.047971557279746335,0.07659028326108919,0.11047086692313263,0.6933075243664188,0.6646877642836359,-0.08409561689610212
C1_EW_X,20,observed_2026,QAUR,160,0.047971557279746335,0.07659028326108919,0.11047086692313263,0.6933075243664188,0.6646877642836359,-0.08409561689610212
C1_EW_X,30,development_2022_2024,AUR,604,0.2306420633830677,0.09044719478050811,0.10050769026006671,0.8999032267727298,0.8861619977839481,-0.16638467081660913
C1_EW_X,30,development_2022_2024,QAUR,604,0.2306420633830677,0.09044719478050811,0.10050769026006671,0.8999032267727298,0.8861619977839481,-0.16638467081660913
