fold,decision_time,market_growth,exposure,lookback,config_id
0,2022-04-01,,1.0,0,C1_EW_X
1,2022-05-01,,1.0,0,C1_EW_X
2,2022-06-01,,1.0,0,C1_EW_X
3,2022-07-01,,1.0,0,C1_EW_X
4,2022-08-01,,1.0,0,C1_EW_X
5,2022-09-01,,1.0,0,C1_EW_X
6,2022-10-01,,1.0,0,C1_EW_X
7,2022-11-01,,1.0,0,C1_EW_X
8,2022-12-01,,1.0,0,C1_EW_X
9,2023-01-01,,1.0,0,C1_EW_X
10,2023-02-01,,1.0,0,C1_EW_X
11,2023-03-01,,1.0,0,C1_EW_X
12,2023-04-01,,1.0,0,C1_EW_X
13,2023-05-01,,1.0,0,C1_EW_X
14,2023-06-01,,1.0,0,C1_EW_X
15,2023-07-01,,1.0,0,C1_EW_X
16,2023-08-01,,1.0,0,C1_EW_X
17,2023-09-01,,1.0,0,C1_EW_X
18,2023-10-01,,1.0,0,C1_EW_X
19,2023-11-01,,1.0,0,C1_EW_X
20,2023-12-01,,1.0,0,C1_EW_X
21,2024-01-01,,1.0,0,C1_EW_X
22,2024-02-01,,1.0,0,C1_EW_X
23,2024-03-01,,1.0,0,C1_EW_X
24,2024-04-01,,1.0,0,C1_EW_X
25,2024-05-01,,1.0,0,C1_EW_X
26,2024-06-01,,1.0,0,C1_EW_X
27,2024-07-01,,1.0,0,C1_EW_X
28,2024-08-01,,1.0,0,C1_EW_X
29,2024-09-01,,1.0,0,C1_EW_X
30,2024-10-01,,1.0,0,C1_EW_X
31,2024-11-01,,1.0,0,C1_EW_X
32,2024-12-01,,1.0,0,C1_EW_X
33,2025-01-01,,1.0,0,C1_EW_X
34,2025-02-01,,1.0,0,C1_EW_X
35,2025-03-01,,1.0,0,C1_EW_X
36,2025-04-01,,1.0,0,C1_EW_X
37,2025-05-01,,1.0,0,C1_EW_X
38,2025-06-01,,1.0,0,C1_EW_X
39,2025-07-01,,1.0,0,C1_EW_X
40,2025-08-01,,1.0,0,C1_EW_X
41,2025-09-01,,1.0,0,C1_EW_X
42,2025-10-01,,1.0,0,C1_EW_X
43,2025-11-01,,1.0,0,C1_EW_X
44,2025-12-01,,1.0,0,C1_EW_X
45,2026-01-01,,1.0,0,C1_EW_X
46,2026-02-01,,1.0,0,C1_EW_X
47,2026-03-01,,1.0,0,C1_EW_X
48,2026-04-01,,1.0,0,C1_EW_X
49,2026-05-01,,1.0,0,C1_EW_X
50,2026-06-01,,1.0,0,C1_EW_X
51,2026-07-01,,1.0,0,C1_EW_X
52,2026-08-01,,1.0,0,C1_EW_X
0,2022-04-01,0.038734642223986704,1.0,20,C1_EW_X
1,2022-05-01,-0.1473461990126016,0.0,20,C1_EW_X
2,2022-06-01,-0.06762736003782344,0.0,20,C1_EW_X
3,2022-07-01,-0.11402831344944675,0.0,20,C1_EW_X
4,2022-08-01,0.0685274080468854,1.0,20,C1_EW_X
5,2022-09-01,0.026821522127197683,1.0,20,C1_EW_X
6,2022-10-01,-0.10494631480181837,0.0,20,C1_EW_X
7,2022-11-01,-0.10888914515298753,0.0,20,C1_EW_X
8,2022-12-01,-0.023103354016403288,0.0,20,C1_EW_X
9,2023-01-01,-0.0519851743987606,0.0,20,C1_EW_X
10,2023-02-01,0.0802990822643308,1.0,20,C1_EW_X
11,2023-03-01,-0.008711538515415285,0.0,20,C1_EW_X
12,2023-04-01,-0.002756384798810574,0.0,20,C1_EW_X
13,2023-05-01,0.024021846522340073,1.0,20,C1_EW_X
