method,start_fold,end_fold,end_date,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
AUR,0,5,2022-09-30,125,-0.2239039750271763,-0.4001128412676741,0.24970768387731426,-1.6023249066867182,-2.0079790698115803,-0.30203319479991064
AUR,1,6,2022-11-01,128,-0.1453557209879528,-0.2659891389054291,0.23210844578498868,-1.1459692386714158,-1.4731217667708236,-0.18843886947516286
AUR,2,7,2022-12-01,129,-0.3327374095375556,-0.5463031152489826,0.18606310312516244,-2.9361174035751243,-3.7809457600139456,-0.3604096274500377
AUR,3,8,2022-12-30,128,-0.3427819328471242,-0.5623614544936242,0.18694385308067024,-3.008183715197917,-4.05028193508762,-0.3587711493045703
AUR,4,9,2023-02-01,124,-0.3029550441773079,-0.5197521005915923,0.19238042771191813,-2.7016890791505044,-3.68424855311917,-0.35877114930457044
AUR,5,10,2023-03-01,122,-0.28634419201355643,-0.5018383196089834,0.20016817920058866,-2.507083401633438,-3.583302274948822,-0.3548571887573795
AUR,6,11,2023-03-31,124,-0.23828639641993565,-0.424864396766949,0.19861650911138626,-2.1391192437516886,-2.9927725163264363,-0.32942933347293935
AUR,7,12,2023-04-28,122,-0.21675971063347999,-0.3962844881795963,0.18929622594303708,-2.093462171289384,-2.773970721207629,-0.30849623969827267
AUR,8,13,2023-06-01,121,0.17875014794496447,0.40846527882389894,0.14083394432320365,2.90033259230815,5.2894016147864935,-0.08969131342265757
AUR,9,14,2023-06-30,121,0.25665110431193194,0.6092703060881999,0.11668817547200445,5.221354294243588,10.108079151899139,-0.025517177619234888
AUR,10,15,2023-08-01,126,0.24060524349084278,0.5391013701769733,0.1066857341029729,5.053172054443882,10.51361434930695,-0.02551717761923511
AUR,11,16,2023-08-31,128,0.17960682364436908,0.38430810736471566,0.09818085715232411,3.9142875557551435,7.760820296396707,-0.0420634989177342
AUR,12,17,2023-09-29,125,0.13808830644668646,0.2979284067079784,0.0888563974753096,3.3529201630165493,6.172786237817547,-0.04214344146758975
AUR,13,18,2023-11-01,128,0.08970210092475273,0.1842672191075274,0.09519754174711921,1.935630014449439,2.9486699235606535,-0.07339179655942818
AUR,14,19,2023-12-01,129,-0.007653200002046945,-0.014895882284516548,0.08195751110900701,-0.18175127676466876,-0.24633718036918872,-0.07339179655942796
AUR,15,20,2023-12-29,128,0.021677956052852165,0.04312651043799387,0.08844987065744792,0.4875813849973381,0.6740041443843904,-0.07339179655942785
AUR,16,21,2024-02-01,129,0.05583408390935585,0.11197207713781498,0.09357766770543975,1.1965683681097552,1.7304268113938601,-0.07339179655942807
AUR,17,22,2024-03-01,123,0.1279436882119176,0.2797508965148918,0.09585822164874515,2.9183818738051244,4.254123895306971,-0.05786561349702102
AUR,18,23,2024-04-01,125,0.18218956801418784,0.40131973840072876,0.10050693114268142,3.992955847303786,6.237854891581529,-0.04549102351952772
AUR,19,24,2024-04-26,120,0.1959456821327874,0.45610956883278786,0.09597206804676925,4.752524126191757,8.549035630336286,-0.044221500283965764
AUR,20,25,2024-05-31,120,0.2043939882413497,0.4777943983679587,0.10348892786264094,4.616864897877065,8.667920419615882,-0.04422150028396532
AUR,21,26,2024-07-01,121,0.19481494939169575,0.4487377572050799,0.10091477251116256,4.446700379326955,8.971222674652264,-0.044221500283965764
AUR,22,27,2024-08-01,121,0.14517770619001302,0.3262069430430159,0.09680110657589178,3.36986791351678,6.712201815395017,-0.04422150028396565
AUR,23,28,2024-08-30,126,0.10847887120675637,0.22872540791180485,0.09062749159884309,2.5237971820321756,4.323346952494699,-0.04422150028396565
AUR,24,29,2024-10-01,125,0.09305594217831148,0.1964734261575467,0.08433616018651545,2.3296463310996334,3.610751630928358,-0.04090891832140475
AUR,25,30,2024-11-01,130,0.1310749304092096,0.2696703452552216,0.08013633815399047,3.3651443460895534,5.622334458721932,-0.030244096925345132
AUR,26,31,2024-11-29,128,0.09726239559602634,0.20049757855793615,0.06898804463839639,2.906265565415751,4.436346753510996,-0.03475552016869088
AUR,27,32,2024-12-31,129,0.0877074751858602,0.17849023574190648,0.06546330757838979,2.7265691628577016,4.036253855857213,-0.03475552016869188
AUR,28,33,2025-01-24,123,0.07837662283333713,0.16718443791210524,0.06519997344377,2.5641795399853815,3.6327467486406015,-0.03475552016869132
AUR,29,34,2025-02-28,122,0.08531668268452819,0.18425309879170948,0.06488831997363963,2.8395418292007077,4.884836406447254,-0.034755520168690546
AUR,30,35,2025-04-01,124,0.05161449851217581,0.10768986121307322,0.06367880383752979,1.6911413959318917,2.761549692677754,-0.03008136943455486
AUR,31,36,2025-04-29,120,-0.015412969470132043,-0.032092995976539584,0.1574401185610884,-0.20384255467952517,-0.21699966357994452,-0.13096078514839304
AUR,32,37,2025-05-30,120,0.005453419145446725,0.011486535888190819,0.1623016164559607,0.0707727756445827,0.07904696798740427,-0.13096078514839338
AUR,33,38,2025-07-01,120,0.007394563578119628,0.0155917539589292,0.16496891867828728,0.09451328216156478,0.10884239888433445,-0.13096078514839304
AUR,34,39,2025-08-01,126,0.09167983632288812,0.19176486503396784,0.17207994911465044,1.1143940129027006,1.3426863773373712,-0.1309607851483935
AUR,35,40,2025-08-29,126,0.11887408099154739,0.25187920911467976,0.18273290517254326,1.3784009446839691,1.7219460373577906,-0.1309607851483936
