config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
P_K10P6_CP30_NONE,development,AUR,604,-0.05978615192841408,-0.025392701826100428,0.16250808232131703,-0.15625500875638315,-0.17015236376814555,-0.3711547632275196,0.015684255486653628
P_K10P6_CP30_NONE,development,QAUR,604,0.07745384170879288,0.03161423814512854,0.16849826818447514,0.1876235197296904,0.20675828246810724,-0.3546856849782951,0.015684255486653628
P_K10P6_CP30_NONE,holdout,AUR,312,0.2481256934822922,0.19604386425195552,0.14273284984642917,1.3735020667133415,1.7611435549389614,-0.1244439337348795,0.015684255486653628
P_K10P6_CP30_NONE,holdout,QAUR,312,0.2350955700124413,0.1859485273929946,0.1389552828738038,1.3381896934560529,1.7343823139433112,-0.12822776073773046,0.015684255486653628
P_K10P6_CP30_NONE,all,AUR,916,0.1735050611460025,0.04499918470351738,0.15609175393378566,0.28828675166662615,0.3258304942302852,-0.3711547632275196,0.015684255486653628
P_K10P6_CP30_NONE,all,QAUR,916,0.3307584667874144,0.08178470898439927,0.15902699191956046,0.5142819341371172,0.5848000163374119,-0.3546856849782951,0.015684255486653628
P_K10P6_CP30_IC0,development,AUR,604,-0.0860248575192446,-0.03683409478116961,0.14308228249769334,-0.25743295492761953,-0.21897377368565588,-0.3580328445284232,-0.21318688107759765
P_K10P6_CP30_IC0,development,QAUR,604,-0.05762726843962873,-0.024459650575531122,0.14478237068313612,-0.1689408072275758,-0.14483754315203487,-0.3546856849782951,-0.21318688107759765
P_K10P6_CP30_IC0,holdout,AUR,312,0.11623719479696315,0.09288017899350165,0.12124877714682296,0.7660298204989803,0.8183673309358647,-0.12444393379866736,-0.21318688107759765
P_K10P6_CP30_IC0,holdout,QAUR,312,0.12245237580328627,0.09779246590959212,0.1259510311781084,0.7764324356447941,0.8487543259356636,-0.1282277607076563,-0.21318688107759765
P_K10P6_CP30_IC0,all,AUR,916,0.02021304915687483,0.005520523128777377,0.13602255217525341,0.04058535177067297,0.0364862328253138,-0.3580328445284232,-0.21318688107759765
P_K10P6_CP30_IC0,all,QAUR,916,0.05776851143217199,0.015570523560604066,0.13862917746147047,0.11231779518371317,0.10226986156040736,-0.3546856849782951,-0.21318688107759765
P_K10P6_CP30_M60,development,AUR,604,-0.13803116946116345,-0.060090837274687225,0.14196686218637164,-0.4232736876004276,-0.35372839971493203,-0.3580328445284232,-0.31671072599388483
P_K10P6_CP30_M60,development,QAUR,604,-0.07241191966156102,-0.030874620367735695,0.14691862393942925,-0.2101477643873421,-0.1791945053704142,-0.3546856849782951,-0.31671072599388483
P_K10P6_CP30_M60,holdout,AUR,312,0.07210318290637696,0.05784456094217716,0.1277893049629997,0.4526557285754513,0.45250784086822354,-0.12444393403432108,-0.31671072599388483
P_K10P6_CP30_M60,holdout,QAUR,312,0.06901950472549756,0.05538634235175999,0.1196825930318901,0.4627769247696863,0.4528878450208765,-0.1282277608294874,-0.31671072599388483
P_K10P6_CP30_M60,all,AUR,916,-0.07588047321322489,-0.021475961653375952,0.13727596871391087,-0.15644370864453921,-0.13668956239013752,-0.3580328445284232,-0.31671072599388483
P_K10P6_CP30_M60,all,QAUR,916,-0.008390249767327385,-0.0023152880679369048,0.13820064246286987,-0.016753091929792942,-0.014669523326028411,-0.3546856849782951,-0.31671072599388483
P_K10P6_CP30_M120,development,AUR,604,-0.1422306679408516,-0.06200409312116295,0.12760750630560713,-0.48589691089699216,-0.3539409780458009,-0.3580328445284232,-0.39141333260706546
P_K10P6_CP30_M120,development,QAUR,604,-0.09142813161074281,-0.039213876650460944,0.13206449027192535,-0.2969297543171387,-0.21808509092353445,-0.3546856849782951,-0.39141333260706546
P_K10P6_CP30_M120,holdout,AUR,312,0.13631018065299294,0.10872647326784524,0.13147759875996567,0.8269581608829317,0.8492340458693678,-0.12444393379866736,-0.39141333260706546
P_K10P6_CP30_M120,holdout,QAUR,312,0.12367528555834473,0.09875839934524655,0.12735261301786632,0.7754721085415948,0.8022324976720135,-0.12822776070765618,-0.39141333260706546
P_K10P6_CP30_M120,all,AUR,916,-0.025307975329272425,-0.0070272666701202136,0.1289641079399524,-0.05449009637155955,-0.04426704323975665,-0.3580328445284232,-0.39141333260706546
P_K10P6_CP30_M120,all,QAUR,916,0.020939753662576166,0.0057175161739568825,0.13046989383882834,0.04382249426078193,0.035572318988102876,-0.3546856849782951,-0.39141333260706546
