config_id,fold,date,method,return
W_K10P6_CP30,0,2022-04-04,AUR,-0.01353468204359572
W_K10P6_CP30,0,2022-04-05,AUR,0.01501651045994661
W_K10P6_CP30,0,2022-04-06,AUR,-0.009980919655612215
W_K10P6_CP30,0,2022-04-07,AUR,-0.02723972463307282
W_K10P6_CP30,0,2022-04-08,AUR,-0.005281592754161615
W_K10P6_CP30,0,2022-04-12,AUR,-0.005409125362594665
W_K10P6_CP30,0,2022-04-13,AUR,0.01844025304842581
W_K10P6_CP30,0,2022-04-14,AUR,0.009932643909121505
W_K10P6_CP30,0,2022-04-15,AUR,0.00842807031058014
W_K10P6_CP30,0,2022-04-18,AUR,-0.002028409775142197
W_K10P6_CP30,0,2022-04-19,AUR,-0.02351410491959545
W_K10P6_CP30,0,2022-04-20,AUR,-0.03125768691832879
W_K10P6_CP30,0,2022-04-21,AUR,-0.038560151100347106
W_K10P6_CP30,0,2022-04-22,AUR,-0.009230331722252894
W_K10P6_CP30,0,2022-04-25,AUR,-0.045500946762981824
W_K10P6_CP30,0,2022-04-26,AUR,0.01976604762604577
W_K10P6_CP30,0,2022-04-27,AUR,0.0063591506590578994
W_K10P6_CP30,0,2022-04-28,AUR,-0.011685237542390786
W_K10P6_CP30,0,2022-04-29,AUR,0.014428256748104131
W_K10P6_CP30,0,2022-04-04,QAUR,-0.005226134433260442
W_K10P6_CP30,0,2022-04-05,QAUR,0.01765713855341907
W_K10P6_CP30,0,2022-04-06,QAUR,-0.016624703469473815
W_K10P6_CP30,0,2022-04-07,QAUR,-0.02613781442654869
W_K10P6_CP30,0,2022-04-08,QAUR,-0.000751655511366172
W_K10P6_CP30,0,2022-04-12,QAUR,-0.005397429281314226
W_K10P6_CP30,0,2022-04-13,QAUR,0.020689125293594873
W_K10P6_CP30,0,2022-04-14,QAUR,-0.00412464636522268
W_K10P6_CP30,0,2022-04-15,QAUR,0.011546089102687401
W_K10P6_CP30,0,2022-04-18,QAUR,-0.011309463607827034
W_K10P6_CP30,0,2022-04-19,QAUR,-0.02531497622882664
W_K10P6_CP30,0,2022-04-20,QAUR,-0.033853187004809895
W_K10P6_CP30,0,2022-04-21,QAUR,-0.031562233970005384
W_K10P6_CP30,0,2022-04-22,QAUR,-0.002085906548847099
W_K10P6_CP30,0,2022-04-25,QAUR,-0.05820057159673703
W_K10P6_CP30,0,2022-04-26,QAUR,0.03281635733717844
W_K10P6_CP30,0,2022-04-27,QAUR,0.008956986032410137
W_K10P6_CP30,0,2022-04-28,QAUR,-0.009823605766181433
W_K10P6_CP30,0,2022-04-29,QAUR,0.02526217147730849
W_K10P6_CP30,1,2022-05-04,AUR,-0.02949205826776922
W_K10P6_CP30,1,2022-05-05,AUR,-0.010831867640126634
W_K10P6_CP30,1,2022-05-06,AUR,-0.048171247901906286
W_K10P6_CP30,1,2022-05-09,AUR,-0.06367469394856538
W_K10P6_CP30,1,2022-05-10,AUR,0.009514841221222252
W_K10P6_CP30,1,2022-05-11,AUR,-0.001586636798740746
W_K10P6_CP30,1,2022-05-12,AUR,-0.06272218274012209
W_K10P6_CP30,1,2022-05-13,AUR,-0.05994618344262793
W_K10P6_CP30,1,2022-05-16,AUR,-0.031913760252940834
W_K10P6_CP30,1,2022-05-17,AUR,0.04906456671686452
W_K10P6_CP30,1,2022-05-18,AUR,0.02596225470682399
W_K10P6_CP30,1,2022-05-19,AUR,-0.0092646932064683
W_K10P6_CP30,1,2022-05-20,AUR,0.013430721737494237
W_K10P6_CP30,1,2022-05-23,AUR,-0.01744405941813275
W_K10P6_CP30,1,2022-05-24,AUR,0.020382847834042338
W_K10P6_CP30,1,2022-05-25,AUR,0.043128818607037774
W_K10P6_CP30,1,2022-05-26,AUR,0.009151910463119344
W_K10P6_CP30,1,2022-05-27,AUR,0.021353300046135122
W_K10P6_CP30,1,2022-05-30,AUR,-0.0040155112005111964
W_K10P6_CP30,1,2022-05-31,AUR,0.0061272951262317105
W_K10P6_CP30,1,2022-06-01,AUR,0.003330306713642751
W_K10P6_CP30,1,2022-05-04,QAUR,-0.02949205826776922
W_K10P6_CP30,1,2022-05-05,QAUR,-0.010831867640126634
W_K10P6_CP30,1,2022-05-06,QAUR,-0.048171247901906286
W_K10P6_CP30,1,2022-05-09,QAUR,-0.06367469394856538
