fold,decision_time,validation_rank_ic,validation_rmse,train_rows,universe_size,runtime_seconds
0,2022-04-01,0.1458097053584929,0.2825481391498542,52345,110,0.5068306000030134
1,2022-04-29,0.1651887279683717,0.2828849382534375,52738,110,0.3759694999898784
2,2022-06-01,0.0764920859628268,0.2869582241367587,52551,106,0.4027330999961123
3,2022-07-01,-0.1837065178421047,0.2948174476593991,52679,107,0.3698688999866135
4,2022-08-01,-0.0833110018313464,0.3001974421712114,52778,103,0.3959623999835457
5,2022-08-31,-0.2177020551437719,0.3067902455779144,52813,101,0.501388999982737
6,2022-09-30,-0.0701645315303165,0.3060973403683485,52841,103,0.3676719000213779
7,2022-11-01,0.2463882802545031,0.2828927969986466,52758,103,0.3883882999944035
8,2022-12-01,0.0379681151139238,0.2908671684281142,52741,104,0.313468800013652
9,2022-12-30,0.1502621043863483,0.2824910567428755,52577,101,0.3150425000058021
10,2023-02-01,0.1650907409819335,0.2811518376085591,52626,102,0.3803311000228859
11,2023-03-01,0.0388024821303733,0.2907168326213364,52548,97,0.3398465999925975
12,2023-03-31,0.0857661112981593,0.2871861890795432,52237,100,0.3607343999901786
13,2023-04-28,-0.0118121491210678,0.2916216636772326,51642,95,0.3494053999893367
14,2023-06-01,-0.0829658433754555,0.2931354515320515,52072,94,0.3397330000007059
15,2023-06-30,-0.1163422734384221,0.2950535769259741,51772,96,0.3165989999833982
16,2023-08-01,-0.0972193519230404,0.2903522771433672,51765,95,0.3681321999756619
17,2023-08-31,-0.0438253331721124,0.2897203783419038,51609,94,0.3425078000000212
18,2023-09-29,0.0142662951684129,0.2877722440558391,51342,92,0.3228284000069834
19,2023-11-01,0.2494091763766036,0.2833375894134214,51320,96,0.3292277000145986
20,2023-12-01,0.1029391640332599,0.2844532181676245,51046,96,0.3262110000068787
21,2023-12-29,-0.1310774178573737,0.291072443810885,50769,95,0.343151899985969
22,2024-02-01,0.0022795944089448,0.2869174862227712,50741,95,0.3684351000119932
23,2024-03-01,0.2069822865702641,0.281005653009858,50473,94,0.3418632000102661
24,2024-04-01,0.2230909201258613,0.2821769362626248,50018,95,0.3871106000151485
25,2024-04-26,0.1294554999475838,0.2854907929520772,50211,92,0.3136476000072434
26,2024-05-31,0.0168922292662246,0.288808243009995,49958,90,0.348205299989786
27,2024-07-01,0.0039280143056151,0.2887008765095408,49548,91,0.3192260999931022
28,2024-08-01,0.1364658880697113,0.2843386338250309,49309,95,0.3830582000082358
29,2024-08-30,0.1751334860819501,0.2824380338843743,49276,96,0.3485193999949842
30,2024-10-01,0.2028157696886655,0.2818334137416649,49095,95,0.3535528999927919
31,2024-11-01,0.1823543012343227,0.2817127803120555,49212,90,0.3383241000119596
32,2024-11-29,-0.0161127245186476,0.2898459980015797,49022,95,0.3761244000052102
33,2024-12-31,-0.0502237866081455,0.2906907432647252,48910,93,0.3585645999992266
34,2025-01-24,0.0650710321782027,0.2861245337174058,48861,94,0.3331978000060189
35,2025-02-28,0.0561668883433754,0.2870324734015833,48582,96,0.3100314000039361
36,2025-04-01,0.0599747848468538,0.2870616146379974,48676,94,0.3432775999826845
37,2025-04-29,0.125899687672472,0.2859869829446048,48606,93,0.4121084999933373
38,2025-05-30,0.218636987248964,0.2828700615545289,48582,94,0.3367371000058483
39,2025-07-01,0.1483290012628619,0.2850995889170635,48550,92,0.3386757000116631
40,2025-08-01,-0.0483882103213375,0.2907667718503486,48439,95,0.3192951999953948
41,2025-08-29,-0.0791962703574307,0.2920543063170399,48322,95,0.3851146000088192
42,2025-10-01,0.0715353286812834,0.2881167263239491,48366,97,0.3636080999858677
43,2025-10-31,0.2001132122074369,0.2828217056204211,48470,97,0.3392306999885477
