fold,decision_time,eligible_count,selected_m,signal_dispersion,relative_signal_dispersion,average_abs_correlation,candidate_size_reason,candidate_turnover,selected_tickers,fixed_topm_tickers,adaptive_forward_return_mean,fixed_topm_forward_return_mean,adaptive_liquidity_mean,fixed_topm_liquidity_mean,adaptive_risk_mean,fixed_topm_risk_mean,adaptive_abs_correlation,fixed_topm_abs_correlation
0,2022-04-29,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,1.0,APG|GEX|KSB|NKG|PVD|SBT|SHB|SZC,APG|DQC|LGL|NHA|PTL|SZC|TDG|TIP,-0.06887640584507429,-0.1130436732722534,178449445201.65433,17082754804.788671,0.03608209027415955,0.04222828628978045,0.30850574532639097,0.32009615122435503
1,2022-08-30,300,8,0.06458935141563416,0.13446322299518404,0.3303174414001925,full_budget_supported,0.9333333333333333,BVH|CTG|HDB|LPB|MBB|MSB|PVT|SHB,C32|CTG|DRC|HDB|MSB|PVT|SBT|SKG,-0.1181359909356871,-0.08191043893171192,112707932607.90318,44985069450.18721,0.013099278192469723,0.01539151896658229,0.6157730251012065,0.5403868073394712
2,2022-12-30,299,7,0.04422498121857643,0.08986695163134853,0.34342248713970763,low_signal_dispersion,0.8461538461538461,ACB|CTG|DIG|HPX|HTN|LPB|NVL,CTG|DIG|GIL|HPX|HTN|LPB|NVL,0.10057981575676234,0.09658380243720573,208133261198.16074,203812010919.8344,0.0395023099250705,0.04419715732317941,0.32679573591503874,0.2967277557555889
3,2023-04-28,297,7,0.05191968381404877,0.09984369544680818,0.2779128148897549,low_signal_dispersion,1.0,BAF|CDC|HDB|HQC|SCR|TCH|TPB,CHP|CSM|HII|HQC|SCR|SMB|TPB,0.05121441818346906,0.01147513248757134,49594790680.57853,29903649749.023003,0.018127907320429643,0.021240266328526585,0.39956723381840314,0.2318908944335616
4,2023-08-30,300,7,0.04921094700694084,0.0959168036950179,0.16745492441313248,low_signal_dispersion,1.0,HPX|PGC|SCS|SGN|SJD|TDM|VSH,HMC|HPX|HTI|NNC|NSC|PGC|PIT,-0.010956460235700896,-0.05461447308751098,10445107549.367327,9593451478.571428,0.012780863647914238,0.02319024894979223,0.10199195033983238,0.10799849130534434
5,2023-12-29,299,7,0.018412085250020027,0.03555225652960581,0.285490544603966,low_signal_dispersion,1.0,AGR|ANV|CII|GEX|ORS|VCG|VCI,AGR|ANV|CII|HHV|ORS|VCG|VCI,0.012234486828921412,0.0255307223530421,147396762920.99857,101295223620.6514,0.017989080802440906,0.01788752018107601,0.7207553587648833,0.7269249449640478
6,2024-03-29,294,7,0.04395076259970665,0.08253453259273409,0.24708181987702943,low_signal_dispersion,0.9230769230769231,GEX|HDG|KBC|KSB|TIP|VGC|VPG,ADS|GEX|KBC|KSB|TIP|VGC|VPG,-0.15184570808147171,-0.1590142530254937,206351458409.94037,190152056400.30466,0.023516316808819264,0.023740711645556318,0.606790510078522,0.6275036578216774
7,2024-07-30,297,7,0.04631967842578888,0.08917901943774183,0.19725760591366703,low_signal_dispersion,0.9230769230769231,CTS|DBC|ELC|GIL|HDG|HVN|VIX,CTS|DBC|ELC|GIL|HDG|HVN|VIX,0.023201899359757108,0.023201899359757108,125028762356.34595,125028762356.34595,0.03628825234218327,0.03628825234218327,0.42342800892672755,0.42342800892672755
8,2024-11-29,295,7,0.023179244250059128,0.045663681137857313,0.20924890919727857,low_signal_dispersion,1.0,ACB|FPT|LPB|TCB|VCB|VIB|VPI,CLC|DVP|HTG|HUB|LAF|PGC|SMB,0.014870178755231842,0.06470110875902911,231855924350.33823,644109537.6107004,0.00929841400028107,0.00880115499358684,0.2735375051849615,0.12235808773798847
9,2025-03-28,297,7,0.03516671061515808,0.06880640380563244,0.129886786895632,low_signal_dispersion,0.8333333333333334,ACB|C32|NHA|ORS|SMB|VCB|VTO,ADP|ASP|C32|NHA|ORS|SMB|VTO,-0.11301576801540776,-0.08000031492367181,105783272531.87923,28457417993.51896,0.014610573491194923,0.013826450262460413,0.18062670351183743,0.11320690913530299
10,2025-07-30,293,7,0.030977921560406685,0.06263890718491029,0.3318392189073198,low_signal_dispersion,1.0,CTG|DCM|IMP|MBB|SAB|TCB|VNM,BRC|CTG|IMP|SMB|SZL|THG|VIP,0.03860725512837098,-0.008016270450054834,422758396868.9243,53073836291.24262,0.009094453470778216,0.00928783067123575,0.5087186103498872,0.4224805960087052
11,2025-11-28,299,7,0.02798375114798546,0.05583399762804983,0.20215619602480003,low_signal_dispersion,1.0,DXG|GAS|GEX|SMB|STB|VIX|VSC,DXG|GEX|HTG|STB|SZL|VIX|VSC,-0.002544239437467891,-0.012469681137586508,410327057658.73724,403986358729.77966,0.03215446055163494,0.03180009392611873,0.27158108147779225,0.2842144754189889
