fold,feature,training_coverage,active
0,return_5d,0.9991172731980603,True
0,return_20d,0.995992420319194,True
0,return_60d,0.9101325267171979,True
0,return_120d,0.7820724071371404,True
0,sma_ratio_20,0.9962690080504685,True
0,ema_ratio_20,1.0,True
0,rsi_14,0.9810625676757215,True
0,macd,1.0,True
0,atr_14,0.9977343345416883,True
0,volatility_20d,0.995992420319194,True
0,downside_volatility_20d,0.9962690080504685,True
0,drawdown_60d,0.9122746104232381,True
0,liquidity_20d,0.9962690080504685,True
0,beta_60d,0.9101325267171979,True
0,roe_pit,0.0,False
0,revenue_growth_yoy_pit,0.0,False
0,policy_rate_pit,0.0,False
1,return_5d,0.9990155599437132,True
1,return_20d,0.9960622397748528,True
1,return_60d,0.9885167962846074,True
1,return_120d,0.9502741955097952,True
1,sma_ratio_20,0.9962591277861101,True
1,ema_ratio_20,1.0,True
1,rsi_14,0.9811566591578984,True
1,macd,1.0,True
1,atr_14,0.9974404558536543,True
1,volatility_20d,0.9960622397748528,True
1,downside_volatility_20d,0.9962591277861101,True
1,drawdown_60d,0.9887021026481437,True
1,liquidity_20d,0.9962591277861101,True
1,beta_60d,0.9885167962846074,True
1,roe_pit,0.0,False
1,revenue_growth_yoy_pit,0.0,False
1,policy_rate_pit,0.0,False
2,return_5d,0.9991330287526451,True
2,return_20d,0.9964066323300422,True
2,return_60d,0.9889347090798127,True
2,return_120d,0.9773218573718223,True
2,sma_ratio_20,0.9965891525926432,True
2,ema_ratio_20,1.0,True
2,rsi_14,0.9816510098503904,True
2,macd,1.0,True
2,atr_14,0.9976842741682495,True
2,volatility_20d,0.9964066323300422,True
2,downside_volatility_20d,0.9965891525926432,True
2,drawdown_60d,0.9891286368588262,True
2,liquidity_20d,0.9965891525926432,True
2,beta_60d,0.9889347090798127,True
2,roe_pit,0.0,False
2,revenue_growth_yoy_pit,0.0,False
2,policy_rate_pit,0.0,False
3,return_5d,0.9994664214475872,True
3,return_20d,0.9976443074547735,True
3,return_60d,0.9917408851727603,True
3,return_120d,0.9813644852386061,True
3,sma_ratio_20,0.9977748639090873,True
3,ema_ratio_20,1.0,True
3,rsi_14,0.9818356237476514,True
3,macd,1.0,True
3,atr_14,0.9985241444294967,True
3,volatility_20d,0.9976443074547735,True
3,downside_volatility_20d,0.9977748639090873,True
3,drawdown_60d,0.9918998234649683,True
3,liquidity_20d,0.9977748639090873,True
3,beta_60d,0.9917408851727603,True
3,roe_pit,0.0,False
3,revenue_growth_yoy_pit,0.0,False
3,policy_rate_pit,0.0,False
4,return_5d,0.9996338461365134,True
4,return_20d,0.9985353845460537,True
4,return_60d,0.9954315264109598,True
4,return_120d,0.9885985320046642,True
4,sma_ratio_20,0.998608615318751,True
4,ema_ratio_20,1.0,True
4,rsi_14,0.983094957779643,True
4,macd,1.0,True
4,atr_14,0.9990479999549349,True
4,volatility_20d,0.9985353845460537,True
4,downside_volatility_20d,0.998608615318751,True
4,drawdown_60d,0.9955216565927412,True
4,liquidity_20d,0.998608615318751,True
4,beta_60d,0.9954315264109598,True
4,roe_pit,0.0,False
4,revenue_growth_yoy_pit,0.0,False
4,policy_rate_pit,0.0,False
5,return_5d,0.9996111471160077,True
5,return_20d,0.9985460283468117,True
5,return_60d,0.9956155428442616,True
5,return_120d,0.9912198145904365,True
5,sma_ratio_20,0.9986192904843755,True
5,ema_ratio_20,1.0,True
5,rsi_14,0.9873087435543407,True
5,macd,1.0,True
5,atr_14,0.9990363211135845,True
5,volatility_20d,0.9985460283468117,True
5,downside_volatility_20d,0.9986192904843755,True
5,drawdown_60d,0.9956888049818253,True
5,liquidity_20d,0.9986192904843755,True
5,beta_60d,0.9956155428442616,True
5,roe_pit,0.0,False
5,revenue_growth_yoy_pit,0.0,False
5,policy_rate_pit,0.0,False
6,return_5d,0.9997126436781609,True
6,return_20d,0.9988618435880099,True
6,return_60d,0.9961122379986478,True
6,return_120d,0.9917004732927653,True
6,sma_ratio_20,0.9989238224025242,True
6,ema_ratio_20,1.0,True
6,rsi_14,0.987998647734956,True
6,macd,1.0,True
6,atr_14,0.9992618886635114,True
6,volatility_20d,0.9988618435880099,True
6,downside_volatility_20d,0.9989238224025242,True
6,drawdown_60d,0.9961911201262114,True
6,liquidity_20d,0.9989238224025242,True
6,beta_60d,0.9961122379986478,True
6,roe_pit,0.0,False
6,revenue_growth_yoy_pit,0.0,False
6,policy_rate_pit,0.0,False
7,return_5d,0.9997349350026788,True
7,return_20d,0.9989735780954798,True
7,return_60d,0.9971745199221724,True
7,return_120d,0.9937343146377915,True
7,sma_ratio_20,0.9990243352226263,True
7,ema_ratio_20,1.0,True
7,rsi_14,0.9868708231114119,True
7,macd,1.0,True
7,atr_14,0.9993288779855061,True
7,volatility_20d,0.9989735780954798,True
7,downside_volatility_20d,0.9990243352226263,True
7,drawdown_60d,0.997225277049319,True
7,liquidity_20d,0.9990243352226263,True
7,beta_60d,0.9971745199221724,True
7,roe_pit,0.0,False
7,revenue_growth_yoy_pit,0.0,False
7,policy_rate_pit,0.0,False
8,return_5d,0.999635134831713,True
8,return_20d,0.998641578911916,True
8,return_60d,0.9961717223881267,True
8,return_120d,0.9928318027707299,True
8,sma_ratio_20,0.9987033253250107,True
8,ema_ratio_20,1.0,True
8,rsi_14,0.9862754563621259,True
8,macd,1.0,True
8,atr_14,0.999073803803579,True
8,volatility_20d,0.998641578911916,True
8,downside_volatility_20d,0.9987033253250107,True
8,drawdown_60d,0.9962334688012214,True
8,liquidity_20d,0.9987033253250107,True
8,beta_60d,0.9961717223881267,True
8,roe_pit,0.0,False
