fold,train_start,train_end,validation_start,validation_end,test_start,test_end,embargo_days,train_rows_raw,train_rows_after_purge,train_rows_purged,validation_rows_raw,validation_rows_after_purge,validation_rows_purged,test_rows,train_label_cutoff,validation_label_cutoff
0,2020-01-30,2022-01-30,2022-01-30,2022-04-30,2022-04-30,2022-05-30,20,182793,169928,12865,23940,10988,12952,7693,2022-01-10,2022-04-10
1,2020-05-31,2022-05-31,2022-05-31,2022-08-31,2022-08-31,2022-09-30,20,185295,172687,12608,24106,11680,12426,7996,2022-05-11,2022-08-11
2,2020-09-30,2022-09-30,2022-09-30,2022-12-31,2022-12-31,2023-01-31,20,187859,175323,12536,24083,11308,12775,8004,2022-09-10,2022-12-11
3,2021-01-30,2023-01-30,2023-01-30,2023-04-30,2023-04-30,2023-05-30,20,188717,176169,12548,23790,10980,12810,8008,2023-01-10,2023-04-10
4,2021-05-31,2023-05-31,2023-05-31,2023-08-31,2023-08-31,2023-09-30,20,190099,177521,12578,24065,11648,12417,7678,2023-05-11,2023-08-11
5,2021-09-30,2023-09-30,2023-09-30,2023-12-31,2023-12-31,2024-01-31,20,190455,177445,13010,23846,10981,12865,8485,2023-09-10,2023-12-11
6,2021-12-31,2023-12-31,2023-12-31,2024-03-31,2024-03-31,2024-04-30,20,190525,177480,13045,23364,10351,13013,7959,2023-12-11,2024-03-11
7,2022-04-30,2024-04-30,2024-04-30,2024-07-31,2024-07-31,2024-08-31,20,189857,177315,12542,24282,11610,12672,8218,2024-04-10,2024-07-11
8,2022-08-30,2024-08-30,2024-08-30,2024-11-30,2024-11-30,2024-12-30,20,190921,178148,12773,24063,11012,13051,7833,2024-08-10,2024-11-10
9,2022-12-31,2024-12-31,2024-12-31,2025-03-31,2025-03-31,2025-04-30,20,190374,177572,12802,23659,10943,12716,7982,2024-12-11,2025-03-11
10,2023-04-30,2025-04-30,2025-04-30,2025-07-31,2025-07-31,2025-08-31,20,190953,178145,12808,24730,11973,12757,7896,2025-04-10,2025-07-11
11,2023-08-30,2025-08-30,2025-08-30,2025-11-30,2025-11-30,2025-12-30,20,192248,179014,13234,24485,11276,13209,8316,2025-08-10,2025-11-10
