fold,n_estimators,max_depth,validation_rank_ic,selected
0,90,3,0.19812352063792493,True
0,180,4,0.175843318311191,False
0,180,5,0.17153560939918844,False
1,90,3,-0.10207493242436683,False
1,180,4,-0.10599405003621327,False
1,180,5,-0.09378163518948353,True
2,90,3,0.039898175828872215,False
2,180,4,0.09638753502349946,False
2,180,5,0.14431791735347133,True
3,90,3,0.06620204523234209,False
3,180,4,0.08379810406577602,False
3,180,5,0.08830438118752842,True
4,90,3,-0.10605058673238792,False
4,180,4,-0.09809802853862332,False
4,180,5,-0.09601893693887133,True
5,90,3,0.05883480151631605,True
5,180,4,0.017831185524403013,False
5,180,5,0.018298177035004012,False
6,90,3,0.11879064608105416,False
6,180,4,0.12921575472289468,False
6,180,5,0.14351536892531494,True
7,90,3,0.023346971019632626,False
7,180,4,0.04141743596414777,False
7,180,5,0.05514398029555721,True
8,90,3,0.08096175855274274,True
8,180,4,0.07224875931347255,False
8,180,5,0.07774500979480829,False
9,90,3,0.06473305549545108,False
9,180,4,0.07637860929073437,False
9,180,5,0.0991250783507936,True
10,90,3,0.036519323274268455,True
10,180,4,0.027456838125397797,False
10,180,5,0.027631625067910913,False
11,90,3,0.22179380140441232,True
11,180,4,0.21298703529738455,False
11,180,5,0.2217230686742497,False
