sensitivity_factor,fold,depth_p,shots,seed,cardinality,candidate_size,qubit_budget,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model,transaction_cost_bps,energy,optimality_gap,feasibility_rate,runtime_seconds,net_cumulative_return
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,0,-0.09412455243351334,0.0,1.0,0.04011250000075961,0.018715852752278606
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,10,-0.09412455243351334,0.0,1.0,0.04011250000075961,0.01769713689952712
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,25,-0.09412455243351334,0.0,1.0,0.04011250000075961,0.016169063120397897
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,0,-0.09412455243351334,0.0,1.0,0.03391959999953542,0.018715852752278606
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,10,-0.09412455243351334,0.0,1.0,0.03391959999953542,0.01769713689952712
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,25,-0.09412455243351334,0.0,1.0,0.03391959999953542,0.016169063120397897
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.08803566177504311,0.06468971698650611,0.86328125,0.03419469999971625,-0.014317874963416966
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.08803566177504311,0.06468971698650611,0.86328125,0.03419469999971625,-0.015303557088454212
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.08803566177504311,0.06468971698650611,0.86328125,0.03419469999971625,-0.016782080276008027
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09412455243351334,0.0,0.8828125,0.0298188000006121,0.018715852752278606
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.09412455243351334,0.0,0.8828125,0.0298188000006121,0.01769713689952712
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.09412455243351334,0.0,0.8828125,0.0298188000006121,0.016169063120397897
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.0,0.0,ideal,0,-0.09914970383138068,0.0,1.0,0.06408579999970243,-0.010847903062518927
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.0,0.0,ideal,10,-0.09914970383138068,0.0,1.0,0.06408579999970243,-0.011837055159456544
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.0,0.0,ideal,25,-0.09914970383138068,0.0,1.0,0.06408579999970243,-0.013320783304862305
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.0,0.0,ideal,0,-0.09914970383138068,0.0,1.0,0.04471410000041942,-0.010847903062518927
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.0,0.0,ideal,10,-0.09914970383138068,0.0,1.0,0.04471410000041942,-0.011837055159456544
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.0,0.0,ideal,25,-0.09914970383138068,0.0,1.0,0.04471410000041942,-0.013320783304862305
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09040716702337345,0.08817511772689789,0.8515625,0.06878069999947911,-0.0793732004162504
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.09040716702337345,0.08817511772689789,0.8515625,0.06878069999947911,-0.08029382721583378
core_partial_factorial,0,1,256,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.09040716702337345,0.08817511772689789,0.8515625,0.06878069999947911,-0.08167476741520951
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09268584526685474,0.0651929185331056,0.875,0.05862170000000333,-0.08876119171335461
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.09268584526685474,0.0651929185331056,0.875,0.05862170000000333,-0.08967243052164142
core_partial_factorial,0,1,256,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.09268584526685474,0.0651929185331056,0.875,0.05862170000000333,-0.09103928873407152
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,0,-0.09412455243351334,0.0,1.0,0.11543600000004517,0.018715852752278606
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,10,-0.09412455243351334,0.0,1.0,0.11543600000004517,0.01769713689952712
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,25,-0.09412455243351334,0.0,1.0,0.11543600000004517,0.016169063120397897
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,0,-0.09412455243351334,0.0,1.0,0.08623570000054315,0.018715852752278606
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,10,-0.09412455243351334,0.0,1.0,0.08623570000054315,0.01769713689952712
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,25,-0.09412455243351334,0.0,1.0,0.08623570000054315,0.016169063120397897
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09387439199536914,0.0026577596564748454,0.86328125,0.16448970000055851,-0.05890831728374901
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.09387439199536914,0.0026577596564748454,0.86328125,0.16448970000055851,-0.05984940896646507
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.09387439199536914,0.0026577596564748454,0.86328125,0.16448970000055851,-0.06126104649053943
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09412455243351334,0.0,0.86083984375,0.10503369999969436,0.018715852752278606
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.09412455243351334,0.0,0.86083984375,0.10503369999969436,0.01769713689952712
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.09412455243351334,0.0,0.86083984375,0.10503369999969436,0.016169063120397897
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,0,-0.09914970383138068,0.0,1.0,0.08967510000002221,-0.010847903062518927
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,10,-0.09914970383138068,0.0,1.0,0.08967510000002221,-0.011837055159456544
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.0,0.0,ideal,25,-0.09914970383138068,0.0,1.0,0.08967510000002221,-0.013320783304862305
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,0,-0.09914970383138068,0.0,1.0,0.0963936999996804,-0.010847903062518927
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,10,-0.09914970383138068,0.0,1.0,0.0963936999996804,-0.011837055159456544
core_partial_factorial,0,1,2048,23,4,7,8,0.0,0.0,0.0,ideal,25,-0.09914970383138068,0.0,1.0,0.0963936999996804,-0.013320783304862305
core_partial_factorial,0,1,2048,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.09914970383138068,0.0,0.86376953125,0.08130740000069636,-0.010847903062518927
