fold,decision_time,calibration_source,method,observations,intercept,slope,r_squared,target_clip_low,target_clip_high
0,2022-04-29,purged_validation,purged_validation_linear_rank_to_return,10988,-0.19302523566620622,0.5096382076542098,0.03465410227359311,-0.1489313500776579,0.5158305708792712
1,2022-08-30,purged_validation,purged_validation_linear_rank_to_return,11680,0.15987973062766614,-0.3553765928176244,0.03333319291135295,-0.3284671724885446,0.3693896671643432
2,2022-12-30,purged_validation,purged_validation_linear_rank_to_return,11308,-0.34003493450548616,0.5082834658517891,0.034715338932029716,-0.491143509458578,0.32853824414272786
3,2023-04-28,purged_validation,purged_validation_linear_rank_to_return,10980,-0.03787680787619142,0.0664100023467275,0.005800108675247717,-0.21531537332322048,0.29979049767572835
4,2023-08-30,purged_validation,purged_validation_linear_rank_to_return,11648,0.06903905141125656,-0.045787368036773995,0.0006091401931305196,-0.1396429840529634,0.3334975959996436
5,2023-12-29,purged_validation,purged_validation_linear_rank_to_return,10981,-0.15433295256069118,0.29954273901399436,0.0034725951031959745,-0.24015158568274703,0.27272720715301485
6,2024-03-29,purged_validation,purged_validation_linear_rank_to_return,10351,-0.07193971326827266,0.18423581139439107,0.02167518189332518,-0.1689282556779686,0.2899883377630801
7,2024-07-30,purged_validation,purged_validation_linear_rank_to_return,11610,-0.03434278548417382,0.13504557449948504,0.004383198068931726,-0.1538244184286536,0.3954222076224998
8,2024-11-29,purged_validation,purged_validation_linear_rank_to_return,11012,0.014396652295965255,-0.03722509970267026,0.00017674998492778204,-0.15189815161675146,0.2476251189224323
9,2025-03-28,purged_validation,purged_validation_linear_rank_to_return,10943,-0.026078052228157688,0.11495315633348945,0.00454905579750442,-0.13719462628385604,0.31967270299350686
10,2025-07-30,purged_validation,purged_validation_linear_rank_to_return,11973,-0.08254784056278408,0.2276387565722017,0.006705893766470572,-0.14640087658906623,0.3172937158494573
11,2025-11-28,purged_validation,purged_validation_linear_rank_to_return,11276,-0.23966971886781344,0.4467447884951247,0.02632081874737191,-0.2206846615593756,0.36078032032481977
