method,bits,energy,feasibility_rate,runtime_seconds,fold,decision_time,optimality_gap,selected_tickers,bitstring_counts,bitstring_probabilities,parameter_trace,optimal_parameters,seed,shots,backend,expected_energy,penalized_mean_energy,primary_probability,success_probability,best_observed_bits,best_observed_energy,depth_p,two_qubit_gate_estimate,penalty_strength,optimizer,optimizer_budget,optimizer_success,stopping_reason,best_observed_gap,mean_energy,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model
exact,0111010,-0.09914970383138068,1.0,0.0,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0111010,-0.09914970383138068,1.0,0.04487200000039593,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],11.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0111010,-0.09914970383138068,1.0,0.03445019999981014,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],23.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0111010,-0.09914970383138068,1.0,0.033709200000885176,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],47.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0111010,-0.09914970383138068,1.0,0.032844500000464905,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],59.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0111010,-0.09914970383138068,1.0,0.032667700000274635,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],71.0,,,,,,,,,,,,,,,,,,,,,
penalty_stochastic_baseline,0111010,-0.09914970383138068,0.2724609375,0.010684799999580719,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']",{},{},[],[],11.0,2048.0,classical_stochastic_baseline_not_qaoa_circuit,,,,,,,,,,,,,,,,,,,
penalty_qaoa_ideal_statevector,0111010,-0.09914970383138068,0.6416015625,0.4640726000006907,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']","{""0000000"": 3, ""0000001"": 2, ""0000011"": 1, ""0000100"": 2, ""0000101"": 1, ""0000110"": 1, ""0000111"": 11, ""0001000"": 1, ""0001010"": 2, ""0001011"": 16, ""0001100"": 1, ""0001101"": 9, ""0001110"": 18, ""0001111"": 38, ""0010000"": 3, ""0010001"": 2, ""0010010"": 2, ""0010011"": 7, ""0010101"": 10, ""0010110"": 9, ""0010111"": 48, ""0011001"": 10, ""0011010"": 11, ""0011011"": 30, ""0011100"": 17, ""0011101"": 43, ""0011110"": 38, ""0011111"": 15, ""0100000"": 6, ""0100010"": 1, ""0100011"": 11, ""0100100"": 1, ""0100101"": 12, ""0100110"": 8, ""0100111"": 30, ""0101000"": 1, ""0101001"": 12, ""0101010"": 9, ""0101011"": 38, ""0101100"": 10, ""0101101"": 39, ""0101110"": 46, ""0101111"": 15, ""0110000"": 1, ""0110001"": 10, ""0110010"": 9, ""0110011"": 42, ""0110100"": 14, ""0110101"": 37, ""0110110"": 37, ""0110111"": 17, ""0111000"": 11, ""0111001"": 35, ""0111010"": 40, ""0111011"": 14, ""0111100"": 44, ""0111101"": 10, ""0111110"": 10, ""0111111"": 11, ""1000000"": 1, ""1000001"": 1, ""1000011"": 10, ""1000100"": 2, ""1000101"": 19, ""1000110"": 13, ""1000111"": 37, ""1001001"": 13, ""1001010"": 9, ""1001011"": 24, ""1001100"": 5, ""1001101"": 36, ""1001110"": 32, ""1001111"": 11, ""1010000"": 3, ""1010001"": 13, ""1010010"": 5, ""1010011"": 48, ""1010100"": 13, ""1010101"": 36, ""1010110"": 39, ""1010111"": 16, ""1011000"": 10, ""1011001"": 38, ""1011010"": 26, ""1011011"": 19, ""1011100"": 52, ""1011101"": 13, ""1011110"": 11, ""1011111"": 3, ""1100000"": 3, ""1100001"": 10, ""1100010"": 10, ""1100011"": 30, ""1100100"": 15, ""1100101"": 42, ""1100110"": 33, ""1100111"": 14, ""1101000"": 7, ""1101001"": 50, ""1101010"": 31, ""1101011"": 12, ""1101100"": 37, ""1101101"": 6, ""1101110"": 15, ""1101111"": 4, ""1110000"": 7, ""1110001"": 31, ""1110010"": 48, ""1110011"": 22, ""1110100"": 27, ""1110101"": 16, ""1110110"": 8, ""1110111"": 1, ""1111000"": 32, ""1111001"": 16, ""1111010"": 10, ""1111011"": 3, ""1111100"": 14, ""1111101"": 1, ""1111110"": 3}",{},"[{""start"": 0, ""initial_parameters"": [0.8078304089805352, 3.137055329483761, 1.889662821455866, 0.09012917794007706], ""final_parameters"": [1.135953155192753, 1.9757420015221752, 2.8099685236675516, -7.303521259711917e-17], ""objective_trace"": [3.5953200126799723, 4.524874827755564, 3.794955081518978, 2.369482021295635, 2.7885662770142634, 2.075883913313521, 2.07588391331352, 2.075883913313521, 2.282385337122171, 1.8548347638752223, 1.6751120054841584, 1.5282184511698322, 1.6692077948150956, 1.4946843927862528, 1.4869304622775714, 1.44111716965661, 1.378261041692503, 1.2659105293239794, 1.346601428273285, 2.4341312619106303], ""final_expected_energy"": 1.2659105293239794, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 1, ""initial_parameters"": [0.9294470011656759, 5.832121861426727, 0.22123276470758535, 0.4076968860601681], ""final_parameters"": [1.4018586548603846, 6.221447819705012, 0.8720557149016739, 2.850427170383141], ""objective_trace"": [8.803303028409896, 9.123840785178905, 8.641430643031725, 7.845262700807966, 0.9802924457450765, 7.025586501103113, 5.910119256238962, 8.395906415652107, 6.297744395830202, 5.37820649036364, 2.716319757551344, 1.5299625601274285, 2.0381838428523213, 1.354844311941283, 2.516516026350384, 1.528762453583046, 1.7669087195772406, 2.103335159463652, 0.7317370935275371, 0.5302889556915671], ""final_expected_energy"": 0.5302889556915671, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 2, ""initial_parameters"": [5.958523404103223, 3.9074098530342853, 1.1592260867346609, 1.606579135616254], ""final_parameters"": [5.931327690867709, 3.859552325092164, 1.3102153360443387, 1.6003215182727377], ""objective_trace"": [1.2403792420790862, 1.526972051971232, 1.3107509198978229, 9.36016942023748, 3.8653330891660307, 2.939299843032165, 1.7957918812764888, 0.7766135268261061, 3.5614570413637163, 0.7335324431736236, 0.5646200566348194, 1.294952039844807, 0.5608100958008135, 0.6099345063761685, 0.567419434265027, 0.5620117867925225, 0.5990188887087007, 0.578539438377746, 0.530251767125363, 0.49802189477630865], ""final_expected_energy"": 0.49802189477630865, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}]","[5.931327690867709, 3.859552325092164, 1.3102153360443387, 1.6003215182727377]",11.0,2048.0,internal_ideal_statevector_full_hilbert,-0.08514207193277683,0.49802189477630865,0.01830003579367249,0.01830003579367249,0111010,-0.09914970383138068,2.0,56.0,1.0765747824719347,COBYLA_multi_start,60.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
penalty_qaoa_ideal_statevector,0111010,-0.09914970383138068,0.67626953125,0.426070599999548,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']","{""0000000"": 4, ""0000001"": 2, ""0000010"": 2, ""0000100"": 3, ""0000101"": 1, ""0000110"": 1, ""0000111"": 11, ""0001000"": 1, ""0001001"": 2, ""0001010"": 1, ""0001011"": 13, ""0001100"": 1, ""0001101"": 13, ""0001110"": 10, ""0001111"": 26, ""0010000"": 3, ""0010001"": 1, ""0010010"": 1, ""0010011"": 17, ""0010100"": 1, ""0010101"": 15, ""0010110"": 11, ""0010111"": 45, ""0011000"": 2, ""0011001"": 12, ""0011010"": 12, ""0011011"": 40, ""0011100"": 10, ""0011101"": 40, ""0011110"": 45, ""0011111"": 8, ""0100000"": 5, ""0100001"": 1, ""0100010"": 2, ""0100011"": 9, ""0100100"": 1, ""0100101"": 12, ""0100110"": 14, ""0100111"": 43, ""0101000"": 1, ""0101001"": 15, ""0101010"": 14, ""0101011"": 47, ""0101100"": 16, ""0101101"": 39, ""0101110"": 38, ""0101111"": 7, ""0110001"": 15, ""0110010"": 11, ""0110011"": 39, ""0110100"": 15, ""0110101"": 38, ""0110110"": 37, ""0110111"": 5, ""0111000"": 15, ""0111001"": 33, ""0111010"": 45, ""0111011"": 7, ""0111100"": 46, ""0111101"": 7, ""0111110"": 2, ""1000000"": 3, ""1000001"": 1, ""1000010"": 2, ""1000011"": 15, ""1000100"": 1, ""1000101"": 11, ""1000110"": 14, ""1000111"": 43, ""1001000"": 3, ""1001001"": 16, ""1001010"": 9, ""1001011"": 37, ""1001100"": 23, ""1001101"": 40, ""1001110"": 38, ""1001111"": 8, ""1010000"": 2, ""1010001"": 12, ""1010010"": 9, ""1010011"": 44, ""1010100"": 20, ""1010101"": 45, ""1010110"": 39, ""1010111"": 9, ""1011000"": 21, ""1011001"": 35, ""1011010"": 44, ""1011011"": 7, ""1011100"": 31, ""1011101"": 6, ""1011110"": 2, ""1011111"": 1, ""1100000"": 1, ""1100001"": 19, ""1100010"": 24, ""1100011"": 44, ""1100100"": 12, ""1100101"": 34, ""1100110"": 34, ""1100111"": 4, ""1101000"": 20, ""1101001"": 44, ""1101010"": 45, ""1101011"": 3, ""1101100"": 36, ""1101101"": 4, ""1101110"": 5, ""1110000"": 11, ""1110001"": 34, ""1110010"": 46, ""1110011"": 6, ""1110100"": 40, ""1110101"": 2, ""1110110"": 4, ""1110111"": 1, ""1111000"": 31, ""1111001"": 3, ""1111010"": 6, ""1111100"": 4, ""1111101"": 2, ""1111110"": 1, ""1111111"": 4}",{},"[{""start"": 0, ""initial_parameters"": [4.360110136552218, 4.030400868591656, 0.4041477500430434, 0.3572243749466042], ""final_parameters"": [5.327258052080769, 5.033001567364381, 1.356640632989794, 1.525012702334438], ""objective_trace"": [10.54105894788788, 10.140285022100143, 9.444539776450814, 5.556091551541423, 1.1399657133361463, 9.22418417157294, 1.825894001832673, 1.192283442938444, 1.2773509381294663, 0.7895153952385219, 0.6921637929033704, 1.1452476595517793, 0.7191566654433375, 0.45972953526884774, 0.46814024038284774, 0.4650363440760522, 0.44530006722847304, 0.4186070521883124, 0.43875464245422446, 0.4211468601953891], ""final_expected_energy"": 0.4186070521883124, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 1, ""initial_parameters"": [4.105090980161066, 5.362429148508308, 0.6339078464056876, 0.6849257486142074], ""final_parameters"": [6.283185307179586, 6.283185307179586, 2.7755575615628914e-17, 0.0], ""objective_trace"": [8.722260464579042, 7.7984500417236156, 7.268688278151736, 7.879764141877818, 7.894037814776267, 5.374040513372927, 2.0758839133135214, 7.982832707172609, 4.297460707456795, 2.0758839133135214, 7.502917216516124, 2.0758839133135214, 2.0096291705392977, 2.0762686801894614, 2.073188272866249, 2.0758839133135214, 2.075819971934145, 2.075216248078788, 2.075855949461343, 2.0758839133135214], ""final_expected_energy"": 2.0758839133135214, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 2, ""initial_parameters"": [4.502434055785688, 2.957493254843459, 1.3044581669102298, 1.0968801783178772], ""final_parameters"": [4.999954841618058, 2.4436081193972043, 2.7839176729966937, 0.13904608890850048], ""objective_trace"": [4.109717802388002, 4.578101629460706, 4.270269342336653, 2.1919810336215946, 5.129292651357066, 1.9071650202120962, 3.3314015946098676, 1.82101315489403, 6.365109666889628, 2.6768519485310436, 0.920304388941575, 0.773341174244115, 0.6242216364710151, 0.6140649155662404, 0.7957269424184544, 0.5975223123436266, 0.923412803875679, 0.6308012866890577, 0.5955362180518489, 0.633732651062386], ""final_expected_energy"": 0.5955362180518489, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}]","[5.327258052080769, 5.033001567364381, 1.356640632989794, 1.525012702334438]",23.0,2048.0,internal_ideal_statevector_full_hilbert,-0.08597030549611366,0.4186070521883124,0.019494840696209867,0.019494840696209867,0111010,-0.09914970383138068,2.0,56.0,1.0765747824719347,COBYLA_multi_start,60.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
penalty_qaoa_ideal_statevector,0111010,-0.09914970383138068,0.6689453125,0.3542227999996612,0,2022-04-29 00:00:00,0.0,"['APG', 'PVD', 'SBT', 'KSB']","{""0000000"": 13, ""0000001"": 1, ""0000010"": 4, ""0000011"": 3, ""0000101"": 5, ""0000110"": 5, ""0000111"": 11, ""0001001"": 7, ""0001010"": 4, ""0001011"": 13, ""0001100"": 4, ""0001101"": 14, ""0001110"": 16, ""0001111"": 42, ""0010000"": 2, ""0010001"": 5, ""0010010"": 4, ""0010011"": 16, ""0010100"": 6, ""0010101"": 15, ""0010110"": 17, ""0010111"": 33, ""0011000"": 2, ""0011001"": 19, ""0011010"": 14, ""0011011"": 35, ""0011100"": 15, ""0011101"": 33, ""0011110"": 26, ""0011111"": 1, ""0100000"": 3, ""0100001"": 4, ""0100010"": 4, ""0100011"": 11, ""0100100"": 2, ""0100101"": 6, ""0100110"": 7, ""0100111"": 41, ""0101000"": 8, ""0101001"": 15, ""0101010"": 11, ""0101011"": 35, ""0101100"": 18, ""0101101"": 34, ""0101110"": 33, ""0101111"": 1, ""0110000"": 1, ""0110001"": 18, ""0110010"": 17, ""0110011"": 28, ""0110100"": 11, ""0110101"": 39, ""0110110"": 39, ""0110111"": 2, ""0111000"": 17, ""0111001"": 36, ""0111010"": 41, ""0111011"": 1, ""0111100"": 41, ""0111101"": 1, ""0111111"": 8, ""1000000"": 1, ""1000010"": 5, ""1000011"": 15, ""1000100"": 7, ""1000101"": 18, ""1000110"": 20, ""1000111"": 40, ""1001000"": 3, ""1001001"": 11, ""1001010"": 11, ""1001011"": 34, ""1001100"": 18, ""1001101"": 32, ""1001110"": 42, ""1010000"": 6, ""1010001"": 17, ""1010010"": 11, ""1010011"": 39, ""1010100"": 16, ""1010101"": 44, ""1010110"": 47, ""1011000"": 13, ""1011001"": 47, ""1011010"": 41, ""1011100"": 33, ""1011101"": 2, ""1011111"": 6, ""1100000"": 6, ""1100001"": 7, ""1100010"": 19, ""1100011"": 37, ""1100100"": 19, ""1100101"": 42, ""1100110"": 35, ""1100111"": 1, ""1101000"": 13, ""1101001"": 57, ""1101010"": 39, ""1101011"": 1, ""1101100"": 33, ""1101110"": 3, ""1101111"": 6, ""1110000"": 15, ""1110001"": 41, ""1110010"": 59, ""1110011"": 1, ""1110100"": 46, ""1110101"": 2, ""1110111"": 5, ""1111000"": 46, ""1111001"": 1, ""1111010"": 2, ""1111011"": 1, ""1111101"": 1, ""1111110"": 1, ""1111111"": 12}",{},"[{""start"": 0, ""initial_parameters"": [4.660879393574647, 4.735440838205339, 1.4614077614946912, 0.325861791135201], ""final_parameters"": [5.760226397869086, 4.810700660131903, 1.415249783163429, 1.4486852795454408], ""objective_trace"": [5.672030918140099, 5.361117091491633, 5.38295825541957, 6.178366246747725, 1.351614870298239, 5.46091427804995, 4.118029867998363, 1.1300064865841288, 2.033882406825743, 1.188882542126247, 1.6507340016700955, 1.3257204667332045, 0.7538472882476674, 0.7746249772449925, 0.8271561956187778, 0.7625778907864103, 0.6867989546006157, 0.6695713852797291, 0.6531448181945025, 0.6806138420867366], ""final_expected_energy"": 0.6531448181945025, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 1, ""initial_parameters"": [6.074909337044454, 2.015333703421836, 0.6293601295900554, 2.6947299673181626], ""final_parameters"": [6.245374044031795, 2.954780909074156, 1.6932220103233033, 2.865129009901939], ""objective_trace"": [3.5170854090302686, 4.2840197840743794, 3.2834651145616447, 2.8258417198265513, 8.530318336242807, 6.1423544302557485, 4.001746718862562, 2.874388824782298, 2.0960471805752006, 3.575001152172063, 2.0501035130961567, 2.1723040066970185, 1.9837100823598046, 1.698406236188565, 2.3229851561581376, 1.6517604796267071, 1.7144705718226227, 1.6404935820401292, 1.6168293780504088, 1.5870212185711947], ""final_expected_energy"": 1.5870212185711947, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}, {""start"": 2, ""initial_parameters"": [3.2241919768033944, 1.12619847870723, 2.357654000618004, 2.49121455004384], ""final_parameters"": [3.087356938698111, 2.191181088618489, 2.2712531433276855, 2.4897608449491124], ""objective_trace"": [1.7207787534950836, 1.9307142791602854, 1.0365107412744696, 2.5280920538657945, 2.896939978085562, 6.536492048779371, 3.2884458182506546, 1.0321020066480755, 2.020618046735234, 1.0178615236418949, 1.0505485060374924, 1.2185222931796686, 0.9605706168435022, 1.4738033786973175, 0.9779811022634052, 0.9602991424153052, 1.0321084184454796, 0.9538904904450386, 0.925457363857257, 0.8827044840197499], ""final_expected_energy"": 0.8827044840197499, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 20}]","[5.760226397869086, 4.810700660131903, 1.415249783163429, 1.4486852795454408]",47.0,2048.0,internal_ideal_statevector_full_hilbert,-0.08492472416418778,0.6531448181945025,0.019283898434505082,0.019283898434505082,0111010,-0.09914970383138068,2.0,56.0,1.0765747824719347,COBYLA_multi_start,60.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
