fold,decision_time,eligible_count,selected_m,signal_dispersion,relative_signal_dispersion,average_abs_correlation,candidate_size_reason,expected_return_filter_status,force_defensive_exposure,pre_solver_execution_exclusions,maximum_executable_price_at_minimum_exposure,retained_prior_candidates,candidate_turnover,selected_tickers,cluster_concentration,sector_concentration,fixed_topm_tickers,adaptive_forward_return_mean,fixed_topm_forward_return_mean,adaptive_liquidity_mean,fixed_topm_liquidity_mean,adaptive_risk_mean,fixed_topm_risk_mean,adaptive_abs_correlation,fixed_topm_abs_correlation
0,2022-04-29,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,enforced,False,25,62499.93750006251,0,1.0,CII|GEX|KSB|NKG|PVD|SBT|SHB|SZC,0.125,,APG|DQC|LGL|NHA|PTL|SZC|TDG|TIP,-0.06219612231566213,-0.1130436732722534,195723003773.95264,17082754804.788671,0.03606962544486343,0.04222828628978045,0.31344101426766535,0.32009615122435503
1,2022-05-30,275,8,0.1803473550754426,0.36321877280865966,0.3004081047845119,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,20,62499.93750006251,4,0.6666666666666666,FPT|KDC|KSB|PVD|SHB|SZC|VIC|VPI,0.25,,ANV|BAF|CDC|DBD|EIB|FIR|HAH|VSH,-0.08889944316360035,-0.005996744859963904,102850289010.85397,36012027774.36242,0.030965919955747656,0.032731521738166146,0.29681100378944014,0.14491953330797874
2,2022-06-29,274,8,0.2320818831438115,0.43906629060752655,0.32860226265134757,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,21,62499.93750006251,4,0.6666666666666666,ACB|BVH|CTF|FPT|SHB|SSB|VIC|VPI,0.125,,AST|CTF|SBA|SSB|TDP|TLG|VPD|VPI,-0.044561916031653034,0.029547870202922946,87953841843.90971,16950093183.013525,0.019910241959529926,0.01886414892831966,0.31733490291027777,0.16640934993220827
3,2022-07-29,281,8,0.1474115470282606,0.29047567385361606,0.3238713554606334,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,18,62499.93750006251,4,0.6666666666666666,ACB|CDC|FIR|FPT|HDG|LPB|SSB|VPI,0.25,,ACC|CDC|DBT|FIR|HDG|SBA|TTA|YEG,0.02342108666919017,0.009385198313124468,57685772986.92938,11009910628.970203,0.013718522681553196,0.017858423201303587,0.28672706790747293,0.1978622898378835
4,2022-08-30,278,8,0.2946164579873706,0.5576336744229898,0.3303174414001925,full_budget_supported,enforced,False,22,62499.93750006251,0,1.0,ANV|CII|CSV|CTD|DPM|DXG|FRT|HPG,0.25,,C32|CTG|DRC|HDB|MSB|PVT|SBT|SKG,-0.12284687432150751,-0.08191043893171192,212722745814.53897,44985069450.18721,0.023400770560509515,0.01539151896658229,0.3457143650551044,0.5403868073394712
5,2022-09-29,281,8,0.29355831501122104,0.5990986020624938,0.34166128315983446,full_budget_supported|retained_4_prior_candidates,enforced,False,19,62499.93750006251,4,0.6666666666666666,ANV|BVH|CTD|DPM|HCM|HPG|SHI|VPI,0.25,,BWE|CLL|DHM|EVG|SHI|TCO|TMT|VPI,-0.17682994410151487,-0.11550452844917483,117890421727.05948,9680439493.464325,0.02244708290399886,0.016943002888446874,0.2819137825010638,0.1991867604506822
6,2022-10-28,286,8,0.26097792272446163,0.5214127072112021,0.3434046536015786,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,14,62499.93750006251,4,0.6666666666666666,BVH|DPM|HPX|MWG|REE|SHI|VHM|VPI,0.25,,BWE|CKG|FRT|HTI|PVD|REE|SHP|TRA,-0.1648343719645515,-0.12689145850430386,80867293227.55386,50366552295.20295,0.0266127122485071,0.029898086122850404,0.286319921433125,0.2738598328475238
7,2022-11-29,287,8,0.1575263265569783,0.3118197394269664,0.3440424932755518,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,12,62499.93750006251,4,0.6666666666666666,BVH|CTF|FIR|KDC|REE|SHI|SSB|VPI,0.25,,CDC|CTF|FIR|OPC|PAC|SMB|TRA|VIP,0.0011200866427019535,0.0139325016338884,29868902707.643444,3995571328.181348,0.02274528529778628,0.02329138418150372,0.18531986946555448,0.15221528838297194
8,2022-12-30,285,8,0.1883415308047075,0.3895822740262267,0.34342248713970763,liquidity_risk_threshold_relaxed_for_feasibility|retained_4_prior_candidates,insufficient_positive_defensive_topk,True,14,62499.93750006251,5,0.5454545454545454,BVH|CTF|FIR|LPB|OCB|PNJ|SHI|SSB,0.25,,APG|BID|CTG|DSN|FIR|LPB|OCB|SHI,0.05095260995964909,0.06478539933657358,42965815177.282074,55382598266.17969,0.01844975246897925,0.02505823478163546,0.31025803382388656,0.3880976832763897
9,2023-01-30,274,8,0.2883896145665322,0.5613470089544986,0.3510557540590273,full_budget_supported|retained_4_prior_candidates,enforced,False,17,62499.93750006251,4,0.6666666666666666,BVH|HAG|NVL|OCB|PDR|SHB|SHI|SSB,0.25,,HII|LCG|NVL|PVT|TCH|VIP|VNG|VTO,-0.1301087997574136,-0.02288507835695995,64980446741.92749,30122237028.47532,0.01716312767738072,0.023550509841916784,0.2711363670287405,0.41519937234873083
