fold,decision_time,notional_vnd,board_lot,invested_weight,cash_residual_weight,selected_assets_with_positive_shares,cardinality_preserved,share_quantities
0,2022-04-29,100000000.0,100,0.221172072265625,0.778827927734375,4,True,"{""KSB"": 100, ""PVD"": 500, ""SBT"": 700, ""SZC"": 100}"
0,2022-04-29,1000000000.0,100,0.2435748126953125,0.7564251873046874,4,True,"{""KSB"": 1200, ""PVD"": 5200, ""SBT"": 7400, ""SZC"": 1200}"
1,2022-05-30,100000000.0,100,0.210313140625,0.7896868593749999,4,True,"{""FPT"": 100, ""KDC"": 100, ""VIC"": 100, ""VPI"": 100}"
1,2022-05-30,1000000000.0,100,0.248533140625,0.751466859375,4,True,"{""FPT"": 1000, ""KDC"": 1700, ""VIC"": 1000, ""VPI"": 1000}"
2,2022-06-29,100000000.0,100,0.204128712890625,0.7958712871093749,4,True,"{""CTF"": 400, ""SSB"": 100, ""VIC"": 100, ""VPI"": 100}"
2,2022-06-29,1000000000.0,100,0.247996864453125,0.752003135546875,4,True,"{""CTF"": 4400, ""SSB"": 1000, ""VIC"": 1000, ""VPI"": 1600}"
3,2022-07-29,100000000.0,100,0.212479,0.787521,4,True,"{""CDC"": 800, ""FIR"": 100, ""HDG"": 100, ""VPI"": 100}"
3,2022-07-29,1000000000.0,100,0.248288608984375,0.751711391015625,4,True,"{""CDC"": 8300, ""FIR"": 1800, ""HDG"": 1300, ""VPI"": 1000}"
4,2022-08-30,100000000.0,100,0.22997493359375,0.77002506640625,4,True,"{""CSV"": 100, ""CTD"": 100, ""DXG"": 200, ""HPG"": 600}"
4,2022-08-30,1000000000.0,100,0.2476947158203125,0.7523052841796876,4,True,"{""CSV"": 1000, ""CTD"": 1000, ""DXG"": 2700, ""HPG"": 6300}"
5,2022-09-29,100000000.0,100,0.219629443359375,0.7803705566406249,4,True,"{""DPM"": 200, ""HPG"": 600, ""SHI"": 100, ""VPI"": 100}"
5,2022-09-29,1000000000.0,100,0.2476940869140625,0.7523059130859375,4,True,"{""DPM"": 2700, ""HPG"": 6600, ""SHI"": 1000, ""VPI"": 1000}"
