fold,decision_time,selected_tickers,long_only,full_investment,configured_lower_bound,effective_lower_bounds_equity_sleeve,configured_upper_bound,effective_upper_bounds,portfolio_notional_vnd,max_adv_participation,capacity_constraint_applied,sector_cap,sector_metadata_available,sector_constraint_applied,sector_constraint_reason,max_one_way_turnover,prior_exit_weight,remaining_turnover_limit,cash_allowed_by_exposure_overlay,target_equity_exposure,target_cash_weight,solver_solution_selection,board_lot,cash_residual_weight,executed_cardinality,solver_cardinality_preserved_after_rounding,executed_one_way_turnover,turnover_cap_satisfied_after_rounding
0,2022-04-29,PVD|SBT|SZC|KSB,True,False,0.05,0.05|0.05333797131|0.1548931549|0.144000144,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.0,,True,0.25,0.75,best_observed_feasible,100,0.778827927734375,4,True,0.221172072265625,True
1,2022-05-30,KDC|VIC|FPT|VPI,True,False,0.05,0.2184002184|0.156000156|0.24503462|0.2218184093,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.22080504426016861,,True,0.25,0.75,best_observed_feasible,100,0.7896868593749999,4,True,0.4311181848851686,True
2,2022-06-29,VPI|VIC|SSB|CTF,True,False,0.05,0.232363873|0.1472001472|0.07640706859|0.09013614482,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.12111721846991458,,True,0.25,0.75,best_observed_feasible,100,0.7958712871093749,4,True,0.23160141257601163,True
3,2022-07-29,VPI|HDG|FIR|CDC,True,False,0.05,0.228000228|0.124538062|0.1143940519|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.12995898095483158,,True,0.25,0.75,best_observed_feasible,100,0.787521,4,True,0.2865006954680823,True
4,2022-08-30,HPG|DXG|CSV|CTD,True,False,0.05,0.06336094617|0.07410130848|0.2016002016|0.1899321587,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.2141848952245917,,True,0.25,0.75,best_observed_feasible,100,0.77002506640625,4,True,0.4441598288183417,True
5,2022-09-29,VPI|HPG|SHI|DPM,True,False,0.05,0.2404002404|0.06005515771|0.06000006|0.1088937026,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.11183520556811065,,True,0.25,0.75,best_observed_feasible,100,0.7803705566406249,4,True,0.24356740617346545,True
6,2022-10-28,VPI|REE|HPX|SHI,True,False,0.05,0.2316002316|0.1610854267|0.1016001016|0.0592000592,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.13042544101580295,,True,0.25,0.75,best_observed_feasible,100,0.8108286835937499,4,True,0.2485760490214954,True
7,2022-11-29,KDC|CTF|FIR|SHI,True,False,0.05,0.246000246|0.09678580772|0.1208334568|0.0598000598,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.12632086219015767,,True,0.25,0.75,best_observed_feasible,100,0.76033571484375,4,True,0.35222191203796827,True
8,2022-12-30,FIR|SHI|OCB|PNJ,True,False,0.05,0.1202021436|0.06000006|0.05|0.2293335575,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.14416103965518506,,True,0.25,0.75,best_observed_feasible,100,0.7673693276367187,4,True,0.2742253929889964,True
9,2023-01-30,SHB|OCB|NVL|SHI,True,False,0.05,0.05|0.05|0.05190702847|0.0638000638,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.15332759567409826,,True,0.25,0.75,best_observed_feasible,100,0.7720272329101563,4,True,0.3552464401886811,True
10,2023-02-27,SSB|CDC|CTF|TDM,True,False,0.05,0.07677149083|0.05|0.123035834|0.1454652236,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.2028037953672327,,True,0.25,0.75,best_observed_feasible,100,0.782851796875,4,True,0.4199519984922327,True
11,2023-03-30,SSB|TDM|BVH|CTF,True,False,0.05,0.07628559191|0.1415653603|0.1932001932|0.126964416,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.09202798228893445,,True,0.25,0.75,best_observed_feasible,100,0.791962181640625,4,True,0.17654169296923286,True
12,2023-04-28,HDB|BAF|CDC|LIX,True,False,0.05,0.05|0.05|0.05|0.1704001704,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.20932418339027797,,True,0.25,0.75,best_observed_feasible,100,0.778754634765625,4,True,0.43056954862465296,True
13,2023-05-30,VRE|CDC|DGC|VPI,True,False,0.05,0.05|0.05|0.08583341917|0.09000009,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.13509336231694657,,True,0.6,0.4,best_observed_feasible,100,0.465434921875,4,True,0.5749628259294535,True
