fold,decision_time,mode,regime,fast_days,slow_days,fast_market_return,slow_market_return,market_volatility_annualized,target_market_volatility,volatility_scale,equity_exposure,cash_weight,forced_by_expected_return_filter,selected_expected_return,solver_solution_selection
0,2022-04-29,market_trend_volatility,risk_off,63,126,-0.1477455255114507,-0.27776674974431115,0.22712905516055035,0.22,0.968612315339792,0.25,0.75,False,0.02204486435332901,best_observed_feasible
1,2022-05-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.2808223142873698,-0.35384340937603265,0.3538818719883229,0.22,0.6216763768200576,0.25,0.75,True,-0.008834860834761359,best_observed_feasible
2,2022-06-29,market_trend_volatility,insufficient_positive_candidates,63,126,-0.36614156606613957,-0.41737253471017344,0.39729297051830076,0.22,0.5537475272038975,0.25,0.75,True,-0.014101357957812203,best_observed_feasible
3,2022-07-29,market_trend_volatility,insufficient_positive_candidates,63,126,-0.2537096620517606,-0.3433708108887822,0.36795440899685755,0.22,0.5979001599675868,0.25,0.75,True,-0.005564880591026276,best_observed_feasible
4,2022-08-30,market_trend_volatility,risk_off,63,126,-0.13931960516954278,-0.3745103789115741,0.23728358092637936,0.22,0.9271606536832322,0.25,0.75,False,0.0008144891775709777,best_observed_feasible
5,2022-09-29,market_trend_volatility,risk_off,63,126,-0.07177982045588238,-0.4230825559692827,0.14301086863142498,0.22,1.0,0.25,0.75,False,0.011664668025389915,best_observed_feasible
6,2022-10-28,market_trend_volatility,insufficient_positive_candidates,63,126,-0.2831869964811349,-0.44834654089815196,0.28384870338552665,0.22,0.7750607889907934,0.25,0.75,True,-0.004377912405879144,best_observed_feasible
7,2022-11-29,market_trend_volatility,insufficient_positive_candidates,63,126,-0.34245983838153116,-0.42036139429493,0.41544976268594996,0.22,0.5295465776118499,0.25,0.75,True,-0.018320313274709513,best_observed_feasible
8,2022-12-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.23166576690694718,-0.3126781154384125,0.4139413727317617,0.22,0.5314762294673122,0.25,0.75,True,-0.008890031260109569,best_observed_feasible
9,2023-01-30,market_trend_volatility,risk_off,63,126,-0.039244313895953065,-0.3175043382123215,0.3513923888737099,0.22,0.6260807204878527,0.25,0.75,False,0.025507263942652618,best_observed_feasible
10,2023-02-27,market_trend_volatility,risk_off,63,126,-0.0322835915496652,-0.3514796099532862,0.19172802791034613,0.22,1.0,0.25,0.75,False,0.006327284392547774,best_observed_feasible
11,2023-03-30,market_trend_volatility,risk_off,63,126,-0.02579382784162365,-0.24687330794317275,0.1500129284432402,0.22,1.0,0.25,0.75,False,0.0031796812781725073,best_observed_feasible
12,2023-04-28,market_trend_volatility,risk_off,63,126,-0.0880715564883916,-0.12594332851864698,0.1365355144189929,0.22,1.0,0.25,0.75,False,0.00022464993463461216,best_observed_feasible
13,2023-05-30,market_trend_volatility,mixed,63,126,0.008757736406656003,-0.060827348128947745,0.09089062593682802,0.22,1.0,0.6,0.4,False,0.010824926226555478,best_observed_feasible
14,2023-06-29,market_trend_volatility,mixed,63,126,0.046457770426842515,-0.007731333854641975,0.06373530205743998,0.22,1.0,0.6,0.4,False,0.034389884131404994,best_observed_feasible
15,2023-07-28,market_trend_volatility,mixed,63,126,0.04886603687656077,-0.013781944175138006,0.07197587598394727,0.22,1.0,0.6,0.4,False,0.04937942500694347,best_observed_feasible
16,2023-08-30,market_trend_volatility,risk_off,63,126,-0.029110850867747895,-0.0009625905215066011,0.15030876553411585,0.22,1.0,0.25,0.75,False,0.011210790713911716,best_observed_feasible
17,2023-09-29,market_trend_volatility,risk_off,63,126,-0.08227153830806466,-0.07081444828602534,0.17882313677140535,0.22,1.0,0.25,0.75,False,0.008381305468092105,best_observed_feasible
18,2023-10-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.17925052501058292,-0.13699233633347563,0.21977285736777066,0.22,1.0,0.25,0.75,True,-0.0017155580943389688,best_observed_feasible
19,2023-11-29,market_trend_volatility,insufficient_positive_candidates,63,126,-0.11955519630337164,-0.13642242356123502,0.2127901554174039,0.22,1.0,0.25,0.75,True,-0.006489085933031086,best_observed_feasible
20,2023-12-29,market_trend_volatility,risk_off,63,126,-0.045261607422371286,-0.12325391881162984,0.18126492290964502,0.22,1.0,0.25,0.75,False,0.0007022251138027525,best_observed_feasible
21,2024-01-30,market_trend_volatility,mixed,63,126,0.06507711378096781,-0.1491385962078685,0.09208615656753857,0.22,1.0,0.6,0.4,False,0.013672875450611337,best_observed_feasible
22,2024-02-28,market_trend_volatility,mixed,63,126,0.009865060791856672,-0.1068439479588571,0.06053041877804678,0.22,1.0,0.6,0.4,False,0.0170266391263002,best_observed_feasible
23,2024-03-29,market_trend_volatility,risk_off,63,126,-0.010782029335510757,-0.032243181332050064,0.07100798379474581,0.22,1.0,0.25,0.75,False,0.009818179619472537,best_observed_feasible
24,2024-04-29,market_trend_volatility,risk_off,63,126,-0.08496032353267235,-0.05848857694846721,0.1418019907066411,0.22,1.0,0.25,0.75,False,0.010861888522648763,best_observed_feasible
25,2024-05-30,market_trend_volatility,insufficient_positive_candidates,63,126,-0.06250006009930087,-0.06835358253209345,0.14511533772736881,0.22,1.0,0.25,0.75,True,-0.0023944848088688804,best_observed_feasible
26,2024-06-28,market_trend_volatility,risk_off,63,126,-0.06884271754198645,-0.08745568821684546,0.14501603914690248,0.22,1.0,0.25,0.75,False,0.006476905377602189,best_observed_feasible
27,2024-07-30,market_trend_volatility,risk_off,63,126,-0.03450592946474984,-0.11254827080309615,0.09717225218663685,0.22,1.0,0.25,0.75,False,0.009870744883426432,best_observed_feasible
28,2024-08-30,market_trend_volatility,risk_off,63,126,-0.08328145092405359,-0.13972453219439362,0.15388501480732164,0.22,1.0,0.25,0.75,False,0.0012621454425598977,best_observed_feasible
29,2024-09-27,market_trend_volatility,insufficient_positive_candidates,63,126,-0.07132377186257277,-0.1374762159751417,0.143878273999623,0.22,1.0,0.25,0.75,True,-0.004906361484143365,best_observed_feasible
30,2024-10-30,market_trend_volatility,risk_off,63,126,-0.03607348158234236,-0.11254885975141204,0.06790161945561564,0.22,1.0,0.25,0.75,False,0.0021902359307764178,best_observed_feasible
31,2024-11-29,market_trend_volatility,risk_off,63,126,-0.0581390647744402,-0.14669626222005516,0.05733326485137528,0.22,1.0,0.25,0.75,False,0.0003359713777815029,best_observed_feasible
