fold,feature,training_coverage,active
0,return_5d,0.9991172731980603,True
0,return_20d,0.995992420319194,True
0,return_60d,0.9101325267171979,True
0,return_120d,0.7820724071371404,True
0,sma_ratio_20,0.9962690080504685,True
0,ema_ratio_20,1.0,True
0,rsi_14,0.9810625676757215,True
0,macd,1.0,True
0,atr_14,0.9977343345416883,True
0,volatility_20d,0.995992420319194,True
0,downside_volatility_20d,0.9962690080504685,True
0,drawdown_60d,0.9122746104232381,True
0,liquidity_20d,0.9962690080504685,True
0,beta_60d,0.9101325267171979,True
0,roe_pit,0.0,False
0,revenue_growth_yoy_pit,0.0,False
0,policy_rate_pit,0.0,False
1,return_5d,0.9991181243091973,True
1,return_20d,0.9964724972367895,True
1,return_60d,0.9534722385532536,True
1,return_120d,0.8253827340498083,True
1,sma_ratio_20,0.99664887237495,True
1,ema_ratio_20,1.0,True
1,rsi_14,0.9813395103826165,True
1,macd,1.0,True
1,atr_14,0.9977071232039132,True
1,volatility_20d,0.9964724972367895,True
1,downside_volatility_20d,0.99664887237495,True
1,drawdown_60d,0.9556181360675399,True
1,liquidity_20d,0.99664887237495,True
1,beta_60d,0.9534722385532536,True
1,roe_pit,0.0,False
1,revenue_growth_yoy_pit,0.0,False
1,policy_rate_pit,0.0,False
2,return_5d,0.9990798975075704,True
2,return_20d,0.9962497088283252,True
2,return_60d,0.9889296529233637,True
2,return_120d,0.8636675984160261,True
2,sma_ratio_20,0.9964360587002097,True
2,ema_ratio_20,1.0,True
2,rsi_14,0.9810097833682739,True
2,macd,1.0,True
2,atr_14,0.9975599813650128,True
2,volatility_20d,0.9962497088283252,True
2,downside_volatility_20d,0.9964360587002097,True
2,drawdown_60d,0.9892033542976939,True
2,liquidity_20d,0.9964360587002097,True
2,beta_60d,0.9889296529233637,True
2,roe_pit,0.0,False
2,revenue_growth_yoy_pit,0.0,False
2,policy_rate_pit,0.0,False
3,return_5d,0.9990118117559523,True
3,return_20d,0.9961751302083334,True
3,return_60d,0.9889381045386905,True
3,return_120d,0.9080752418154762,True
3,sma_ratio_20,0.9963611421130952,True
3,ema_ratio_20,1.0,True
3,rsi_14,0.9808872767857143,True
3,macd,1.0,True
3,atr_14,0.9974772135416666,True
3,volatility_20d,0.9961751302083334,True
3,downside_volatility_20d,0.9963611421130952,True
3,drawdown_60d,0.9891124906994048,True
3,liquidity_20d,0.9963611421130952,True
3,beta_60d,0.9889381045386905,True
3,roe_pit,0.0,False
3,revenue_growth_yoy_pit,0.0,False
3,policy_rate_pit,0.0,False
4,return_5d,0.9990155599437132,True
4,return_20d,0.9960622397748528,True
4,return_60d,0.9885167962846074,True
4,return_120d,0.9502741955097952,True
4,sma_ratio_20,0.9962591277861101,True
4,ema_ratio_20,1.0,True
4,rsi_14,0.9811566591578984,True
4,macd,1.0,True
4,atr_14,0.9974404558536543,True
4,volatility_20d,0.9960622397748528,True
4,downside_volatility_20d,0.9962591277861101,True
4,drawdown_60d,0.9887021026481437,True
4,liquidity_20d,0.9962591277861101,True
4,beta_60d,0.9885167962846074,True
4,roe_pit,0.0,False
4,revenue_growth_yoy_pit,0.0,False
4,policy_rate_pit,0.0,False
5,return_5d,0.99902092908071,True
5,return_20d,0.99608371632284,True
5,return_60d,0.9883317783383438,True
5,return_120d,0.977538961263347,True
5,sma_ratio_20,0.996279530506698,True
5,ema_ratio_20,1.0,True
5,rsi_14,0.9810233018878791,True
5,macd,1.0,True
5,atr_14,0.997454415609846,True
5,volatility_20d,0.99608371632284,True
5,downside_volatility_20d,0.996279530506698,True
5,drawdown_60d,0.9885160740407984,True
5,liquidity_20d,0.996279530506698,True
5,beta_60d,0.9883317783383438,True
5,roe_pit,0.0,False
5,revenue_growth_yoy_pit,0.0,False
5,policy_rate_pit,0.0,False
6,return_5d,0.9990433599963118,True
6,return_20d,0.9961042852861852,True
6,return_60d,0.9882667527258477,True
6,return_120d,0.977196237984371,True
6,sma_ratio_20,0.9963002236001937,True
6,ema_ratio_20,1.0,True
6,rsi_14,0.9811726331804246,True
6,macd,1.0,True
6,atr_14,0.9974758534842443,True
6,volatility_20d,0.9961042852861852,True
6,downside_volatility_20d,0.9963002236001937,True
6,drawdown_60d,0.9884626910398562,True
6,liquidity_20d,0.9963002236001937,True
6,beta_60d,0.9882667527258477,True
6,roe_pit,0.0,False
6,revenue_growth_yoy_pit,0.0,False
6,policy_rate_pit,0.0,False
7,return_5d,0.9990826950419667,True
7,return_20d,0.9963307801678668,True
7,return_60d,0.98856808696051,True
7,return_120d,0.9771591065449708,True
7,sma_ratio_20,0.9965142411594735,True
7,ema_ratio_20,1.0,True
7,rsi_14,0.9815392377195798,True
7,macd,1.0,True
7,atr_14,0.9976150071091134,True
7,volatility_20d,0.9963307801678668,True
7,downside_volatility_20d,0.9965142411594735,True
7,drawdown_60d,0.9887630142640921,True
7,liquidity_20d,0.9965142411594735,True
7,beta_60d,0.98856808696051,True
7,roe_pit,0.0,False
7,revenue_growth_yoy_pit,0.0,False
7,policy_rate_pit,0.0,False
8,return_5d,0.9991330287526451,True
8,return_20d,0.9964066323300422,True
8,return_60d,0.9889347090798127,True
8,return_120d,0.9773218573718223,True
8,sma_ratio_20,0.9965891525926432,True
8,ema_ratio_20,1.0,True
8,rsi_14,0.9816510098503904,True
8,macd,1.0,True
8,atr_14,0.9976842741682495,True
8,volatility_20d,0.9964066323300422,True
8,downside_volatility_20d,0.9965891525926432,True
8,drawdown_60d,0.9891286368588262,True
8,liquidity_20d,0.9965891525926432,True
8,beta_60d,0.9889347090798127,True
8,roe_pit,0.0,False
8,revenue_growth_yoy_pit,0.0,False
