fold,train_start,train_end,validation_start,validation_end,test_start,test_end,embargo_days,phase,train_rows_raw,train_rows_after_purge,train_rows_purged,validation_rows_raw,validation_rows_after_purge,validation_rows_purged,test_rows,train_label_cutoff,validation_label_cutoff
0,2020-01-30,2022-01-30,2022-01-30,2022-04-30,2022-04-30,2022-05-30,20,development,182793,169928,12865,23940,10988,12952,7693,2022-01-10,2022-04-10
1,2020-02-29,2022-02-28,2022-02-28,2022-05-31,2022-05-31,2022-06-30,20,development,182665,170092,12573,24325,11785,12540,8047,2022-02-08,2022-05-11
2,2020-03-30,2022-03-30,2022-03-30,2022-06-30,2022-06-30,2022-07-30,20,development,184351,171720,12631,24233,11717,12516,7665,2022-03-10,2022-06-10
3,2020-04-30,2022-04-30,2022-04-30,2022-07-31,2022-07-31,2022-08-31,20,development,185044,172032,13012,23771,10953,12818,8392,2022-04-10,2022-07-11
4,2020-05-31,2022-05-31,2022-05-31,2022-08-31,2022-08-31,2022-09-30,20,development,185295,172687,12608,24106,11680,12426,7996,2022-05-11,2022-08-11
5,2020-06-30,2022-06-30,2022-06-30,2022-09-30,2022-09-30,2022-10-30,20,development,186214,173634,12580,24054,11658,12396,7294,2022-06-10,2022-09-10
6,2020-07-31,2022-07-31,2022-07-31,2022-10-31,2022-10-31,2022-11-30,20,development,186445,173524,12921,23682,11272,12410,8030,2022-07-11,2022-10-11
7,2020-08-30,2022-08-30,2022-08-30,2022-11-30,2022-11-30,2022-12-30,20,development,186973,174424,12549,24048,11638,12410,8030,2022-08-10,2022-11-10
8,2020-09-30,2022-09-30,2022-09-30,2022-12-31,2022-12-31,2023-01-31,20,development,187859,175323,12536,24083,11308,12775,8004,2022-09-10,2022-12-11
9,2020-10-31,2022-10-31,2022-10-31,2023-01-31,2023-01-31,2023-02-28,20,development,187635,175085,12550,24063,11674,12389,7320,2022-10-11,2023-01-11
10,2020-11-28,2022-11-28,2022-11-28,2023-02-28,2023-02-28,2023-03-28,20,development,188029,175459,12570,24083,11644,12439,7320,2022-11-08,2023-02-08
11,2020-12-31,2022-12-31,2022-12-31,2023-03-31,2023-03-31,2023-04-30,20,development,189175,176240,12935,23376,10932,12444,7320,2022-12-11,2023-03-11
12,2021-01-30,2023-01-30,2023-01-30,2023-04-30,2023-04-30,2023-05-30,20,development,188717,176169,12548,23790,10980,12810,8008,2023-01-10,2023-04-10
13,2021-02-28,2023-02-28,2023-02-28,2023-05-31,2023-05-31,2023-06-30,20,development,189358,176759,12599,24112,11694,12418,8008,2023-02-08,2023-05-11
14,2021-03-30,2023-03-30,2023-03-30,2023-06-30,2023-06-30,2023-07-30,20,development,189878,177274,12604,24068,11652,12416,7281,2023-03-10,2023-06-10
15,2021-04-30,2023-04-30,2023-04-30,2023-07-31,2023-07-31,2023-08-31,20,development,189641,176671,12970,23661,11272,12389,8413,2023-04-10,2023-07-11
16,2021-05-31,2023-05-31,2023-05-31,2023-08-31,2023-08-31,2023-09-30,20,development,190099,177521,12578,24065,11648,12417,7678,2023-05-11,2023-08-11
17,2021-06-30,2023-06-30,2023-06-30,2023-09-30,2023-09-30,2023-10-30,20,development,190166,177590,12576,24101,11291,12810,7686,2023-06-10,2023-09-10
18,2021-07-31,2023-07-31,2023-07-31,2023-10-31,2023-10-31,2023-11-30,20,development,189508,176931,12577,24142,11698,12444,8067,2023-07-11,2023-10-11
19,2021-08-30,2023-08-30,2023-08-30,2023-11-30,2023-11-30,2023-12-30,20,development,190334,177719,12615,24162,11704,12458,7727,2023-08-10,2023-11-10
20,2021-09-30,2023-09-30,2023-09-30,2023-12-31,2023-12-31,2024-01-31,20,development,190455,177445,13010,23846,10981,12865,8485,2023-09-10,2023-12-11
21,2021-10-31,2023-10-31,2023-10-31,2024-01-31,2024-01-31,2024-02-29,20,development,190162,177518,12644,24274,11740,12534,7060,2023-10-11,2024-01-11
22,2021-11-29,2023-11-29,2023-11-29,2024-02-29,2024-02-29,2024-03-29,20,development,190821,178179,12642,23635,11765,11870,7819,2023-11-09,2024-02-09
23,2021-12-31,2023-12-31,2023-12-31,2024-03-31,2024-03-31,2024-04-30,20,development,190525,177480,13045,23364,10351,13013,7959,2023-12-11,2024-03-11
24,2022-01-30,2024-01-30,2024-01-30,2024-04-30,2024-04-30,2024-05-30,20,development,190586,177875,12711,23211,10772,12439,7914,2024-01-10,2024-04-10
25,2022-02-28,2024-02-29,2024-02-29,2024-05-31,2024-05-31,2024-06-30,20,development,190709,178673,12036,24063,11409,12654,7423,2024-02-09,2024-05-11
26,2022-03-30,2024-03-30,2024-03-30,2024-06-30,2024-06-30,2024-07-30,20,development,190759,177590,13169,23667,10639,13028,8205,2024-03-10,2024-06-10
27,2022-04-30,2024-04-30,2024-04-30,2024-07-31,2024-07-31,2024-08-31,20,development,189857,177315,12542,24282,11610,12672,8218,2024-04-10,2024-07-11
28,2022-05-31,2024-05-31,2024-05-31,2024-08-31,2024-08-31,2024-09-30,20,development,190447,177715,12732,24590,11523,13067,7296,2024-05-11,2024-08-11
29,2022-06-30,2024-06-30,2024-06-30,2024-09-30,2024-09-30,2024-10-30,20,development,190193,177105,13088,23720,11034,12686,8187,2024-06-10,2024-09-10
30,2022-07-31,2024-07-31,2024-07-31,2024-10-31,2024-10-31,2024-11-30,20,development,190368,177608,12760,24074,11383,12691,7833,2024-07-11,2024-10-11
31,2022-08-30,2024-08-30,2024-08-30,2024-11-30,2024-11-30,2024-12-30,20,development,190921,178148,12773,24063,11012,13051,7833,2024-08-10,2024-11-10
32,2022-09-30,2024-09-30,2024-09-30,2024-12-31,2024-12-31,2025-01-31,20,development,189859,177093,12766,24598,11916,12682,8326,2024-09-10,2024-12-11
33,2022-10-31,2024-10-31,2024-10-31,2025-01-31,2025-01-31,2025-02-28,20,development,190760,177989,12771,24364,11673,12691,7480,2024-10-11,2025-01-11
34,2022-11-28,2024-11-28,2024-11-28,2025-02-28,2025-02-28,2025-03-28,20,development,190920,178129,12791,24384,11673,12711,7480,2024-11-08,2025-02-08
35,2022-12-31,2024-12-31,2024-12-31,2025-03-31,2025-03-31,2025-04-30,20,development,190374,177572,12802,23659,10943,12716,7982,2024-12-11,2025-03-11
36,2023-01-30,2025-01-30,2025-01-30,2025-04-30,2025-04-30,2025-05-30,20,development,191053,178243,12810,23690,10974,12716,8242,2025-01-10,2025-04-10
37,2023-02-28,2025-02-28,2025-02-28,2025-05-31,2025-05-31,2025-06-30,20,development,191221,178390,12831,24452,11348,13104,7859,2025-02-08,2025-05-11
38,2023-03-30,2025-03-30,2025-03-30,2025-06-30,2025-06-30,2025-07-30,20,development,191023,177813,13210,24082,11334,12748,8255,2025-03-10,2025-06-10
39,2023-04-30,2025-04-30,2025-04-30,2025-07-31,2025-07-31,2025-08-31,20,development,190953,178145,12808,24730,11973,12757,7896,2025-04-10,2025-07-11
40,2023-05-31,2025-05-31,2025-05-31,2025-08-31,2025-08-31,2025-09-30,20,development,191561,178377,13184,24386,11232,13154,8268,2025-05-11,2025-08-11
41,2023-06-30,2025-06-30,2025-06-30,2025-09-30,2025-09-30,2025-10-30,20,development,191037,178209,12828,24794,12010,12784,8279,2025-06-10,2025-09-10
42,2023-07-31,2025-07-31,2025-07-31,2025-10-31,2025-10-31,2025-11-30,20,development,192022,179185,12837,24819,12028,12791,7560,2025-07-11,2025-10-11
43,2023-08-30,2025-08-30,2025-08-30,2025-11-30,2025-11-30,2025-12-30,20,development,192248,179014,13234,24485,11276,13209,8316,2025-08-10,2025-11-10
