sensitivity_factor,fold,depth_p,shots,seed,cardinality,candidate_size,qubit_budget,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model,transaction_cost_bps,energy,optimality_gap,feasibility_rate,runtime_seconds,net_cumulative_return
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,0,-0.05486624627413408,0.0,1.0,0.020161399996140972,0.018715852752278606
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,10,-0.05486624627413408,0.0,1.0,0.020161399996140972,0.01769713689952712
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.0,0.0,ideal,25,-0.05486624627413408,0.0,1.0,0.020161399996140972,0.016169063120397897
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,0,-0.047650423568745964,0.13151660985159094,1.0,0.03617540001869202,0.0090475908712353
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,10,-0.047650423568745964,0.13151660985159094,1.0,0.03617540001869202,0.008038543280363575
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.0,0.0,ideal,25,-0.047650423568745964,0.13151660985159094,1.0,0.03617540001869202,0.006524971894057874
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.049190109364047455,0.10345407778806082,0.8671875,0.02108759997645393,-0.014317874963416966
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.049190109364047455,0.10345407778806082,0.8671875,0.02108759997645393,-0.015303557088454212
core_partial_factorial,0,1,256,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.049190109364047455,0.10345407778806082,0.8671875,0.02108759997645393,-0.016782080276008027
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.05486624627413408,0.0,0.87890625,0.022405199997592717,0.018715852752278606
core_partial_factorial,0,1,256,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.05486624627413408,0.0,0.87890625,0.022405199997592717,0.01769713689952712
