fold,decision_time,calibration_source,method,observations,intercept,slope,r_squared,target_clip_low,target_clip_high
0,2022-04-29,purged_validation,purged_validation_linear_rank_to_return,10988,-0.19302523566620622,0.5096382076542098,0.03465410227359311,-0.1489313500776579,0.5158305708792712
1,2022-05-30,purged_validation,purged_validation_linear_rank_to_return,11785,-0.13226462227068714,0.1668984159397074,0.0036841743809596927,-0.41836734693877553,0.3105651873949323
2,2022-06-29,purged_validation,purged_validation_linear_rank_to_return,11717,-0.063865982536154,-0.08340803682109248,0.0022034830384652926,-0.4089424227245449,0.21758232162641272
3,2022-07-29,purged_validation,purged_validation_linear_rank_to_return,10953,-0.10111926456152742,0.07544490216467722,0.0017810415061220164,-0.36369331749331746,0.3097893916589204
4,2022-08-30,purged_validation,purged_validation_linear_rank_to_return,11680,0.15987973062766614,-0.3553765928176244,0.03333319291135295,-0.3284671724885446,0.3693896671643432
5,2022-09-29,purged_validation,purged_validation_linear_rank_to_return,11658,0.19840861884798425,-0.30731400606703374,0.04185973287277034,-0.14674557125587218,0.39359523207157265
6,2022-10-28,purged_validation,purged_validation_linear_rank_to_return,11272,-0.14886250325838168,0.21233932566512634,0.021053696061162475,-0.3046604911644475,0.21366306433557747
7,2022-11-29,purged_validation,purged_validation_linear_rank_to_return,11638,-0.3401829661058642,0.42344274810685084,0.02294085232930909,-0.39734236186348865,0.17375950029631343
8,2022-12-30,purged_validation,purged_validation_linear_rank_to_return,11308,-0.34003493450548616,0.5082834658517891,0.034715338932029716,-0.491143509458578,0.32853824414272786
9,2023-01-30,purged_validation,purged_validation_linear_rank_to_return,11674,-0.34930371884799827,0.7826961419868008,0.1850903439839695,-0.3034315921966917,0.5747122129612604
10,2023-02-27,purged_validation,purged_validation_linear_rank_to_return,11644,0.003978717142283112,0.04146758365951,0.0005946397917220292,-0.23080211335254566,0.3201974044591908
11,2023-03-30,purged_validation,purged_validation_linear_rank_to_return,10932,-0.04623710234971366,0.10678210067664923,0.009067649253654997,-0.20927145112127973,0.3200000906203415
12,2023-04-28,purged_validation,purged_validation_linear_rank_to_return,10980,-0.03787680787619142,0.0664100023467275,0.005800108675247717,-0.21531537332322048,0.29979049767572835
13,2023-05-30,purged_validation,purged_validation_linear_rank_to_return,11694,0.08005593106274281,-0.10984268793100636,0.001637971530387583,-0.17000004455485052,0.34213982489171274
14,2023-06-29,purged_validation,purged_validation_linear_rank_to_return,11652,-0.0024455546894670143,0.09514861296959709,0.002459244182775433,-0.13648059831048356,0.43833258779855677
15,2023-07-28,purged_validation,purged_validation_linear_rank_to_return,11272,-0.059479855163243875,0.23472348009318855,0.01075023851731205,-0.12904654579122019,0.4749815501817564
16,2023-08-30,purged_validation,purged_validation_linear_rank_to_return,11648,0.06903905141125656,-0.045787368036773995,0.0006091401931305196,-0.1396429840529634,0.3334975959996436
17,2023-09-29,purged_validation,purged_validation_linear_rank_to_return,11291,-0.08496184987176648,0.21630715469919956,0.013016180199657224,-0.15751929993599556,0.40241132945457453
18,2023-10-30,purged_validation,purged_validation_linear_rank_to_return,11698,-0.008041444532391272,0.0013382079096078963,1.3725189229596424e-07,-0.24175438854898026,0.29218414298703377
19,2023-11-29,purged_validation,purged_validation_linear_rank_to_return,11704,-0.5386824126628736,0.9551831693400151,0.05142839886242523,-0.28089542139688745,0.22465898972714185
20,2023-12-29,purged_validation,purged_validation_linear_rank_to_return,10981,-0.15433295256069118,0.29954273901399436,0.0034725951031959745,-0.24015158568274703,0.27272720715301485
21,2024-01-30,purged_validation,purged_validation_linear_rank_to_return,11740,0.07229906050642025,-0.09105888850441016,0.002187873152055264,-0.13245792495977574,0.28455015216210205
22,2024-02-28,purged_validation,purged_validation_linear_rank_to_return,11765,-0.17801456953913058,0.37982544051900174,0.025192280263895306,-0.1532038666229032,0.23753731705185285
23,2024-03-29,purged_validation,purged_validation_linear_rank_to_return,10351,-0.07193971326827266,0.18423581139439107,0.02167518189332518,-0.1689282556779686,0.2899883377630801
24,2024-04-29,purged_validation,purged_validation_linear_rank_to_return,10772,-0.026419597595124505,0.11143912825836168,0.005596431706984539,-0.12970691237012222,0.26607839567042674
25,2024-05-30,purged_validation,purged_validation_linear_rank_to_return,11409,-0.23245443666014692,0.409309119410033,0.016480187694912884,-0.22474851949244182,0.2651158567456552
26,2024-06-28,purged_validation,purged_validation_linear_rank_to_return,10639,0.09287176144643883,-0.1274972158967919,0.003577053093378524,-0.19217744584058094,0.37313389650088
27,2024-07-30,purged_validation,purged_validation_linear_rank_to_return,11610,-0.03434278548417382,0.13504557449948504,0.004383198068931726,-0.1538244184286536,0.3954222076224998
28,2024-08-30,purged_validation,purged_validation_linear_rank_to_return,11523,-0.11253898581134363,0.1835516069464269,0.0036763734423874705,-0.2676382156105099,0.27157689872592783
29,2024-09-27,purged_validation,purged_validation_linear_rank_to_return,11034,-0.11256890360339192,0.1691260806711755,0.009399443927505913,-0.2897881639336701,0.20536353322650372
30,2024-10-30,purged_validation,purged_validation_linear_rank_to_return,11383,-0.12623301771276216,0.25106253034957526,0.011200818173762395,-0.1770193582873384,0.22543564185060128
31,2024-11-29,purged_validation,purged_validation_linear_rank_to_return,11012,0.014396652295965255,-0.03722509970267026,0.00017674998492778204,-0.15189815161675146,0.2476251189224323
32,2024-12-30,purged_validation,purged_validation_linear_rank_to_return,11916,0.013898934720284913,-0.03776108035267428,0.0005499442062689708,-0.15624175764981452,0.30156861002488483
33,2025-01-30,purged_validation,purged_validation_linear_rank_to_return,11673,-0.014397430251011091,0.06182904908099791,0.0018196610602947416,-0.1466431245349702,0.28651201704152507
34,2025-02-27,purged_validation,purged_validation_linear_rank_to_return,11673,-0.05757285306266322,0.1179396825512421,0.004847570996783124,-0.1599584451133689,0.2441049635275059
35,2025-03-28,purged_validation,purged_validation_linear_rank_to_return,10943,-0.026078052228157688,0.11495315633348945,0.00454905579750442,-0.13719462628385604,0.31967270299350686
36,2025-04-29,purged_validation,purged_validation_linear_rank_to_return,10974,-0.056009004811656556,0.12399495293501747,0.0028380861460943763,-0.22298293115097376,0.3042045680596747
37,2025-05-30,purged_validation,purged_validation_linear_rank_to_return,11348,-0.1859497232658277,0.2635286260437938,0.013946597489643109,-0.3023931772324706,0.2751745084014892
38,2025-06-27,purged_validation,purged_validation_linear_rank_to_return,11334,-0.08184100877429908,0.2318294278161099,0.008852111159997289,-0.20811474792849075,0.34711581655006646
39,2025-07-30,purged_validation,purged_validation_linear_rank_to_return,11973,-0.08254784056278408,0.2276387565722017,0.006705893766470572,-0.14640087658906623,0.3172937158494573
40,2025-08-29,purged_validation,purged_validation_linear_rank_to_return,11232,0.049443171967653056,0.009974989854793469,2.8031809859885293e-05,-0.11807373942743365,0.4189669392287758
41,2025-09-29,purged_validation,purged_validation_linear_rank_to_return,12010,0.0270881819272585,0.07026253857087665,0.0008303043800829135,-0.12930018124500792,0.529595015576324
42,2025-10-30,purged_validation,purged_validation_linear_rank_to_return,12028,-0.05836927547514544,0.14312818729638405,0.002082729515604953,-0.16044720211745478,0.43724724448051877
43,2025-11-28,purged_validation,purged_validation_linear_rank_to_return,11276,-0.23966971886781344,0.4467447884951247,0.02632081874737191,-0.2206846615593756,0.36078032032481977
