fold,decision_time,signal_mode,selected_xgboost_weight,selected_technical_weight,validation_mean_daily_rank_ic,validation_rank_ic_standard_error,validation_objective,validation_days,validation_positive_ic_ratio,grid,calibration_method,calibration_slope,calibration_r_squared
0,2022-04-29,validation_blend,1.0,0.0,0.18651353322794073,0.028924311607664885,0.17928245532602452,30,0.8,"[{""technical_weight"": 0.75, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": -0.09981683462362151, ""validation_objective"": -0.1082975646933543, ""validation_positive_ic_ratio"": 0.36666666666666664, ""validation_rank_ic_standard_error"": 0.03392292027893118, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.06656471770630841, ""validation_objective"": 0.06008581344936845, ""validation_positive_ic_ratio"": 0.7333333333333333, ""validation_rank_ic_standard_error"": 0.025915617027759855, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.15855219413681423, ""validation_objective"": 0.15163902700886941, ""validation_positive_ic_ratio"": 0.8, ""validation_rank_ic_standard_error"": 0.027652668511779287, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.18651353322794073, ""validation_objective"": 0.17928245532602452, ""validation_positive_ic_ratio"": 0.8, ""validation_rank_ic_standard_error"": 0.028924311607664885, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.062122192702316066,0.023291499529301096
1,2022-05-30,validation_blend,0.25,0.75,0.06811443183982566,0.031160495025560363,0.060324308083435564,32,0.53125,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.06811443183982566, ""validation_objective"": 0.060324308083435564, ""validation_positive_ic_ratio"": 0.53125, ""validation_rank_ic_standard_error"": 0.031160495025560363, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.05262220834489814, ""validation_objective"": 0.04850049963157242, ""validation_positive_ic_ratio"": 0.71875, ""validation_rank_ic_standard_error"": 0.016486834853302882, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.03292911703599913, ""validation_objective"": 0.02997684535388751, ""validation_positive_ic_ratio"": 0.75, ""validation_rank_ic_standard_error"": 0.011809086728446468, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.02117258863830728, ""validation_objective"": 0.017573175936745244, ""validation_positive_ic_ratio"": 0.71875, ""validation_rank_ic_standard_error"": 0.014397650806248151, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.06513558728308658,0.004558806123513559
2,2022-06-29,validation_blend,0.25,0.75,0.22930107150390822,0.017175358789008624,0.22500723180665605,32,1.0,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.22930107150390822, ""validation_objective"": 0.22500723180665605, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.017175358789008624, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.04554730283627478, ""validation_objective"": 0.04210873155361409, ""validation_positive_ic_ratio"": 0.78125, ""validation_rank_ic_standard_error"": 0.01375428513064279, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.08655911955248756, ""validation_objective"": -0.0907716845304602, ""validation_positive_ic_ratio"": 0.25, ""validation_rank_ic_standard_error"": 0.016850259911890517, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.13102783965511838, ""validation_objective"": -0.1356019378863915, ""validation_positive_ic_ratio"": 0.09375, ""validation_rank_ic_standard_error"": 0.018296392925092487, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.14734588584955968,0.03463720276395432
3,2022-07-29,validation_blend,0.25,0.75,0.2605377605975235,0.03428476675211918,0.2519665689094937,30,0.9,"[{""technical_weight"": 0.75, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.2605377605975235, ""validation_objective"": 0.2519665689094937, ""validation_positive_ic_ratio"": 0.9, ""validation_rank_ic_standard_error"": 0.03428476675211918, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.15628352804621043, ""validation_objective"": 0.15106621246364935, ""validation_positive_ic_ratio"": 0.8666666666666667, ""validation_rank_ic_standard_error"": 0.020869262330244304, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.05199393600062565, ""validation_objective"": 0.04683945123416417, ""validation_positive_ic_ratio"": 0.7666666666666667, ""validation_rank_ic_standard_error"": 0.02061793906584592, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": -0.0005711010028630202, ""validation_objective"": -0.0061195647092951826, ""validation_positive_ic_ratio"": 0.4666666666666667, ""validation_rank_ic_standard_error"": 0.02219385482572865, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.1598991123685288,0.05415412854699342
4,2022-08-30,validation_blend,1.0,0.0,-0.09510348333942668,0.04002001664924584,-0.10510848750173815,32,0.40625,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.1763925983212731, ""validation_objective"": -0.1944840333562003, ""validation_positive_ic_ratio"": 0.375, ""validation_rank_ic_standard_error"": 0.07236574013970877, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.14198852850684346, ""validation_objective"": -0.15720384627559286, ""validation_positive_ic_ratio"": 0.375, ""validation_rank_ic_standard_error"": 0.06086127107499764, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.11687661429758614, ""validation_objective"": -0.1289896615491148, ""validation_positive_ic_ratio"": 0.40625, ""validation_rank_ic_standard_error"": 0.0484521890061146, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.09510348333942668, ""validation_objective"": -0.10510848750173815, ""validation_positive_ic_ratio"": 0.40625, ""validation_rank_ic_standard_error"": 0.04002001664924584, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,-0.035426735282028665,0.005443316703026446
5,2022-09-29,validation_blend,1.0,0.0,-0.17610826550334413,0.030263973056776777,-0.18367425876753832,32,0.25,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.2875701739679366, ""validation_objective"": -0.2969459595455284, ""validation_positive_ic_ratio"": 0.1875, ""validation_rank_ic_standard_error"": 0.037503142310367166, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.2635139203996828, ""validation_objective"": -0.27319870578315075, ""validation_positive_ic_ratio"": 0.21875, ""validation_rank_ic_standard_error"": 0.038739141533871806, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.21719031931261887, ""validation_objective"": -0.22588642140558998, ""validation_positive_ic_ratio"": 0.21875, ""validation_rank_ic_standard_error"": 0.03478440837188448, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.17610826550334413, ""validation_objective"": -0.18367425876753832, ""validation_positive_ic_ratio"": 0.25, ""validation_rank_ic_standard_error"": 0.030263973056776777, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,-0.06426349988918313,0.03467198736112487
6,2022-10-28,validation_blend,0.75,0.25,0.21908584856058655,0.024346480473788297,0.21299922844213948,31,0.9354838709677419,"[{""technical_weight"": 0.75, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.11405344140353021, ""validation_objective"": 0.10789362846721215, ""validation_positive_ic_ratio"": 0.8709677419354839, ""validation_rank_ic_standard_error"": 0.024639251745272286, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.19888571175791087, ""validation_objective"": 0.192418535794624, ""validation_positive_ic_ratio"": 0.9032258064516129, ""validation_rank_ic_standard_error"": 0.025868703853147462, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.21908584856058655, ""validation_objective"": 0.21299922844213948, ""validation_positive_ic_ratio"": 0.9354838709677419, ""validation_rank_ic_standard_error"": 0.024346480473788297, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.21844143311742428, ""validation_objective"": 0.21271756581207193, ""validation_positive_ic_ratio"": 0.9354838709677419, ""validation_rank_ic_standard_error"": 0.02289546922140935, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.07742292869007784,0.03086217974899519
7,2022-11-29,validation_blend,0.5,0.5,0.3094484042012026,0.01731261026972858,0.3051202516337705,32,1.0,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.30375286635810683, ""validation_objective"": 0.29895911756945326, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.019174995154614266, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.3094484042012026, ""validation_objective"": 0.3051202516337705, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.01731261026972858, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.28111555374803276, ""validation_objective"": 0.2766349349599116, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.017922475152484595, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.24152666865833508, ""validation_objective"": 0.23681957841017104, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.01882836099265619, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.16394463571260323,0.08362286540518793
8,2022-12-30,validation_blend,0.5,0.5,0.20753649984914463,0.032914861350177856,0.19930778451160017,31,0.8064516129032258,"[{""technical_weight"": 0.75, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.19171178704682199, ""validation_objective"": 0.17701191286575574, ""validation_positive_ic_ratio"": 0.7419354838709677, ""validation_rank_ic_standard_error"": 0.05879949672426495, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.20753649984914463, ""validation_objective"": 0.19930778451160017, ""validation_positive_ic_ratio"": 0.8064516129032258, ""validation_rank_ic_standard_error"": 0.032914861350177856, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.1847492540850364, ""validation_objective"": 0.18114242691093643, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.0144273086963998, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.14325927221792575, ""validation_objective"": 0.13853024553167723, ""validation_positive_ic_ratio"": 0.9354838709677419, ""validation_rank_ic_standard_error"": 0.018916106744994103, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.13861593464305952,0.031017232608347767
9,2023-01-30,validation_blend,1.0,0.0,0.22753709336105649,0.026430808210513815,0.22092939130842804,32,1.0,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.23200546488093052, ""validation_objective"": -0.2455200548935066, ""validation_positive_ic_ratio"": 0.34375, ""validation_rank_ic_standard_error"": 0.05405836005030429, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.026937650001496026, ""validation_objective"": -0.03356888259156788, ""validation_positive_ic_ratio"": 0.40625, ""validation_rank_ic_standard_error"": 0.02652493036028742, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.16359196308204932, ""validation_objective"": 0.15877868280163066, ""validation_positive_ic_ratio"": 0.96875, ""validation_rank_ic_standard_error"": 0.019253121121674686, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.22753709336105649, ""validation_objective"": 0.22092939130842804, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.026430808210513815, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.11992873261798534,0.05059991724134705
