method,bits,energy,feasibility_rate,runtime_seconds,fold,decision_time,optimality_gap,selected_tickers,bitstring_counts,bitstring_probabilities,parameter_trace,optimal_parameters,seed,shots,backend,expected_energy,penalized_mean_energy,primary_probability,success_probability,best_observed_bits,best_observed_energy,depth_p,two_qubit_gate_estimate,penalty_strength,optimizer,optimizer_budget,optimizer_success,stopping_reason,best_observed_gap,mean_energy,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model
exact,0101101,-0.04450548340937323,1.0,0.0,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']",{},{},[],[],,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0101101,-0.04450548340937323,1.0,0.023838099994463846,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']",{},{},[],[],11.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0101101,-0.04450548340937323,1.0,0.044472899986431,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']",{},{},[],[],23.0,,,,,,,,,,,,,,,,,,,,,
simulated_annealing,0101101,-0.04450548340937323,1.0,0.08086640000692569,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']",{},{},[],[],47.0,,,,,,,,,,,,,,,,,,,,,
penalty_stochastic_baseline,0101101,-0.04450548340937323,0.2744140625,0.012193699978524819,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']",{},{},[],[],11.0,1024.0,classical_stochastic_baseline_not_qaoa_circuit,,,,,,,,,,,,,,,,,,,
penalty_qaoa_ideal_statevector,1101001,-0.04275249952056319,0.728515625,0.2707567999896128,0,2022-04-29 00:00:00,0.03938804287656514,"['GEX', 'PVD', 'SBT', 'KSB']","{""0000000"": 1, ""0000011"": 4, ""0000101"": 1, ""0000110"": 4, ""0000111"": 3, ""0001001"": 5, ""0001010"": 2, ""0001011"": 4, ""0001100"": 5, ""0001101"": 8, ""0001110"": 4, ""0001111"": 21, ""0010000"": 1, ""0010001"": 1, ""0010010"": 4, ""0010011"": 6, ""0010100"": 1, ""0010101"": 4, ""0010110"": 7, ""0010111"": 24, ""0011000"": 1, ""0011001"": 3, ""0011010"": 6, ""0011011"": 28, ""0011100"": 4, ""0011101"": 18, ""0011110"": 25, ""0011111"": 1, ""0100000"": 1, ""0100001"": 3, ""0100010"": 3, ""0100011"": 2, ""0100100"": 1, ""0100101"": 1, ""0100110"": 4, ""0100111"": 22, ""0101000"": 3, ""0101001"": 4, ""0101010"": 5, ""0101011"": 20, ""0101100"": 5, ""0101101"": 24, ""0101110"": 19, ""0101111"": 3, ""0110000"": 2, ""0110001"": 4, ""0110010"": 7, ""0110011"": 24, ""0110100"": 4, ""0110101"": 22, ""0110110"": 27, ""0110111"": 2, ""0111000"": 1, ""0111001"": 26, ""0111010"": 23, ""0111011"": 1, ""0111100"": 19, ""0111101"": 9, ""0111110"": 4, ""0111111"": 3, ""1000010"": 3, ""1000011"": 3, ""1000100"": 5, ""1000101"": 3, ""1000110"": 3, ""1000111"": 17, ""1001000"": 2, ""1001001"": 5, ""1001010"": 2, ""1001011"": 20, ""1001100"": 5, ""1001101"": 21, ""1001110"": 22, ""1001111"": 4, ""1010000"": 3, ""1010001"": 6, ""1010010"": 7, ""1010011"": 24, ""1010100"": 7, ""1010101"": 18, ""1010110"": 19, ""1011000"": 2, ""1011001"": 19, ""1011010"": 29, ""1011011"": 2, ""1011100"": 17, ""1011101"": 1, ""1011110"": 4, ""1011111"": 3, ""1100000"": 1, ""1100001"": 5, ""1100010"": 6, ""1100011"": 27, ""1100100"": 3, ""1100101"": 12, ""1100110"": 24, ""1100111"": 4, ""1101000"": 4, ""1101001"": 13, ""1101010"": 19, ""1101100"": 23, ""1101101"": 2, ""1101110"": 4, ""1101111"": 1, ""1110000"": 6, ""1110001"": 23, ""1110010"": 18, ""1110011"": 2, ""1110100"": 17, ""1110101"": 4, ""1110110"": 2, ""1110111"": 1, ""1111000"": 22, ""1111010"": 2, ""1111011"": 4, ""1111101"": 3, ""1111110"": 2}",{},"[{""start"": 0, ""initial_parameters"": [0.8078304089805352, 3.137055329483761, 1.889662821455866, 0.09012917794007706], ""final_parameters"": [0.7679271314191441, 1.9821434596497782, 2.7171488564704793, 0.0], ""objective_trace"": [3.3899129664446574, 4.258526359472018, 3.575257444879829, 2.2480292601145697, 2.6125211505911166, 1.9756777525040752, 1.9756777525040745, 1.9756777525040745, 2.1663422423404772, 1.7717666776646623, 1.6060366853719699, 1.4711371215672224, 1.6021740851375768, 1.4401167440961085, 1.432790202107647], ""final_expected_energy"": 1.432790202107647, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 1, ""initial_parameters"": [0.9294470011656759, 5.832121861426727, 0.22123276470758535, 0.4076968860601681], ""final_parameters"": [1.439523017288396, 6.245103219275047, 0.7830908604537976, 3.027759935467669], ""objective_trace"": [8.21251764003711, 8.515903619194344, 8.067515443746819, 7.309313523049421, 0.9470773833258195, 6.605524581825274, 5.576350123552501, 7.877282556121762, 5.936183704034107, 5.082265004278666, 2.6116932043728127, 1.4344984180671085, 1.976422939063466, 1.2751633315039053, 2.3643670203493], ""final_expected_energy"": 1.4344984180671085, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 2, ""initial_parameters"": [5.958523404103223, 3.9074098530342853, 1.1592260867346609, 1.606579135616254], ""final_parameters"": [5.968647436837601, 3.8590865439487625, 1.3339485325714298, 1.5061309730841268], ""objective_trace"": [1.2069876993859479, 1.4723712135482752, 1.2723648697069656, 8.72153219347262, 3.6390018839427873, 2.771721159617506, 1.7266752812205772, 1.518739325619326, 1.267353484849143, 2.0106799799079207, 1.1877438598225796, 0.6852024176575047, 0.5585902430645604, 0.6040392512100213, 0.7217168961335223], ""final_expected_energy"": 0.5585902430645604, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}]","[5.968647436837601, 3.8590865439487625, 1.3339485325714298, 1.5061309730841268]",11.0,1024.0,internal_ideal_statevector_full_hilbert,-0.02746490668531866,0.5585902430645604,0.020219149605341873,0.020211177036136115,0101101,-0.04450548340937323,2.0,56.0,1.0,COBYLA_multi_start,45.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
penalty_qaoa_ideal_statevector,1101001,-0.04275249952056319,0.607421875,0.1520940999907907,0,2022-04-29 00:00:00,0.03938804287656514,"['GEX', 'PVD', 'SBT', 'KSB']","{""0000000"": 1, ""0000011"": 1, ""0000100"": 1, ""0000110"": 1, ""0000111"": 8, ""0001000"": 2, ""0001011"": 8, ""0001100"": 1, ""0001101"": 7, ""0001110"": 7, ""0001111"": 8, ""0010000"": 3, ""0010001"": 2, ""0010011"": 8, ""0010101"": 7, ""0010110"": 8, ""0010111"": 23, ""0011000"": 1, ""0011001"": 6, ""0011010"": 8, ""0011011"": 16, ""0011100"": 6, ""0011101"": 20, ""0011110"": 21, ""0011111"": 8, ""0100001"": 1, ""0100010"": 1, ""0100011"": 5, ""0100101"": 6, ""0100110"": 8, ""0100111"": 19, ""0101001"": 11, ""0101010"": 6, ""0101011"": 26, ""0101100"": 4, ""0101101"": 20, ""0101110"": 19, ""0101111"": 7, ""0110001"": 10, ""0110010"": 8, ""0110011"": 15, ""0110100"": 10, ""0110101"": 18, ""0110110"": 16, ""0110111"": 2, ""0111000"": 9, ""0111001"": 11, ""0111010"": 14, ""0111011"": 5, ""0111100"": 19, ""0111101"": 3, ""0111110"": 1, ""1000000"": 2, ""1000001"": 1, ""1000011"": 10, ""1000100"": 1, ""1000101"": 8, ""1000110"": 10, ""1000111"": 22, ""1001001"": 5, ""1001010"": 8, ""1001011"": 16, ""1001100"": 14, ""1001101"": 21, ""1001110"": 20, ""1001111"": 6, ""1010001"": 6, ""1010010"": 6, ""1010011"": 16, ""1010100"": 11, ""1010101"": 21, ""1010110"": 16, ""1010111"": 6, ""1011000"": 13, ""1011001"": 17, ""1011010"": 22, ""1011011"": 7, ""1011100"": 11, ""1011101"": 1, ""1011110"": 3, ""1011111"": 1, ""1100000"": 1, ""1100001"": 14, ""1100010"": 12, ""1100011"": 19, ""1100100"": 8, ""1100101"": 18, ""1100110"": 15, ""1100111"": 4, ""1101000"": 9, ""1101001"": 17, ""1101010"": 23, ""1101011"": 1, ""1101100"": 15, ""1101101"": 4, ""1101110"": 6, ""1110000"": 2, ""1110001"": 16, ""1110010"": 18, ""1110011"": 4, ""1110100"": 17, ""1110101"": 7, ""1110110"": 5, ""1111000"": 17, ""1111001"": 3, ""1111010"": 5, ""1111011"": 1, ""1111100"": 4, ""1111110"": 1, ""1111111"": 1}",{},"[{""start"": 0, ""initial_parameters"": [4.360110136552218, 4.030400868591656, 0.4041477500430434, 0.3572243749466042], ""final_parameters"": [5.33008145643647, 5.033986563332938, 1.3781907167447272, 1.5455184238196205], ""objective_trace"": [9.829849678201281, 9.464039756905844, 8.824033631791393, 5.1837966925951955, 1.1091452413613057, 8.699823405544297, 1.7446967928657424, 1.1575586498105646, 1.2424755896590594, 0.7837289345406757, 0.6932065645930025, 1.1127220973972058, 0.7169013674241203, 0.4791534122798111, 0.4880323847914003], ""final_expected_energy"": 0.4791534122798111, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 1, ""initial_parameters"": [4.105090980161066, 5.362429148508308, 0.6339078464056876, 0.6849257486142074], ""final_parameters"": [6.283185307179586, 6.283185307179586, 0.0, 0.0], ""objective_trace"": [8.134098680802268, 7.294339208674636, 6.82173795159504, 7.369906048395633, 7.416757215604025, 5.044639296739142, 1.9756777525040752, 7.597130049419386, 4.1160537681966005, 1.9756777525040752, 7.010830057149494, 1.9756777525040752, 1.9141253262030833, 1.9759328519896973, 1.9734547562156115], ""final_expected_energy"": 1.9756777525040752, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 2, ""initial_parameters"": [4.502434055785688, 2.957493254843459, 1.3044581669102298, 1.0968801783178772], ""final_parameters"": [4.593496046719763, 2.4195188028121675, 2.790382606051232, 0.15933014776702925], ""objective_trace"": [3.867385682072766, 4.30454596395249, 4.0083769686881965, 2.0627593664792157, 4.8062174265183595, 1.8658831619956078, 2.8841753655988653, 1.788347931652182, 6.368723710514852, 2.129597414844274, 0.8769711968551922, 1.15104868492064, 0.8025881880095465, 1.3705508456118234, 0.7008965152897162], ""final_expected_energy"": 0.7008965152897162, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}]","[5.33008145643647, 5.033986563332938, 1.3781907167447272, 1.5455184238196205]",23.0,1024.0,internal_ideal_statevector_full_hilbert,-0.028721045799932204,0.4791534122798111,0.0182249006494867,0.018220854753856063,0101101,-0.04450548340937323,2.0,56.0,1.0,COBYLA_multi_start,45.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
penalty_qaoa_ideal_statevector,1101001,-0.04275249952056319,0.6279296875,0.14713919998030178,0,2022-04-29 00:00:00,0.03938804287656514,"['GEX', 'PVD', 'SBT', 'KSB']","{""0000000"": 12, ""0000001"": 1, ""0000010"": 2, ""0000011"": 1, ""0000100"": 1, ""0000101"": 1, ""0000111"": 5, ""0001000"": 3, ""0001001"": 1, ""0001011"": 9, ""0001100"": 1, ""0001101"": 5, ""0001110"": 11, ""0001111"": 21, ""0010001"": 3, ""0010010"": 1, ""0010011"": 10, ""0010100"": 1, ""0010101"": 8, ""0010110"": 9, ""0010111"": 16, ""0011000"": 3, ""0011001"": 10, ""0011010"": 8, ""0011011"": 16, ""0011100"": 10, ""0011101"": 14, ""0011110"": 15, ""0100000"": 1, ""0100001"": 2, ""0100010"": 1, ""0100011"": 3, ""0100100"": 2, ""0100101"": 2, ""0100110"": 8, ""0100111"": 22, ""0101000"": 1, ""0101001"": 10, ""0101010"": 10, ""0101011"": 21, ""0101100"": 9, ""0101101"": 17, ""0101110"": 16, ""0110000"": 2, ""0110001"": 6, ""0110010"": 7, ""0110011"": 19, ""0110100"": 10, ""0110101"": 23, ""0110110"": 22, ""0111000"": 9, ""0111001"": 19, ""0111010"": 20, ""0111100"": 14, ""0111111"": 1, ""1000000"": 5, ""1000011"": 9, ""1000101"": 11, ""1000110"": 13, ""1000111"": 12, ""1001001"": 11, ""1001010"": 13, ""1001011"": 20, ""1001100"": 9, ""1001101"": 17, ""1001110"": 14, ""1010000"": 2, ""1010001"": 8, ""1010010"": 11, ""1010011"": 11, ""1010100"": 10, ""1010101"": 20, ""1010110"": 15, ""1011000"": 6, ""1011001"": 23, ""1011010"": 15, ""1011100"": 25, ""1011111"": 1, ""1100001"": 4, ""1100010"": 15, ""1100011"": 16, ""1100100"": 11, ""1100101"": 17, ""1100110"": 19, ""1100111"": 1, ""1101000"": 12, ""1101001"": 27, ""1101010"": 15, ""1101100"": 20, ""1101101"": 1, ""1101111"": 4, ""1110000"": 9, ""1110001"": 16, ""1110010"": 26, ""1110100"": 23, ""1110111"": 3, ""1111000"": 17, ""1111011"": 2, ""1111100"": 1, ""1111101"": 4, ""1111111"": 5}",{},"[{""start"": 0, ""initial_parameters"": [4.660879393574647, 4.735440838205339, 1.4614077614946912, 0.325861791135201], ""final_parameters"": [5.767393369559197, 4.785984508974475, 1.4696177000776387, 1.4595507288494156], ""objective_trace"": [5.304554376553841, 5.015319886472518, 5.032640904374043, 5.813333585814572, 1.3057936692288517, 4.9738060192990385, 3.8530745686943773, 1.0994841634112218, 1.9253392682926511, 1.1517253229885496, 1.5830211063121824, 1.2824711903681396, 0.7502148846594356, 0.7713247336545919, 0.8198501193716045], ""final_expected_energy"": 0.7502148846594356, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 1, ""initial_parameters"": [6.074909337044454, 2.015333703421836, 0.6293601295900554, 2.6947299673181626], ""final_parameters"": [6.280463562068938, 2.917480151155362, 1.699808578249457, 2.798215033704089], ""objective_trace"": [3.3004081814443764, 4.01050938323858, 3.0806355158568968, 2.668069804748421, 7.982919354772363, 5.70565659173762, 3.7487461516445384, 2.7137867688612043, 1.9953246300203782, 3.3503454773298165, 1.952243858381399, 2.0642974420450337, 1.685493451162005, 1.7041798674669306, 1.714136952243511], ""final_expected_energy"": 1.685493451162005, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 2, ""initial_parameters"": [3.2241919768033944, 1.12619847870723, 2.357654000618004, 2.49121455004384], ""final_parameters"": [3.0991062469356923, 2.1880106977969844, 2.26587641624258, 2.4573822522434163], ""objective_trace"": [1.6497852284207224, 1.8453737576512244, 1.0135131278211515, 2.4077171409844196, 2.751008233570194, 6.1084813658047885, 3.112769306167451, 1.009471511910412, 1.922019502401995, 0.9963612717831549, 1.0265591931268525, 1.183718158114044, 0.9418773655965885, 1.4202832526198987, 0.957661646409912], ""final_expected_energy"": 0.9418773655965885, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}]","[5.767393369559197, 4.785984508974475, 1.4696177000776387, 1.4595507288494156]",47.0,1024.0,internal_ideal_statevector_full_hilbert,-0.029743984068859336,0.7502148846594356,0.01779805971594716,0.017789963200148043,0101101,-0.04450548340937323,2.0,56.0,1.0,COBYLA_multi_start,45.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,,,,,
xy_qaoa_dicke_ideal_statevector,1101001,-0.04275249952056319,1.0,0.16739899999811314,0,2022-04-29 00:00:00,0.03938804287656514,"['GEX', 'PVD', 'SBT', 'KSB']","{""1110001"": 56, ""1010101"": 41, ""0111100"": 57, ""1111000"": 72, ""0011101"": 70, ""1110100"": 48, ""1011100"": 73, ""1001110"": 7, ""0111001"": 53, ""1101001"": 92, ""0101101"": 60, ""1001101"": 49, ""0010111"": 6, ""1101100"": 33, ""1100011"": 12, ""0101011"": 26, ""0011110"": 20, ""1011001"": 28, ""1100101"": 54, ""0001111"": 9, ""0110101"": 46, ""0011011"": 8, ""0111010"": 24, ""0110011"": 11, ""1110010"": 9, ""0100111"": 9, ""1001011"": 5, ""1010110"": 8, ""1101010"": 6, ""0101110"": 6, ""1010011"": 3, ""1000111"": 12, ""0110110"": 7, ""1011010"": 2, ""1100110"": 2}","{""1111000"": 0.06750742317961683, ""1110100"": 0.04515983523646965, ""1110010"": 0.007004364270623284, ""1110001"": 0.04444206848898956, ""1101100"": 0.04108428960013114, ""1101010"": 0.009729644390702896, ""1101001"": 0.08399116053767128, ""1100110"": 0.0029576040089375347, ""1100101"": 0.04861313369796749, ""1100011"": 0.007964592363341206, ""1011100"": 0.06269192244781664, ""1011010"": 0.004196121644867978, ""1011001"": 0.024022519267483673, ""1010110"": 0.009187906212666876, ""1010101"": 0.04620183940161005, ""1010011"": 0.006083282175028962, ""1001110"": 0.0041462588080674635, ""1001101"": 0.04828844548690433, ""1001011"": 0.003789570214663432, ""1000111"": 0.010679487134635363, ""0111100"": 0.04766406227545594, ""0111010"": 0.02811069756793996, ""0111001"": 0.05325664096849502, ""0110110"": 0.00704287231355921, ""0110101"": 0.041767671091157074, ""0110011"": 0.009147521804777079, ""0101110"": 0.011197040408073344, ""0101101"": 0.06956705230872143, ""0101011"": 0.027148624470575988, ""0100111"": 0.006423455183538692, ""0011110"": 0.020695265811253014, ""0011101"": 0.0731561821093858, ""0011011"": 0.0072492901266321035, ""0010111"": 0.008009000252656646, ""0001111"": 0.01182315473958316}","[{""start"": 0, ""initial_parameters"": [0.8078304089805352, 3.137055329483761, 1.889662821455866, 0.09012917794007706], ""final_parameters"": [0.2757730749328426, 3.123272124158531, 1.373621439287322, 1.4945308824691401], ""objective_trace"": [-0.020160886587083784, -0.019427670211447548, -0.020144072160374445, -0.019553734214925428, -0.020979378397558403, -0.029974015631946294, -0.029125623407385625, -0.022634864341091, -0.029843575310997975, -0.025831946001629004, -0.022195683647951703, -0.025025583638173917, -0.03530369963892258, -0.023450141881779324, -0.03536423000113805], ""final_expected_energy"": -0.03536423000113805, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 1, ""initial_parameters"": [0.9294470011656759, 5.832121861426727, 0.22123276470758535, 0.4076968860601681], ""final_parameters"": [2.725985937803529, 5.676558499298401, 0.11427818602841636, 2.1239328345265927], ""objective_trace"": [-0.027829823380282354, -0.030429158547280594, -0.030106445382270575, -0.028634409951309413, -0.03261046778065712, -0.0328472111481925, -0.024194491712088095, -0.024695879484415456, -0.02833838101592245, -0.02627434362458404, -0.027551692338195096, -0.03318807717574396, -0.033130186747818126, -0.032601675614777816, -0.03355271960883286], ""final_expected_energy"": -0.03355271960883286, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 2, ""initial_parameters"": [5.958523404103223, 3.9074098530342853, 1.1592260867346609, 1.606579135616254], ""final_parameters"": [6.011393218718522, 3.8437189280149213, 1.2396523637321306, 1.5336215162510132], ""objective_trace"": [-0.030050294676853946, -0.03105332119230143, -0.033208245566303286, -0.027171424749187986, -0.029475899218996304, -0.029567274156085822, -0.026240166398930672, -0.030932878076523382, -0.028801279651056493, -0.031205627702934415, -0.03072604724111911, -0.031221996974837192, -0.0308215246887142, -0.03105679147392116, -0.03125629241952316], ""final_expected_energy"": -0.03125629241952316, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}]","[0.2757730749328426, 3.123272124158531, 1.373621439287322, 1.4945308824691401]",11.0,1024.0,internal_ideal_statevector_fixed_weight,-0.03536423000113803,,0.08399116053767128,0.06956705230872143,0101101,-0.04450548340937323,2.0,42.0,,COBYLA_multi_start,45.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,-0.03536423000113803,0.0,0.0,0.0,ideal
xy_qaoa_dicke_ideal_statevector,0101101,-0.04450548340937323,1.0,0.14105939998989925,0,2022-04-29 00:00:00,0.0,"['PVD', 'SBT', 'SZC', 'KSB']","{""0101101"": 164, ""1101010"": 20, ""1101100"": 43, ""0011110"": 43, ""1101001"": 75, ""1100101"": 12, ""0111001"": 123, ""0111100"": 96, ""1110010"": 22, ""1001101"": 19, ""0101110"": 11, ""1111000"": 38, ""0011101"": 60, ""0100111"": 25, ""1011010"": 6, ""1011100"": 22, ""0010111"": 33, ""0101011"": 31, ""0001111"": 18, ""0110101"": 28, ""1011001"": 23, ""1010011"": 14, ""0111010"": 12, ""1010110"": 6, ""0011011"": 8, ""0110110"": 31, ""0110011"": 16, ""1110100"": 5, ""1000111"": 4, ""1100011"": 7, ""1100110"": 5, ""1110001"": 4}","{""1111000"": 0.04466419423361259, ""1110100"": 0.009330091244194963, ""1110010"": 0.0206786899603009, ""1110001"": 0.006103929667711114, ""1101100"": 0.03949680317970936, ""1101010"": 0.020606278729657847, ""1101001"": 0.07037527094585698, ""1100110"": 0.005933970208265966, ""1100101"": 0.00998227071097491, ""1100011"": 0.005113234862876354, ""1011100"": 0.01968859404099044, ""1011010"": 0.0036500212055250447, ""1011001"": 0.02430799044045933, ""1010110"": 0.0019824041014990445, ""1010101"": 0.0016657788984333775, ""1010011"": 0.01082406067498243, ""1001110"": 8.723054296402012e-05, ""1001101"": 0.015485264784173027, ""1001011"": 0.0003227152710283868, ""1000111"": 0.002933162129336535, ""0111100"": 0.10684349190715874, ""0111010"": 0.015011945127194323, ""0111001"": 0.11573008567422494, ""0110110"": 0.02512250292295421, ""0110101"": 0.03046563368131368, ""0110011"": 0.016787491183546676, ""0101110"": 0.006854667952668361, ""0101101"": 0.14568875165514936, ""0101011"": 0.032723153905672014, ""0100111"": 0.023685042638911757, ""0011110"": 0.04462192872852661, ""0011101"": 0.06866550638550142, ""0011011"": 0.008599359291589654, ""0010111"": 0.027008191743193622, ""0001111"": 0.01896029136984201}","[{""start"": 0, ""initial_parameters"": [4.360110136552218, 4.030400868591656, 0.4041477500430434, 0.3572243749466042], ""final_parameters"": [5.480809825441659, 3.7378790927298096, 0.29387264963317916, 0.4441685247946114], ""objective_trace"": [-0.030432306059769, -0.03168420112198394, -0.029879343582406077, -0.028363973775989693, -0.02943643637077578, -0.027796854281056584, -0.028353335473522246, -0.03182004356703416, -0.03292008403889146, -0.024672191901156344, -0.0314164657080309, -0.03350830285049957, -0.03522938717869502, -0.03488041782437114, -0.03508356960586729], ""final_expected_energy"": -0.03522938717869502, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 1, ""initial_parameters"": [4.105090980161066, 5.362429148508308, 0.6339078464056876, 0.6849257486142074], ""final_parameters"": [4.084405930303208, 5.171780513852482, 1.328515097071028, 1.5052083798498077], ""objective_trace"": [-0.027594392416345134, -0.025051658626182038, -0.02735659574690279, -0.0290142102647027, -0.029533298525927766, -0.02582422170047471, -0.025186620653763488, -0.03027967935298896, -0.03189325630605177, -0.030982367019477246, -0.029563253866457088, -0.03526597659526892, -0.035782691759895964, -0.03550659727200185, -0.03577158030004567], ""final_expected_energy"": -0.035782691759895964, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}, {""start"": 2, ""initial_parameters"": [4.502434055785688, 2.957493254843459, 1.3044581669102298, 1.0968801783178772], ""final_parameters"": [5.565429872895555, 3.4065643005551633, 2.215665269491779, 0.9813252957745389], ""objective_trace"": [-0.028249672845407546, -0.02946580956654867, -0.025990934781474545, -0.031189400442158784, -0.025628678801595032, -0.024600612122011728, -0.03225637576580709, -0.030322061344284917, -0.03203233875364502, -0.030358736166046483, -0.03264407611964099, -0.03316316534314773, -0.032853718942991474, -0.030848068344006142, -0.033179095353822595], ""final_expected_energy"": -0.033179095353822595, ""success"": false, ""stopping_reason"": ""Return from COBYLA because the objective function has been evaluated MAXFUN times."", ""evaluations"": 15}]","[4.084405930303208, 5.171780513852482, 1.328515097071028, 1.5052083798498077]",23.0,1024.0,internal_ideal_statevector_fixed_weight,-0.0357826917598959,,0.14568875165514936,0.14568875165514936,0101101,-0.04450548340937323,2.0,42.0,,COBYLA_multi_start,45.0,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.0,-0.0357826917598959,0.0,0.0,0.0,ideal
