ticker,observed_rows,complete_rows,minimum_required,leading_calendar_gap_days,trailing_calendar_gap_days,maximum_internal_calendar_gap_days,maximum_allowed_calendar_gap_days,reason
ABS,1399,1399,40,103,0,3,5,unexplained_leading_calendar_gap
AFX,17,17,40,1,0,0,5,fewer_than_minimum_complete_observations
AGF,26,26,40,0,1,5,5,fewer_than_minimum_complete_observations
AGM,1203,1203,40,0,1,133,5,unexplained_internal_calendar_gap
AMD,793,793,40,0,87,5,5,unexplained_trailing_calendar_gap
APC,1073,1073,40,0,0,12,5,unexplained_internal_calendar_gap
ATG,195,195,40,0,142,5,5,unexplained_trailing_calendar_gap
BCM,1242,1242,40,141,0,3,5,unexplained_leading_calendar_gap
CAV,987,987,40,0,2,9,5,unexplained_internal_calendar_gap
CCC,163,163,40,20,0,0,5,unexplained_leading_calendar_gap
CEE,546,546,40,0,1,8,5,unexplained_internal_calendar_gap
CLG,245,245,40,0,87,5,5,unexplained_trailing_calendar_gap
CRV,52,52,40,7,0,0,5,unexplained_leading_calendar_gap
DAG,1153,1153,40,0,49,5,5,unexplained_trailing_calendar_gap
DC4,1252,1252,40,105,0,0,5,unexplained_leading_calendar_gap
EMC,468,468,40,0,1,35,5,unexplained_internal_calendar_gap
FLC,670,670,40,0,117,5,5,unexplained_trailing_calendar_gap
GAB,556,556,40,0,335,5,5,unexplained_trailing_calendar_gap
GMC,1193,1193,40,0,1,10,5,unexplained_internal_calendar_gap
HAI,670,670,40,0,158,5,5,unexplained_trailing_calendar_gap
HOT,432,432,40,28,1,33,5,unexplained_leading_calendar_gap
HTT,92,92,40,0,20,6,5,unexplained_trailing_calendar_gap
HU3,662,662,40,0,2,12,5,unexplained_internal_calendar_gap
HVG,88,88,40,0,59,5,5,unexplained_trailing_calendar_gap
IBC,925,925,40,0,58,5,5,unexplained_trailing_calendar_gap
ITA,1181,1181,40,0,94,5,5,unexplained_trailing_calendar_gap
KHG,1117,1117,40,36,0,3,5,unexplained_leading_calendar_gap
KPF,1203,1203,40,0,87,16,5,unexplained_trailing_calendar_gap
LEC,1055,1055,40,0,162,6,5,unexplained_trailing_calendar_gap
MCH,3,3,40,2,0,0,5,fewer_than_minimum_complete_observations
NO1,769,769,40,39,0,0,5,unexplained_leading_calendar_gap
PDV,27,27,40,4,0,0,5,fewer_than_minimum_complete_observations
PSH,1178,1178,40,0,76,5,5,unexplained_trailing_calendar_gap
PXT,346,346,40,0,1,6,5,unexplained_internal_calendar_gap
RDP,1206,1206,40,0,106,6,5,unexplained_trailing_calendar_gap
RIC,543,543,40,0,1,6,5,unexplained_internal_calendar_gap
ROS,34,34,40,636,20,5,5,fewer_than_minimum_complete_observations
RYG,207,207,40,67,0,1,5,unexplained_leading_calendar_gap
SCD,878,878,40,0,2,12,5,unexplained_internal_calendar_gap
SII,638,638,40,1,1,8,5,unexplained_internal_calendar_gap
SJF,965,965,40,0,255,5,5,unexplained_trailing_calendar_gap
TAL,100,100,40,9,0,0,5,unexplained_leading_calendar_gap
TGG,925,925,40,0,66,5,5,unexplained_trailing_calendar_gap
THI,664,664,40,0,1,6,5,unexplained_internal_calendar_gap
TNA,1173,1173,40,0,47,5,5,unexplained_trailing_calendar_gap
TS4,360,360,40,0,59,5,5,unexplained_trailing_calendar_gap
TTB,876,876,40,0,132,5,5,unexplained_trailing_calendar_gap
VCK,8,8,40,4,0,0,5,fewer_than_minimum_complete_observations
VPK,0,0,40,8,8,8,5,no_price_observations_in_requested_period
VPX,8,8,40,7,0,0,5,fewer_than_minimum_complete_observations
VVS,8,8,40,8,0,0,5,fewer_than_minimum_complete_observations
