ticker,year,source,data_class,records,start,end,missing_close
AAA,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
AAA,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
AAA,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AAA,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AAA,2024,finance_datareader_yahoo_hose,real,254,2024-01-01,2024-12-31,0
AAA,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
AAM,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
AAM,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
AAM,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AAM,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AAM,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
AAM,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
AAT,2021,finance_datareader_yahoo_hose,real,201,2021-03-25,2021-12-31,0
AAT,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AAT,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AAT,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
AAT,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ABR,2022,finance_datareader_yahoo_hose,real,216,2022-03-04,2022-12-30,0
ABR,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ABR,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
ABR,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ABT,2020,finance_datareader_yahoo_hose,real,261,2020-01-02,2020-12-31,0
ABT,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
ABT,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ABT,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ABT,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
ABT,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ACB,2020,finance_datareader_yahoo_hose,real,16,2020-12-10,2020-12-31,0
ACB,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
ACB,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ACB,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ACB,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
ACB,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ACC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
ACC,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
ACC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ACC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ACC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
