ticker,event_type,record_date,ex_date,reason,source_url,corroboration_url
AAA,STOCK_DIVIDEND,2020-10-20,2020-10-19,material event terms incomplete,https://www.vsd.vn/vi/ad/75396,https://cafef.vn/du-lieu/aaa/thong-tin-chung.chn
ABR,CASH_DIVIDEND,2024-10-31,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/176004,
ABS,CASH_DIVIDEND,2020-06-11,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/68770,
ABT,CASH_DIVIDEND,2025-03-18,2025-03-17,material event terms incomplete,https://www.vsd.vn/vi/ad/179631,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn
ABT,CASH_DIVIDEND,2023-03-15,2023-03-14,material event terms incomplete,https://www.vsd.vn/vi/ad/156864,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn
ABT,CASH_DIVIDEND,2022-01-20,2022-01-19,material event terms incomplete,https://www.vsd.vn/vi/ad/146966,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn
ABT,CASH_DIVIDEND,2021-01-25,2021-01-22,material event terms incomplete,https://www.vsd.vn/vi/ad/77600,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn
ABT,CASH_DIVIDEND,2020-03-20,2020-03-19,material event terms incomplete,https://www.vsd.vn/vi/ad/64773,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn
ACB,BONUS_SHARE,2025-05-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/182839,
ACB,BONUS_SHARE,2024-06-03,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/171314,
ACB,BONUS_SHARE,2023-06-02,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/159023,
ACB,BONUS_SHARE,2022-06-03,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/150949,
ACB,BONUS_SHARE,2021-06-11,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/142250,
ACB,BONUS_SHARE,2020-08-21,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/71114,
ACC,RIGHTS_ISSUE,2022-01-07,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/146896,
ACC,RIGHTS_ISSUE,2020-11-17,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/76056,
ACG,CASH_DIVIDEND,2024-11-07,2024-11-06,material event terms incomplete,https://www.vsd.vn/vi/ad/176161,https://cafef.vn/du-lieu/acg/thong-tin-chung.chn
ACG,STOCK_DIVIDEND,2023-07-19,2023-07-19,material event terms incomplete,https://www.vsd.vn/vi/ad/159936,https://cafef.vn/du-lieu/acg/thong-tin-chung.chn
ACG,CASH_DIVIDEND,2022-10-17,2022-10-14,material event terms incomplete,https://www.vsd.vn/vi/ad/153676,https://cafef.vn/du-lieu/acg/thong-tin-chung.chn
ACL,CASH_DIVIDEND,2021-12-24,2021-12-23,material event terms incomplete,https://www.vsd.vn/vi/ad/146252,https://cafef.vn/du-lieu/acl/thong-tin-chung.chn
ADS,RIGHTS_ISSUE,2021-10-21,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/145194,
AGG,STOCK_DIVIDEND,2024-08-08,2024-08-07,material event terms incomplete,https://www.vsd.vn/vi/ad/173334,https://cafef.vn/du-lieu/agg/thong-tin-chung.chn
AGG,RIGHTS_ISSUE,2022-01-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/148425,
AGG,RIGHTS_ISSUE,2022-01-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/147268,
AGG,STOCK_DIVIDEND,2020-08-28,2020-08-27,material event terms incomplete,https://www.vsd.vn/vi/ad/71094,https://cafef.vn/du-lieu/agg/thong-tin-chung.chn
AGM,CASH_DIVIDEND,2020-07-20,2020-07-17,material event terms incomplete,https://www.vsd.vn/vi/ad/69830,https://cafef.vn/du-lieu/agm/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2024-10-14,2024-10-11,material event terms incomplete,https://www.vsd.vn/vi/ad/174794,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2023-10-31,2023-10-30,material event terms incomplete,https://www.vsd.vn/vi/ad/162192,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2022-11-01,2022-10-31,material event terms incomplete,https://www.vsd.vn/vi/ad/153642,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2021-11-26,2021-11-25,material event terms incomplete,https://www.vsd.vn/vi/ad/145632,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2020-12-04,2020-12-03,material event terms incomplete,https://www.vsd.vn/vi/ad/76091,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
ANV,CASH_DIVIDEND,2020-04-20,2020-04-17,material event terms incomplete,https://www.vsd.vn/vi/ad/66382,https://cafef.vn/du-lieu/anv/thong-tin-chung.chn
APG,RIGHTS_ISSUE,2021-12-03,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/146172,
APG,RIGHTS_ISSUE,2021-06-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/142534,
APH,RIGHTS_ISSUE,2021-03-04,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/138990,
ASG,RIGHTS_ISSUE,2024-01-25,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/166645,
ASG,CASH_DIVIDEND,2020-02-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/62866,
ASG,RIGHTS_ISSUE,2020-02-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/62866,
BAF,RIGHTS_ISSUE,2024-05-20,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/170778,
BCE,CASH_DIVIDEND,2022-10-12,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/153572,
BCE,CASH_DIVIDEND,2021-07-16,2021-07-15,material event terms incomplete,https://www.vsd.vn/vi/ad/142918,https://cafef.vn/du-lieu/bce/thong-tin-chung.chn
BCE,CASH_DIVIDEND,2020-09-04,2020-09-03,material event terms incomplete,https://www.vsd.vn/vi/ad/71466,https://cafef.vn/du-lieu/bce/thong-tin-chung.chn
BFC,CASH_DIVIDEND,2025-06-12,2025-06-11,material event terms incomplete,https://www.vsd.vn/vi/ad/183342,https://cafef.vn/du-lieu/bfc/thong-tin-chung.chn
BFC,CASH_DIVIDEND,2020-11-20,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/76041,
BFC,CASH_DIVIDEND,2020-06-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/68854,
BHN,CASH_DIVIDEND,2021-02-19,2021-02-18,"term conflict official=1380, reference=2830",https://www.vsd.vn/vi/ad/138467,https://cafef.vn/du-lieu/bhn/thong-tin-chung.chn
BIC,CASH_DIVIDEND,2025-09-10,2025-09-09,material event terms incomplete,https://www.vsd.vn/vi/ad/185990,https://cafef.vn/du-lieu/bic/thong-tin-chung.chn
BMC,CASH_DIVIDEND,2025-07-25,2025-07-24,material event terms incomplete,https://www.vsd.vn/vi/ad/184844,https://cafef.vn/du-lieu/bmc/thong-tin-chung.chn
BMC,CASH_DIVIDEND,2022-01-19,2022-01-18,material event terms incomplete,https://www.vsd.vn/vi/ad/147069,https://cafef.vn/du-lieu/bmc/thong-tin-chung.chn
BMC,CASH_DIVIDEND,2020-07-14,2020-07-13,material event terms incomplete,https://www.vsd.vn/vi/ad/69425,https://cafef.vn/du-lieu/bmc/thong-tin-chung.chn
BMI,STOCK_DIVIDEND,2024-10-04,2024-10-03,material event terms incomplete,https://www.vsd.vn/vi/ad/175128,https://cafef.vn/du-lieu/bmi/thong-tin-chung.chn
BMI,STOCK_DIVIDEND,2023-10-13,2023-10-12,material event terms incomplete,https://www.vsd.vn/vi/ad/162297,https://cafef.vn/du-lieu/bmi/thong-tin-chung.chn
BRC,CASH_DIVIDEND,2024-08-06,2024-08-05,material event terms incomplete,https://www.vsd.vn/vi/ad/173195,https://cafef.vn/du-lieu/brc/thong-tin-chung.chn
BSI,STOCK_DIVIDEND,2024-07-10,2024-07-09,material event terms incomplete,https://www.vsd.vn/vi/ad/172116,https://cafef.vn/du-lieu/bsi/thong-tin-chung.chn
BSI,BONUS_SHARE,2023-07-06,2023-07-05,"term conflict official=0.05, reference=0.03",https://www.vsd.vn/vi/ad/159388,https://cafef.vn/du-lieu/bsi/thong-tin-chung.chn
BTT,CASH_DIVIDEND,2020-08-27,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/71211,
BVH,CASH_DIVIDEND,2025-11-17,2025-11-14,"term conflict official=1055.1, reference=1.0551e+06",https://www.vsd.vn/vi/ad/188869,https://cafef.vn/du-lieu/bvh/thong-tin-chung.chn
