ticker,conflict,reference_only_unverified,unresolved_ex_date,verified_cross_source
AAA,1,1,0,3
AAM,0,0,0,2
AAT,0,1,0,4
ABR,0,0,1,3
ABS,0,0,1,3
ABT,5,0,0,3
ACB,0,0,6,9
ACC,0,0,2,3
ACG,3,3,0,4
ACL,1,0,0,2
ADG,0,2,0,3
ADP,0,19,0,3
ADS,0,1,1,6
AGG,2,0,1,2
AGM,1,0,0,0
AGR,0,1,0,3
ANT,0,3,0,0
ANV,6,1,0,1
APG,0,0,2,1
APH,0,1,1,0
ASG,0,1,3,0
ASM,0,0,0,4
ASP,0,0,0,3
AST,0,0,0,5
BAF,0,1,1,2
BCE,2,0,1,1
BCM,0,0,0,6
BFC,1,0,2,7
BHN,1,0,0,4
BIC,1,1,0,5
BID,0,3,0,3
BKG,0,0,0,2
BMC,3,1,0,3
BMI,2,1,0,7
BMP,0,0,0,14
BRC,1,0,0,4
BSI,2,4,0,4
BSR,0,4,0,1
BTP,0,0,0,8
BTT,0,0,1,5
BVB,0,2,0,0
BVH,4,0,0,2
BWE,0,0,0,5
C21,0,5,0,0
C32,3,1,0,3
C47,3,3,1,1
CAV,0,1,0,12
CCC,0,1,0,2
CCI,0,0,0,6
CCL,0,0,0,5
CDC,0,2,1,1
CHP,0,1,0,10
CII,1,5,3,6
CKG,2,0,2,3
CLC,0,0,0,11
CLL,0,0,0,6
CLW,0,0,0,9
CMG,2,0,0,6
CMT,0,1,0,0
CMV,0,3,1,3
CMX,0,2,2,0
CNG,0,1,1,7
COM,1,0,2,3
CRC,1,0,2,1
CRE,0,2,2,2
CRV,0,0,9,0
CSM,0,0,0,6
CSV,0,1,2,9
CTD,1,2,0,3
CTF,1,0,1,4
CTG,1,1,1,4
CTI,0,0,0,3
CTR,0,4,0,6
CTS,2,1,0,1
CVT,1,0,0,1
D2D,0,1,1,8
DAG,0,1,1,0
DAT,3,0,0,0
DBC,1,0,2,6
DBD,3,0,1,3
DBT,2,1,0,2
DC4,3,0,1,4
DCM,0,0,0,6
DGC,0,1,1,9
DGW,0,0,0,9
DHA,2,0,0,9
DHC,0,0,0,16
DHG,0,1,1,7
DHM,0,1,0,0
DIG,3,1,1,1
DMC,0,0,0,6
DPG,1,1,0,6
DPM,0,0,10,0
DPR,0,1,1,6
DQC,0,0,0,3
DRC,0,1,1,10
DRH,0,0,1,0
DRL,0,1,1,17
DSC,0,0,1,1
DSE,0,0,0,1
DSN,0,0,0,9
DTT,0,0,2,4
DVP,0,0,1,11
DXG,0,2,2,0
DXS,0,4,0,0
EIB,0,0,0,4
ELC,0,3,2,2
EVE,0,2,0,6
EVF,0,2,1,3
EVG,0,0,2,1
FCM,0,1,1,4
FCN,3,1,0,2
FIR,0,0,6,0
FIT,1,0,1,0
FMC,0,0,1,6
FPT,1,5,0,12
FRT,1,2,0,3
FTS,1,6,2,5
GAB,0,0,0,1
GAS,1,4,0,4
GDT,1,1,0,13
GEE,0,8,0,3
GEG,2,0,10,4
GEX,0,0,1,5
GHC,0,9,0,0
GIL,1,0,3,5
GMC,0,4,0,0
GMD,0,0,1,6
GMH,0,0,1,5
GSP,0,0,1,6
GTA,0,0,0,6
GTN,0,0,3,0
GVR,0,0,0,6
HAH,0,1,0,8
HAP,0,0,1,4
HAS,0,0,1,5
HAX,0,5,2,6
HBC,0,0,0,4
HCD,1,0,0,2
HCM,1,2,1,7
HDB,3,3,2,5
HDC,0,1,3,5
HDG,3,0,1,5
HHP,1,0,0,2
HHS,0,0,4,0
HHV,1,2,2,0
HID,1,0,0,1
HII,0,1,1,2
HMC,2,0,0,4
HNA,0,2,0,2
HOT,0,0,0,1
HPG,0,1,0,7
HPX,0,0,0,3
HRC,0,0,0,1
HSG,0,0,0,6
HSL,1,0,0,2
HT1,0,0,1,5
HTG,0,5,0,5
HTI,0,0,0,8
HTL,0,0,0,9
HTN,1,0,1,2
HTV,0,0,0,6
HU1,0,0,0,2
HU3,0,0,1,2
HUB,1,1,4,7
HVH,0,1,1,5
HVN,0,0,2,0
ICT,0,0,0,8
IDI,1,0,0,1
IJC,0,0,2,7
ILB,0,1,1,6
IMP,2,3,0,6
ITC,0,0,0,5
ITD,2,0,1,2
KBC,0,1,0,0
KDC,0,2,2,6
KDH,2,0,0,5
KHA,0,1,0,0
KHG,0,1,0,1
KHP,0,2,2,8
KLB,0,2,0,0
KOS,0,0,1,1
KPF,1,0,1,1
KSB,0,0,1,2
L10,0,0,0,6
LAF,2,0,0,1
LBM,0,2,1,12
LCG,0,0,1,7
LDG,1,0,0,0
LGC,1,0,1,5
LHG,2,0,1,4
LIX,0,3,1,9
LM8,0,0,0,6
LPB,2,0,3,5
LSS,2,0,0,2
MBB,0,1,0,9
MCH,0,6,0,0
MCM,0,5,0,3
MCP,0,1,0,5
MDG,0,0,0,4
MHC,0,0,0,2
MIG,0,0,1,8
MPC,0,8,0,0
MSB,0,1,2,3
MSH,0,1,1,6
MSN,0,1,0,4
MTG,0,1,0,0
MWG,2,1,0,5
MZG,0,1,0,0
NAB,0,5,0,0
NAF,0,0,0,2
NAV,6,0,1,8
NBB,0,0,0,2
NCT,0,0,0,12
NHA,1,1,2,1
NHH,0,0,3,5
NHT,3,4,0,1
NKG,1,2,1,3
NLG,0,0,13,0
NNC,1,0,0,4
NO1,0,0,0,3
NSC,1,2,0,8
NT2,0,1,1,9
NTC,0,10,0,0
NTL,0,1,0,10
NVL,0,6,1,1
OCB,1,2,0,2
OPC,0,2,0,7
ORS,0,0,1,1
PAC,0,1,2,10
PAN,0,0,0,4
PC1,0,1,0,5
PDN,0,2,1,11
PDR,0,0,1,6
PDV,1,4,0,0
PET,0,0,0,4
PGC,0,0,0,8
PGD,0,1,0,6
PGI,0,1,0,9
PGV,1,2,0,4
