decision_date,security_id,ticker,eligible,eligibility_reason,prior_observations,median_trading_value_prior_window,listing_date,delisting_date,security_available_at,suspension_check,source,source_url
2020-01-31,VN000000AAA4,AAA,False,insufficient_prior_history,21,15161765666.791992,2016-11-25,,2016-06-23,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000AAM9,AAM,False,insufficient_prior_history|no_positive_prior_trading_value,21,0.0,2009-09-24,,2009-07-13,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000AAN7,AAN,False,not_yet_listed|identity_not_available|insufficient_prior_history|no_positive_prior_trading_value,0,,2026-05-22,,2026-02-12,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000AAT4,AAT,False,not_yet_listed|identity_not_available|insufficient_prior_history|no_positive_prior_trading_value,0,,2021-03-24,,2020-06-01,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ABR6,ABR,False,not_yet_listed|identity_not_available|insufficient_prior_history|no_positive_prior_trading_value,0,,2022-03-03,,2021-05-07,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ABS4,ABS,False,not_yet_listed|insufficient_prior_history|no_positive_prior_trading_value,0,,2020-03-18,,2019-04-23,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ABT2,ABT,False,insufficient_prior_history|no_positive_prior_trading_value,21,0.0,2006-12-25,,2006-12-06,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ACB8,ACB,False,not_yet_listed|identity_not_available|insufficient_prior_history|no_positive_prior_trading_value,0,,2020-12-09,,2020-10-14,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ACC6,ACC,False,insufficient_prior_history,21,188148.69140625,2011-06-30,,2011-06-17,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ACG7,ACG,False,not_yet_listed|identity_not_available|insufficient_prior_history|no_positive_prior_trading_value,0,,2022-10-10,,2022-05-31,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
2020-01-31,VN000000ACL7,ACL,False,insufficient_prior_history,21,19888000.0,2007-09-05,,2007-08-23,unknown_not_filtered,hose_official_listing_service,https://www.hsx.vn/vi/quan-ly-niem-yet/co-phieu
