date,ticker,raw_open,raw_high,raw_low,raw_close,source_adjusted_close,volume,trading_value,source,source_url,fetched_at,available_at,raw_checksum,parser_version,data_class,security_id,adjustment_policy,price_return,source_adjusted_return,total_return,adjustment_known_at,adjustment_source,research_adjusted_close,research_adjusted_open,research_adjusted_high,research_adjusted_low,adjustment_factor,adjustment_version,research_adjustment_status,matched_verified_event
2020-09-15,AAA,10562.7705078125,10735.9306640625,10562.7705078125,10692.640625,9534.87109375,3083642.0,32972275722.15625,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:41:53.600193+00:00,2020-09-16,86cfefe71ec9be143ccf6cf77bb2d691fad3aa2d4739922db9d9dc6f40adb1f2,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAA4,,-0.019841268065114437,0.02066105983203337,-0.019841268065114437,,no_event_raw_close,11182.719990967438,11046.897493360404,11227.994156836448,11046.897493360404,1.0458333337063255,corporate-actions-v2,blocked_unresolved_material_event,False
2021-09-02,AAA,16000.0,16400.0,16000.0,16200.0,14907.8408203125,10066400.0,163075680000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:41:53.600193+00:00,2021-09-03,86cfefe71ec9be143ccf6cf77bb2d691fad3aa2d4739922db9d9dc6f40adb1f2,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAA4,,0.003943684065662145,0.03604648463857152,0.003943684065662145,,no_event_raw_close,17467.478891022383,17251.8310034789,17683.12677856587,17251.8310034789,1.0782394377174311,corporate-actions-v2,blocked_unresolved_material_event,False
2025-06-02,AAA,7630.0,7630.0,7480.0,7550.0,7234.10009765625,2235200.0,16875760000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:41:53.600193+00:00,2025-06-03,4a17f1101a856001f97bc91727980b5acc9c877620bfaeff22620a2cf3374292,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAA4,,-0.00395778364116095,0.037087870356849795,-0.00395778364116095,,no_event_raw_close,8462.899354559473,8552.572460303149,8552.572460303149,8384.435387033756,1.1209138217959567,corporate-actions-v2,blocked_unresolved_material_event,False
2020-02-27,AAM,11000.0,12000.0,11000.0,12000.0,11285.1064453125,30.0,360000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:57:14.737500+00:00,2020-02-28,52864ccf9bf667c950a571eb36608b8426df4b48cd724f3a757b9086c20b1d34,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAM9,,0.02127659574468077,0.06666668512757679,0.02127659574468077,,no_event_raw_close,12510.63829787234,11468.085106382978,12510.638297872338,11468.085106382978,1.0425531914893615,corporate-actions-v2,candidate_no_known_unresolved_event,False
2023-04-03,AAM,11600.0,11600.0,11000.0,11500.0,11500.0,7400.0,85100000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:57:14.737500+00:00,2023-04-04,23691bc47073ef7e8d91f415bc045aa1b21128c8084cc60e5df392152dd5679e,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAM9,,-0.021276595744680882,0.040723981900452566,-0.021276595744680882,,no_event_raw_close,12703.621548211877,12814.087822544154,12814.087822544154,12151.29017655049,1.1046627433227718,corporate-actions-v2,candidate_no_known_unresolved_event,False
2021-09-29,AAT,17210.03515625,17694.82421875,17088.837890625,17533.228515625,16165.8740234375,928856.0,16285844506.109375,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:56:37.181000+00:00,2021-09-30,9a8e2899cf7260b47d68deadaddc856d1e58359071d68f6dd7a7dc34aabfe6ac,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAT4,,-0.00913237120229582,0.05021944157578195,-0.00913237120229582,,no_event_raw_close,17533.228515624996,17210.035156249996,17694.824218749996,17088.837890624996,0.9999999999999998,corporate-actions-v2,blocked_unresolved_material_event,False
2021-10-15,AAT,19149.193359375,19149.193359375,19149.193359375,19149.193359375,18527.466796875,0.0,0.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:56:37.181000+00:00,2021-10-16,9a8e2899cf7260b47d68deadaddc856d1e58359071d68f6dd7a7dc34aabfe6ac,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAT4,,0.0,0.0493690221153662,0.0,,no_event_raw_close,22351.350595703127,22351.350595703127,22351.350595703127,22351.350595703127,1.1672215208355199,corporate-actions-v2,blocked_unresolved_material_event,False
2022-06-24,AAT,7495.49560546875,8198.1982421875,7495.49560546875,8198.1982421875,8198.1982421875,371628.0,3046680016.3476562,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:56:37.181000+00:00,2022-06-25,9a8e2899cf7260b47d68deadaddc856d1e58359071d68f6dd7a7dc34aabfe6ac,finance-datareader-yahoo-hose-v2-business-day,real,VN000000AAT4,,-0.015151497376617029,0.017897140548522872,-0.015151497376617029,,no_event_raw_close,9913.974330464565,9064.205186492196,9913.974330464565,9064.205186492196,1.2092869722822475,corporate-actions-v2,blocked_unresolved_material_event,False
2024-05-17,ABR,14900.0,14900.0,13900.0,13900.0,10060.0224609375,23300.0,323870000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:56:20.935917+00:00,2024-05-18,72ff9ef8f1f3b14404ea93212cb49b0564f9fee22773e89f78ad1a3e8328761b,finance-datareader-yahoo-hose-v2-business-day,real,VN000000ABR6,,-0.1775147928994083,-0.06711414075846067,-0.1775147928994083,,no_event_raw_close,15544.9704142012,16663.313609467474,16663.313609467474,15544.970414201201,1.1183431952662735,corporate-actions-v2,blocked_unresolved_material_event,False
2025-04-29,ABR,13700.0,14200.0,13700.0,14200.0,11675.3974609375,20600.0,292520000.0,finance_datareader_yahoo_hose,https://github.com/FinanceData/FinanceDataReader,2026-07-30T05:56:20.935917+00:00,2025-04-30,72ff9ef8f1f3b14404ea93212cb49b0564f9fee22773e89f78ad1a3e8328761b,finance-datareader-yahoo-hose-v2-business-day,real,VN000000ABR6,,-0.14970059880239517,-0.03401359939608517,-0.14970059880239517,,no_event_raw_close,17782.326471317734,17156.18821528542,17782.326471317734,17156.18821528542,1.252276512064629,corporate-actions-v2,blocked_unresolved_material_event,False
