security_id,ticker,event_type,announcement_date,record_date,ex_date,effective_date,payment_date,cash_dividend_per_share,stock_dividend_ratio,bonus_share_ratio,split_ratio,reverse_split_ratio,rights_ratio,rights_subscription_price,adjustment_factor,currency,source,source_url,corroboration_source,corroboration_url,fetched_at,available_at,raw_checksum,parser_version,verification_status,verification_notes
VN000000AAA4,AAA,STOCK_DIVIDEND,2020-10-07,2020-10-20,2020-10-19,2020-10-19,,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/75396,cafef_public_corporate_history,https://cafef.vn/du-lieu/aaa/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2020-10-07 15:44:45.000000,cf35bc6d1174e134c06335bb93f66e7ebd7e69dead87dd5c3e4dc64d8db95119,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000AAA4,AAA,BONUS_SHARE,,,2021-09-01,2021-09-01,,,,0.1,,,,,,VND,cafef_public_corporate_history,https://cafef.vn/du-lieu/aaa/thong-tin-chung.chn,,,2026-08-15T05:16:17.861439+00:00,2026-08-15 05:16:17.861439,a889539b73ba74b0eced660624b4606847713cd53ba60ac73ea5bd87b3d17d7a,cafef-corporate-history-v1,reference_only_unverified,CafeF event was not matched to a VSDC official notice.
VN000000AAT4,AAT,STOCK_DIVIDEND,,,2023-07-04,2023-07-04,,,0.11,,,,,,,VND,cafef_public_corporate_history,https://cafef.vn/du-lieu/aat/thong-tin-chung.chn,,,2026-08-15T05:16:17.861439+00:00,2026-08-15 05:16:17.861439,d54afd9110d3aadfa722ec3f4129875bcc54c88affad24d94dfc5c7420521f9d,cafef-corporate-history-v1,reference_only_unverified,CafeF event was not matched to a VSDC official notice.
VN000000ABR6,ABR,CASH_DIVIDEND,2024-10-21,2024-10-31,,,2024-11-21,2000.0,,,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/176004,,,2026-08-15T05:16:17.861439+00:00,2024-10-21 14:08:57.000000,6d044f9b8058591c49fe933aa33403e9e2ace14ca22a60733cfa4f4fc00d1bc8,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ABS4,ABS,CASH_DIVIDEND,2020-05-29,2020-06-11,,,2020-06-30,500.0,,,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/68770,,,2026-08-15T05:16:17.861439+00:00,2020-05-29 17:09:22.000000,8884aa63ea024b9e270cb05eede4f2963d8c555a56ba9380ac26f96cad52dfeb,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ABT2,ABT,CASH_DIVIDEND,2020-03-05,2020-03-20,2020-03-19,2020-03-19,2020-04-03,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/64773,cafef_public_corporate_history,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2020-03-05 10:21:26.000000,c0851a6b94eb97338f0b38a08daaec3e6a0fd47fa7796481d630e8282f17ab3d,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000ABT2,ABT,CASH_DIVIDEND,2021-01-14,2021-01-25,2021-01-22,2021-01-22,2021-02-08,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/77600,cafef_public_corporate_history,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2021-01-14 16:47:46.000000,d99506350d586da4625ddbaff5a3a97b2457b170b8f8f052e2366e52d7bdc2bd,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000ABT2,ABT,CASH_DIVIDEND,2021-12-30,2022-01-20,2022-01-19,2022-01-19,2022-01-27,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/146966,cafef_public_corporate_history,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2021-12-30 18:05:06.000000,ff8363fccfb7e9df26df95e5a48287614750b296a03c85d632a11f9d8268058b,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000ABT2,ABT,CASH_DIVIDEND,2023-03-02,2023-03-15,2023-03-14,2023-03-14,2023-04-15,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/156864,cafef_public_corporate_history,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2023-03-02 11:10:43.000000,62093e732146a03963e94cd65bac440f4407ad95b503afe5897dd8eba8769742,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000ABT2,ABT,CASH_DIVIDEND,2025-02-21,2025-03-18,2025-03-17,2025-03-17,2025-04-19,,,,,,,,,VND,vsdc_official_notice+cafef_reference,https://www.vsd.vn/vi/ad/179631,cafef_public_corporate_history,https://cafef.vn/du-lieu/abt/thong-tin-chung.chn,2026-08-15T05:16:17.861439+00:00,2025-02-21 15:22:28.000000,7e8d4ba1639da76905e99b10a4b692dc718ffc0a60b7391334632286ee1acdcf,vsdc-issuer-rights-v1,conflict,material event terms incomplete
VN000000ACB8,ACB,BONUS_SHARE,2020-08-11,2020-08-21,,,,,,0.3,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/71114,,,2026-08-15T05:16:17.861439+00:00,2020-08-11 15:18:19.000000,6f0dbee0a736947d49be322207233481f41a18f0c4c01b3b1b0851a95b8b8728,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACB8,ACB,BONUS_SHARE,2021-06-01,2021-06-11,,,,,,0.25,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/142250,,,2026-08-15T05:16:17.861439+00:00,2021-06-01 11:11:55.000000,416cca0032007b404ba1a6b1cac9f69192eee7586c69556d79ec3f78d600f323,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACB8,ACB,BONUS_SHARE,2022-05-24,2022-06-03,,,,,,0.25,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/150949,,,2026-08-15T05:16:17.861439+00:00,2022-05-24 14:50:28.000000,c2d93c112540306f548a110fc208d222a4adbbd41be03d04e3027584b5479db0,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACB8,ACB,BONUS_SHARE,2023-05-23,2023-06-02,,,2023-06-12,,,0.15,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/159023,,,2026-08-15T05:16:17.861439+00:00,2023-05-23 16:47:14.000000,5b544a0b9e7b56c9b039d484bc11405e78e7b012ebb35b37620da76988cbec06,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACB8,ACB,BONUS_SHARE,2024-05-23,2024-06-03,,,2023-06-13,,,0.15,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/171314,,,2026-08-15T05:16:17.861439+00:00,2024-05-23 13:53:00.000000,eef75b216635d0365909b05f6573e80c460113a478f8fd2bc71532f9bd176c94,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACB8,ACB,BONUS_SHARE,2025-05-15,2025-05-26,,,2025-06-05,,,0.15,,,,,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/182839,,,2026-08-15T05:16:17.861439+00:00,2025-05-15 15:00:57.000000,54ff2f99c80e281455c760fb3ec5691a542590be11f5b8d4523cf10e216d880a,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACC6,ACC,RIGHTS_ISSUE,2020-11-05,2020-11-17,,,,,,,,,,10000.0,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/76056,,,2026-08-15T05:16:17.861439+00:00,2020-11-05 14:22:02.000000,974fd69a3cabad19bd303255162615f4244e9bed8454ad60f618e977fae88561,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
VN000000ACC6,ACC,RIGHTS_ISSUE,2021-12-27,2022-01-07,,,,,,,,,,10000.0,,VND,vsdc_official_notice,https://www.vsd.vn/vi/ad/146896,,,2026-08-15T05:16:17.861439+00:00,2021-12-27 17:18:13.000000,aba048b7d36585340a2fb8602340e83cbc6b3a9f36b777ed33cd31296694d149,vsdc-issuer-rights-v1,unresolved_ex_date,No matching CafeF ex-date event within 0-7 calendar days before record date.
